Gene	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
NM_001178182.1	10	8	23	8	9	5	7	9	6	13	8	11
NM_001178183.1	237155	213201	213145	194649	202044	207972	201256	209467	221369	161586	158722	160911
NM_001178184.1	304	273	322	319	287	406	371	362	352	471	411	444
NM_001178185.1	305	305	287	220	202	215	303	292	305	241	219	233
NM_001178186.1	712	813	720	725	737	785	897	851	871	896	806	887
NM_001178187.1	2098	1931	2129	2145	2184	2477	2259	2474	2468	2468	2353	2310
NM_001178188.1	827	829	775	779	740	899	681	702	780	799	744	808
NM_001178189.1	2411	2065	1997	2631	2878	2836	2627	2683	3021	3061	3195	2927
NM_001178191.1	332	332	337	302	328	364	303	261	322	334	338	306
NM_001178192.2	197	223	172	198	190	187	216	206	232	240	204	215
NM_001178193.1	205	193	227	233	227	212	239	215	285	265	262	231
NM_001178194.1	715	771	741	807	858	757	716	763	823	748	717	724
NM_001178195.2	434	446	499	513	530	457	489	498	466	512	527	465
NM_001178196.2	1273	1235	1262	1200	1200	1286	1468	1533	1370	1596	1634	1646
NM_001178197.1	23	40	29	23	25	20	26	22	19	42	40	32
NM_001178198.1	85	87	127	73	71	81	67	67	93	69	62	70
NM_001178199.2	188	182	216	202	202	207	223	185	228	254	195	240
NM_001178200.1	286	248	291	270	270	298	275	267	312	311	269	300
NM_001178201.2	715	714	776	623	670	594	553	468	569	543	516	456
NM_001178202.2	1056	935	939	1101	1067	1119	1173	1238	1240	902	932	912
NM_001178203.1	111	65	147	139	107	227	162	147	180	339	334	363
NM_001178204.1	61	60	85	70	60	46	70	69	68	52	75	56
NM_001178205.1	27	14	29	16	14	18	11	25	19	21	15	18
NM_001178208.1	3	4	2	4	4	3	9	4	4	8	14	6
NM_001178209.1	1551	1459	1411	1403	1318	1308	1306	1329	1277	1210	1146	1158
NM_001178210.1	248	245	254	245	274	217	228	253	287	315	268	227
NM_001178211.1	1880	1864	1895	2051	2013	1902	1685	1727	1619	1695	1662	1610
NM_001178212.1	193	169	213	180	183	179	207	184	216	210	172	175
NM_001178213.1	14	12	16	8	10	18	16	10	11	9	5	5
NM_001178214.1	1	1	3	2	2	3	3	1	0	1	0	1
NM_001178215.2	877	907	765	931	787	760	714	718	874	804	765	856
NM_001178216.1	2855	2369	1831	1579	1781	1339	1391	1336	1451	964	919	864
NM_001178217.1	209	233	198	257	258	276	289	300	281	339	323	327
NM_001178218.2	155	160	156	185	155	180	167	147	181	181	182	186
NM_001178219.1	0	1	0	2	1	2	2	0	1	1	0	1
NM_001178220.2	3	5	6	2	5	5	7	9	8	2	3	4
NM_001178221.1	436	436	420	407	408	364	363	344	310	324	314	345
NM_001178222.1	262	271	269	254	257	232	275	289	287	270	272	267
NM_001178223.1	1	3	0	2	0	0	3	0	4	4	2	1
NM_001178224.1	136	162	182	143	150	149	154	174	136	166	160	192
NM_001178225.1	178	171	153	148	149	172	187	170	174	202	226	192
NM_001178226.1	33	28	39	41	49	45	65	79	95	160	185	148
NM_001178227.1	713	621	797	523	575	629	530	608	670	583	449	542
NM_001178230.1	15	7	14	13	8	12	6	17	15	15	16	12
NM_001178235.1	0	0	0	0	0	0	0	0	0	0	0	1
NM_001178236.1	3	10	0	11	12	12	8	17	26	17	30	37
NM_001178239.1	5573	5312	5848	1385	1241	517	1524	1714	1118	98	91	93
NM_001178241.1	1016	1001	1047	1176	1162	1096	1237	1135	1233	1261	1365	1266
NM_001178242.1	8046	7931	7489	7102	7532	6374	7891	7760	8200	7543	7289	6860
NM_001178243.1	8159	7605	7731	6895	7538	6811	7838	8170	8772	7847	7726	7253
NM_001178244.1	3469	3637	3316	3353	3097	3187	3688	3574	3582	3263	3061	3260
NM_001178245.1	184	169	279	184	143	262	241	222	166	187	213	206
NM_001178246.1	431	441	457	363	399	377	353	379	387	368	323	308
NM_001178247.1	6005	6050	4935	5470	4789	5185	4627	4748	5074	4766	4442	4729
NM_001178248.2	310	346	404	340	352	354	354	370	363	333	306	328
NM_001178249.1	701	709	755	582	546	561	583	542	532	561	499	519
NM_001178250.1	174	194	177	167	203	149	185	161	203	183	181	197
NM_001178251.1	778	800	763	569	534	550	485	543	529	458	467	455
NM_001178253.1	96	101	100	84	59	61	72	88	78	106	98	87
NM_001178254.2	96	147	159	165	166	187	157	182	181	193	192	165
NM_001178255.1	467	455	448	402	370	382	415	420	472	350	312	358
NM_001178256.1	504	494	509	444	514	525	390	444	497	342	369	367
NM_001178257.1	3547	3588	3712	3382	3545	3220	3282	3329	3242	2829	2803	2976
NM_001178258.1	250	246	316	268	235	225	310	281	333	226	232	209
NM_001178259.1	79	78	103	95	91	70	101	132	96	114	112	102
NM_001178260.1	475	484	522	383	399	353	423	512	466	349	361	379
NM_001178261.1	124	169	143	205	219	207	162	172	180	226	217	207
NM_001178262.1	2855	2842	2810	4156	3796	4321	4217	4069	4313	5187	5018	5080
NM_001178263.1	847	965	961	837	762	879	768	757	799	813	715	739
NM_001178264.1	4285	4222	4565	3769	3915	4039	3752	3590	3959	3125	3219	3024
NM_001178265.1	118	139	116	141	124	129	111	137	113	117	121	116
NM_001178266.1	590	553	718	421	515	445	521	493	535	458	460	409
NM_001178267.1	36365	34216	31777	33039	34068	30336	29703	29719	31046	29003	29078	27391
NM_001178268.1	965	932	940	932	877	819	655	717	725	721	748	608
NM_001178269.1	56	56	47	48	47	25	53	56	40	47	45	29
NM_001178270.1	5861	6028	5737	6795	6704	6212	6492	7081	7079	8065	8094	8160
NM_001178271.1	148	130	140	159	150	121	170	162	166	184	145	162
NM_001178272.1	2343	2290	2163	1849	1777	1737	1628	1674	1743	1384	1391	1436
NM_001178273.1	471	463	523	468	477	513	496	455	498	507	460	420
NM_001178274.1	599	620	634	614	615	591	597	584	579	542	572	548
NM_001178275.1	797	755	702	806	782	710	640	660	695	634	548	597
NM_001178276.1	994	1106	1053	1308	1267	1197	1175	1179	1103	1319	1349	1195
NM_001178277.1	594	537	633	635	549	670	719	695	686	820	783	880
NM_001178278.1	367	349	404	482	447	407	430	402	402	478	490	478
NM_001178279.1	7476	7260	6985	6112	6259	5851	6168	5814	6454	5529	5609	5389
NM_001178280.1	1073	1082	1019	1066	1207	1066	1188	1166	1094	1151	1171	1187
NM_001178281.1	2798	2766	2749	2358	2389	2329	2170	2155	2268	2042	2068	1955
NM_001178282.1	1278	1287	1177	926	875	993	1005	979	1007	756	820	703
NM_001178283.1	3	3	5	2	10	7	3	3	4	5	11	8
NM_001178284.1	0	0	0	2	0	3	0	3	1	0	0	0
NM_001178285.1	1734	1836	1630	2469	2567	2283	2803	3018	3121	4030	3790	4013
NM_001178286.1	248	279	282	339	334	328	294	265	273	369	360	375
NM_001178287.1	5579	5490	4831	6524	5747	6115	5814	6681	6149	6869	6225	6662
NM_001178289.1	5	9	8	6	6	10	7	6	10	22	15	12
NM_001178290.1	1380	1384	1206	1348	1389	1243	1175	1083	1154	1176	1172	1138
NM_001178291.1	1852	1949	1689	2347	2111	2359	2039	2049	2027	2426	2125	2351
NM_001178292.1	132	109	151	129	122	129	142	119	118	106	86	122
NM_001178294.1	706	694	752	552	579	642	546	613	688	494	510	411
NM_001178295.1	395	342	380	288	316	336	373	348	379	261	256	252
NM_001178296.2	1757	1633	1836	1694	1652	1718	1710	1712	1735	1542	1508	1519
NM_001178297.2	477	436	483	446	450	459	471	489	440	553	574	507
NM_001178298.1	2906	2888	2443	3973	3826	3760	3227	3208	3444	4541	4591	4389
NM_001178299.1	93	106	108	135	137	132	115	150	139	166	143	159
NM_001178300.1	173	172	195	206	192	182	211	214	194	244	229	206
NM_001178301.1	735	780	673	766	704	712	757	654	770	690	655	672
NM_001178303.1	293	323	314	311	272	300	321	338	308	316	333	299
NM_001178304.1	803	730	749	1069	1100	1038	1031	1028	1015	1469	1367	1275
NM_001178306.1	178	156	177	177	190	182	211	217	195	253	229	260
NM_001178307.2	442	514	491	400	368	411	482	390	455	393	405	425
NM_001178308.2	1211	1105	1137	1160	1186	1170	1355	1258	1321	1116	1207	1097
NM_001178309.1	736	708	652	666	624	631	650	624	617	623	551	565
NM_001178312.1	70806	65110	59921	56878	59401	54723	53602	54460	57301	48960	47686	46572
NM_001178314.1	137	167	177	151	150	157	135	156	185	144	166	154
NM_001178315.1	22	43	18	94	85	46	55	106	50	196	258	174
NM_001178316.1	18474	17784	18466	19606	18640	19143	20951	20249	21439	20001	19487	20347
NM_001178318.1	107	125	113	196	190	174	171	136	128	260	208	208
NM_001178319.1	1420	1439	1478	1533	1516	1649	1720	1625	1683	1596	1550	1757
NM_001178320.2	131	91	97	108	110	106	157	132	96	160	140	139
NM_001178321.1	482	465	462	404	445	478	409	463	459	436	399	373
NM_001178322.1	545	502	499	454	466	520	452	503	491	425	446	418
NM_001178324.2	207	205	206	176	198	202	252	275	221	284	245	221
NM_001178325.1	890	917	849	904	876	805	782	808	863	822	784	804
NM_001178326.1	309	260	259	359	379	354	305	337	310	471	434	455
NM_001178327.1	22991	22280	22329	20286	20628	21220	17641	18879	19327	16958	17800	16582
NM_001178328.2	141	104	161	131	117	114	151	130	134	112	126	133
NM_001178329.1	235	210	253	230	258	248	262	245	270	259	261	241
NM_001178330.1	319	328	304	383	350	306	286	292	256	284	316	292
NM_001178331.2	2574	2564	2544	2048	2099	2141	1979	2037	2005	1863	1839	1769
NM_001178332.1	40496	38872	32765	34450	37961	28847	32356	32026	35031	27156	25576	25217
NM_001178333.1	535	477	565	523	538	609	368	380	415	438	395	387
NM_001178335.1	80	69	76	49	52	40	52	61	75	51	43	54
NM_001178337.2	287	274	274	266	279	291	316	284	280	298	276	298
NM_001178338.1	414	422	401	440	492	427	599	524	582	468	545	509
NM_001178339.2	8904	9170	7893	9051	9358	8673	8378	8802	9343	10022	9998	9896
NM_001178341.1	547	529	488	595	584	642	667	632	731	764	654	716
NM_001178342.1	700	649	765	830	849	884	808	847	828	892	953	964
NM_001178343.1	359	330	308	290	294	313	288	281	317	288	275	296
NM_001178344.1	377	358	335	348	357	421	392	415	386	379	327	413
NM_001178345.2	735	865	882	891	896	841	843	856	892	869	833	819
NM_001178346.2	223	221	319	152	174	151	235	236	251	109	144	144
NM_001178347.1	224	225	250	259	268	267	263	316	276	262	324	273
NM_001178349.1	448	459	430	523	473	488	613	556	473	630	622	605
NM_001178350.1	297	330	287	277	286	303	295	301	284	284	266	281
NM_001178351.1	397	459	417	372	408	416	446	451	494	436	490	465
NM_001178352.2	416	366	374	411	390	338	434	463	369	418	417	434
NM_001178353.1	97	114	108	116	129	119	105	113	146	158	175	145
NM_001178354.1	189	216	262	229	225	230	252	209	237	304	321	294
NM_001178355.2	317	289	314	314	295	272	316	337	313	337	363	347
NM_001178356.1	54	109	167	111	124	93	126	130	111	189	149	68
NM_001178357.1	10739	10055	10138	10686	10567	9595	9260	9563	9167	9592	9788	9361
NM_001178358.1	14417	13154	13275	12184	12781	11660	11307	12201	13401	12262	11704	11518
NM_001178359.1	22778	20852	22183	18515	20687	20315	19661	20053	20726	17872	17814	17800
NM_001178361.1	78	82	77	114	106	101	107	92	111	111	108	109
NM_001178362.1	596	626	622	557	548	521	549	516	575	440	553	494
NM_001178363.1	1597	1617	1622	1500	1522	1680	1637	1647	1633	1541	1580	1470
NM_001178364.1	979	906	855	1066	1049	899	718	809	835	1082	955	921
NM_001178365.1	2133	2111	2209	2256	2242	2319	2681	2470	2553	2501	2499	2552
NM_001178366.1	2	2	5	7	5	7	8	8	8	9	11	10
NM_001178367.1	5	8	11	5	9	7	13	13	6	15	9	9
NM_001178368.1	1	0	0	2	1	2	0	3	0	2	2	1
NM_001178369.1	252	269	246	166	185	204	228	228	189	171	205	166
NM_001178370.1	180	175	196	230	228	242	280	246	251	312	320	292
NM_001178371.1	1391	1444	1427	1502	1505	1541	1415	1463	1530	1492	1515	1489
NM_001178372.1	195	175	200	158	155	171	143	167	135	163	148	162
NM_001178373.1	14002	13609	13958	13384	13263	12552	13123	12439	13061	11784	11579	11617
NM_001178374.1	1053	1163	987	1409	1423	1387	1362	1385	1416	1746	1745	1648
NM_001178376.1	415	386	393	337	388	439	391	421	439	349	302	296
NM_001178377.1	1090	1177	1118	1137	1034	1156	1107	1127	1050	981	1079	994
NM_001178378.1	240	231	232	272	301	315	258	267	291	298	314	284
NM_001178379.1	95478	87619	76208	71474	73805	69621	63232	63691	71601	56587	55768	56112
NM_001178381.1	7	9	10	5	2	2	11	1	10	7	13	9
NM_001178382.1	1740	1704	1712	1440	1472	1538	1519	1559	1616	1235	1271	1151
NM_001178383.1	1511	1477	1409	1340	1368	1319	1421	1424	1366	1418	1424	1396
NM_001178384.1	1493	1358	1498	1551	1488	1695	1708	1661	1607	1737	1766	1884
NM_001178385.1	367	336	285	387	377	374	460	552	483	601	662	601
NM_001178386.1	2025	2016	1974	2055	2051	2109	2373	2206	2180	2374	2424	2487
NM_001178387.1	2410	2590	2393	3082	3238	2589	3027	3071	3290	3784	3856	3509
NM_001178388.1	3	9	6	8	4	12	2	4	4	7	3	6
NM_001178389.1	839	882	878	835	867	944	857	934	832	873	908	916
NM_001178390.1	492	552	554	464	448	497	568	507	476	413	456	440
NM_001178391.2	104	110	126	103	110	142	155	139	134	116	135	123
NM_001178392.2	131	103	105	94	114	91	132	132	138	126	110	124
NM_001178393.2	22	28	27	20	19	17	15	16	15	14	10	13
NM_001178394.1	598	585	599	592	578	550	496	517	398	407	377	432
NM_001178395.1	117	114	129	116	122	116	151	148	123	146	135	143
NM_001178396.1	29499	27307	24733	22424	24025	22288	20190	21632	23324	20006	18359	18942
NM_001178397.1	1963	2056	1538	1974	1661	1790	1550	1593	1632	1546	1553	1666
NM_001178398.1	14	17	5	9	9	8	16	13	10	3	7	7
NM_001178400.1	898	870	997	1048	1134	1103	980	956	1027	1228	1157	1144
NM_001178401.1	703	734	757	380	403	397	475	462	440	344	380	400
NM_001178402.1	835	944	808	459	389	276	428	349	352	93	101	99
NM_001178403.1	378	514	417	441	398	434	385	384	416	429	449	433
NM_001178404.1	663	705	702	753	749	798	657	677	638	731	661	669
NM_001178405.1	382	394	348	389	402	351	292	383	334	398	425	404
NM_001178406.1	1242	1266	1187	1236	1327	1314	1289	1272	1361	1254	1286	1149
NM_001178407.1	1135	1159	1150	1406	1191	1412	1274	1333	1229	1600	1455	1453
NM_001178408.1	451	459	403	411	362	397	327	338	270	304	313	297
NM_001178409.3	683	660	662	571	612	584	531	556	535	521	472	500
NM_001178410.1	310	295	337	327	360	339	225	240	226	289	279	300
NM_001178411.1	0	1	2	8	4	3	6	3	7	4	6	1
NM_001178413.3	236	235	269	249	254	233	228	239	220	228	234	250
NM_001178414.1	253	299	280	213	213	205	174	170	173	119	115	132
NM_001178415.1	4559	3966	4845	2928	3292	4336	3934	3789	4079	2714	2709	2607
NM_001178416.4	3274	3462	3171	4428	4300	4078	5108	5353	5104	5715	5814	6054
NM_001178417.1	3240	3389	3472	3940	3997	4531	4094	4265	4293	4114	4280	4279
NM_001178418.1	255	253	274	212	219	205	183	211	184	171	179	162
NM_001178419.3	412	490	469	550	573	563	500	567	490	768	696	690
NM_001178420.1	269	214	293	350	306	227	557	747	347	357	358	256
NM_001178421.4	1011	1046	1150	1240	1239	1295	1102	1137	1157	1226	1201	1226
NM_001178422.2	1379	1441	1399	1214	1220	1180	1343	1240	1210	1044	1053	1121
NM_001178424.2	2	3	3	4	0	2	4	8	1	10	11	11
NM_001178425.3	325	345	333	373	427	333	345	366	359	405	388	422
NM_001178426.2	35694	34556	32482	27925	28449	29725	28053	29383	30226	24477	24703	26596
NM_001178427.1	8921	8233	8187	7614	6843	7852	8230	7798	8485	7295	7192	7566
NM_001178428.3	2888	2913	2866	2935	2989	2750	2987	3083	2865	3115	3087	3015
NM_001178429.1	582	577	551	572	579	558	576	591	596	593	577	609
NM_001178430.1	5407	5059	5414	4628	5274	5205	5258	5440	5440	5639	5200	5009
NM_001178431.3	665	828	671	595	650	742	462	462	510	305	286	341
NM_001178432.1	5622	5521	5327	4849	5256	4828	4954	5203	5481	4894	4620	4513
NM_001178433.3	197	185	224	180	138	134	104	109	100	57	59	70
NM_001178434.1	2854	3120	2898	2465	2420	2410	2573	2652	2619	2149	2121	2217
NM_001178435.3	602	635	686	564	589	560	659	655	756	626	622	600
NM_001178436.1	1890	1784	1977	1678	1809	1897	1863	1797	1845	1656	1581	1638
NM_001178438.4	641	598	507	508	507	444	347	349	390	388	493	392
NM_001178439.1	239	191	198	195	230	219	249	245	271	269	265	247
NM_001178440.1	4000	3821	4306	3753	4152	4549	2957	3147	3097	2365	2475	2750
NM_001178441.3	1926	1743	1892	759	887	863	707	808	766	491	489	583
NM_001178442.2	687	736	699	705	632	627	836	805	803	751	751	762
NM_001178443.1	297	330	314	376	342	316	320	366	298	395	363	346
NM_001178444.3	911	1003	950	1024	994	954	1103	1082	1018	983	1043	1045
NM_001178445.2	306	287	319	262	267	295	322	306	298	241	245	289
NM_001178446.1	92	108	111	123	106	134	96	123	138	136	132	124
NM_001178449.3	1469	1406	1337	1887	1834	1492	1677	1770	1572	1868	1818	1847
NM_001178450.1	563	682	647	762	717	690	757	743	724	804	823	792
NM_001178451.1	268	279	311	337	340	320	375	393	384	458	461	372
NM_001178452.3	434	482	562	361	379	331	384	398	423	409	412	354
NM_001178453.1	188	186	188	202	190	247	227	228	267	254	311	269
NM_001178454.1	6744	6108	6137	5134	5510	5486	5852	5836	5674	4698	4927	4693
NM_001178455.3	52	31	37	52	42	43	50	56	35	42	50	54
NM_001178456.2	562	648	467	572	516	556	408	421	471	563	504	565
NM_001178457.1	4093	3637	3694	3544	3725	3122	2827	2778	2793	2749	2647	2486
NM_001178458.3	495	524	517	564	559	563	539	598	476	537	605	609
NM_001178459.1	1674	1679	1610	1700	1625	1687	1504	1556	1537	1642	1699	1480
NM_001178460.3	1945	1752	1699	1645	1427	1723	1401	1561	1630	1661	1437	1641
NM_001178462.1	138	150	187	175	178	194	160	161	170	176	193	181
NM_001178463.1	5760	5396	5093	9381	8463	8769	12756	12513	12567	14455	14137	14003
NM_001178465.3	11	8	6	12	9	15	8	3	18	41	43	36
NM_001178466.1	596139	549670	517395	496641	520334	494696	487757	483707	538669	434390	430225	432797
NM_001178467.1	199	185	198	169	154	159	127	144	153	111	106	108
NM_001178468.3	109	158	150	184	136	142	141	154	160	161	178	155
NM_001178469.2	11435	10878	12077	10154	10048	10739	10457	10535	11067	9190	9137	9562
NM_001178470.1	475	430	457	604	552	622	488	469	450	599	554	493
NM_001178471.3	435	491	536	545	477	469	440	401	415	461	456	454
NM_001178473.1	280	273	356	342	373	419	416	425	409	487	470	507
NM_001178474.1	2943	2864	2866	3774	3870	3650	3550	3676	3681	4878	4850	5164
NM_001178475.3	16477	15436	15648	15640	15890	15294	16035	15817	15835	14517	14301	14279
NM_001178476.1	16	25	27	20	21	15	31	18	25	28	14	28
NM_001178477.1	293	288	279	310	324	263	270	271	238	296	312	277
NM_001178478.3	777	818	712	838	755	705	695	648	681	735	649	731
NM_001178479.3	161	152	156	171	153	156	159	166	159	184	135	152
NM_001178480.1	311	299	341	346	333	387	353	361	342	368	399	416
NM_001178481.1	485	474	494	380	433	374	484	433	528	409	392	423
NM_001178483.3	579	566	581	464	497	487	344	423	443	508	445	436
NM_001178484.3	291	241	312	245	228	222	266	241	246	213	189	214
NM_001178485.2	449	495	465	516	516	495	498	508	497	592	511	511
NM_001178486.2	211	208	229	231	211	202	188	217	220	226	216	221
NM_001178487.3	978	1088	1180	1066	1096	1290	1208	1249	1172	969	1054	1067
NM_001178488.3	916	887	1023	828	753	902	973	926	885	945	757	952
NM_001178489.2	211	201	242	296	297	291	235	197	187	324	326	313
NM_001178490.1	1340	1332	1386	1280	1368	1394	1327	1342	1378	1306	1260	1239
NM_001178491.3	7178	7314	6977	7496	7300	6912	7446	7142	7225	7214	7017	6973
NM_001178493.3	122	112	124	167	137	119	214	218	200	160	157	177
NM_001178494.1	547	537	578	458	436	467	378	367	356	369	384	381
NM_001178495.1	7	14	0	7	10	7	21	16	21	22	37	34
NM_001178496.3	13	32	23	20	24	18	23	25	31	20	19	18
NM_001178497.3	2171	2191	2021	2353	2175	2190	2496	2323	2539	2683	2662	2493
NM_001178498.1	212	244	211	211	195	212	198	237	200	210	221	200
NM_001178499.1	1360	1558	1382	1366	1376	1230	1298	1175	1104	1295	1262	1207
NM_001178500.3	118	133	126	120	94	146	86	82	67	120	105	91
NM_001178501.3	114	95	150	126	145	129	125	137	138	157	172	158
NM_001178502.1	2131	2284	2338	2090	2057	1906	1852	1818	1679	1699	1728	1690
NM_001178503.1	1011	1023	981	966	912	922	822	843	923	901	822	805
NM_001178504.3	208	227	227	245	229	228	247	254	238	267	250	257
NM_001178505.3	172	200	171	152	150	126	109	122	111	73	67	60
NM_001178506.1	1186	1194	1192	1138	1196	1063	1159	1098	1193	923	909	912
NM_001178507.1	1909	2053	2209	1717	1664	1876	1759	1826	1652	1480	1612	1566
NM_001178508.3	698	700	725	720	674	662	581	581	596	592	618	549
NM_001178509.3	221	259	209	191	190	207	213	209	174	190	165	189
NM_001178510.1	9814	9319	10096	6603	7036	6978	6938	7059	7363	4966	4854	5321
NM_001178511.3	103	97	84	87	95	70	89	113	79	92	84	89
NM_001178512.3	1044	1076	1089	1205	1310	1280	1267	1220	1368	1253	1313	1236
NM_001178513.1	188	230	264	213	211	253	262	248	270	287	246	247
NM_001178514.1	733	803	823	737	705	801	817	763	788	769	663	705
NM_001178515.3	111	105	150	122	117	101	115	101	110	95	120	81
NM_001178516.3	89	77	118	83	86	101	75	71	89	82	86	88
NM_001178517.1	498	484	533	286	308	278	310	355	271	228	253	205
NM_001178518.1	912	854	974	1037	1034	1079	1047	992	995	1074	1096	983
NM_001178519.3	991	1111	1003	1305	1237	1197	962	938	812	1055	1222	1184
NM_001178520.3	1040	1043	948	1130	958	1086	927	986	944	1075	941	1015
NM_001178521.1	1253	1146	1142	1115	1156	1202	1109	1246	1182	1496	1359	1417
NM_001178523.1	219	217	246	316	292	288	393	385	409	486	469	469
NM_001178524.3	356	347	351	338	340	324	363	370	411	388	346	368
NM_001178525.3	1173	1208	1211	1767	1824	1677	2181	2267	2216	2759	2613	2742
NM_001178527.1	399	434	456	383	357	391	429	421	376	444	411	398
NM_001178528.1	7	3	2	2	2	2	4	1	3	2	0	6
NM_001178529.3	65711	61041	57542	57898	59009	55251	51702	54241	55809	50381	50718	49500
NM_001178530.3	32	28	24	26	19	17	27	23	29	39	35	35
NM_001178531.1	63	66	71	93	110	99	144	150	138	124	113	132
NM_001178532.3	50	64	53	35	48	31	58	53	52	40	37	26
NM_001178533.3	311	271	253	305	318	321	262	230	258	308	323	344
NM_001178534.1	5	6	3	2	3	0	3	4	4	4	5	3
NM_001178535.1	1595	1555	1641	1645	1663	1826	1617	1596	1574	1612	1741	1700
NM_001178536.3	186	168	145	155	152	164	133	144	143	154	129	122
NM_001178537.3	42369	40490	37643	37551	38875	33731	34229	34113	35793	29315	28772	28228
NM_001178539.1	39453	35787	34392	30521	32582	29770	29348	29594	32520	26453	25863	25746
NM_001178540.1	315	347	353	311	307	320	253	292	249	242	245	226
NM_001178541.3	219	213	261	188	191	215	209	230	212	234	182	214
NM_001178542.3	55	89	82	102	108	104	108	119	121	157	140	147
NM_001178543.1	237	221	277	262	248	262	300	316	323	309	275	308
NM_001178544.1	43842	40318	43702	39224	39034	42395	39383	38859	41975	35909	34974	37044
NM_001178545.1	197	198	161	175	183	212	171	174	181	184	193	183
NM_001178546.1	1186	1162	1006	1539	1376	1511	1253	1324	1332	1689	1591	1692
NM_001178547.3	1014	1038	1137	1053	976	949	1081	1148	1171	1046	1037	1096
NM_001178548.3	556	601	688	566	578	556	531	529	636	553	512	562
NM_001178549.1	117	110	134	121	119	99	133	147	120	141	147	122
NM_001178550.4	1062	1057	1122	1054	1064	1144	1217	1196	1239	1327	1228	1242
NM_001178551.2	31	36	47	19	27	25	34	32	19	39	38	29
NM_001178552.2	237	247	264	224	232	255	237	253	210	259	244	231
NM_001178553.3	1790	1697	2031	1485	1529	1737	1692	1679	1742	1264	1343	1366
NM_001178555.4	752	723	689	751	723	720	669	724	699	662	726	682
NM_001178556.1	417	376	488	580	466	618	679	590	640	502	511	446
NM_001178558.1	255	194	235	199	214	248	292	255	207	244	229	227
NM_001178559.3	208	213	211	201	222	199	216	244	224	236	218	208
NM_001178560.3	1150	1125	1032	1214	1283	1258	1121	1225	1197	1597	1432	1541
NM_001178561.1	138	139	182	112	130	154	121	130	136	137	123	117
NM_001178562.1	474	405	372	534	471	512	414	429	406	555	516	542
