name	from_tis	region	wt_1	wt_2	wt_ssb1_flag_1	wt_ssb1_flag_2	enrich	edge	bound
YHL039W-t26_1	71	cds	0	0	1	0	0.411733902626501		
YHL039W-t26_1	72	cds	2	0	1	1	0.47031049789681634		
YHL039W-t26_1	73	cds	0	0	0	2	0.37333172485247174		
YHL039W-t26_1	74	cds	0	7	0	2	0.3706086174340969		
YHL039W-t26_1	75	cds	0	1	0	1	0.44296748844534506		
YHL039W-t26_1	76	cds	1	0	1	0	0.4821752612895392		
YHL039W-t26_1	77	cds	1	4	1	3	0.4675102608436597		
YHL039W-t26_1	78	cds	0	1	1	0	0.7343065086773961		
YHL039W-t26_1	79	cds	5	14	1	4	0.7465410797780709		
YHL039W-t26_1	80	cds	0	1	1	3	0.6804861268713229		
YHL039W-t26_1	81	cds	1	5	1	1	0.6992923271612028		
YHL039W-t26_1	82	cds	1	2	0	2	0.685905151261759		
YHL039W-t26_1	83	cds	1	0	2	0	0.38648650945031626		
YHL039W-t26_1	84	cds	1	5	0	1	0.4420246732908065		
YHL039W-t26_1	85	cds	0	3	0	1	0.47572407342110956		
YHL039W-t26_1	86	cds	1	1	0	2	0.528149248737724		
YHL039W-t26_1	87	cds	1	2	1	1	0.5401876917010089		
YHL039W-t26_1	88	cds	0	1	1	1	0.8986556182155693		
YHL039W-t26_1	89	cds	0	0	0	1	0.8714615043537823		
YHL039W-t26_1	90	cds	0	2	2	5	0.875744695680412		
YHL039W-t26_1	91	cds	4	5	2	4	0.8601497572087856		
YHL039W-t26_1	92	cds	0	2	1	1	1.2618187607892466		
YHL039W-t26_1	93	cds	2	3	1	5	1.2992305394386285		
YHL039W-t26_1	94	cds	0	1	3	1	1.2331633255021288		
YHL039W-t26_1	95	cds	1	3	5	3	1.1361511040091163		
YHL039W-t26_1	96	cds	5	6	1	2	1.2318073819754054		
YHL039W-t26_1	97	cds	3	2	0	1	0.9912581917278422		
YHL039W-t26_1	98	cds	0	4	4	1	0.7161881845853543		
YHL039W-t26_1	99	cds	3	2	2	3	0.7391692937503114		
YHL039W-t26_1	100	cds	0	0	1	2	0.9214840581759547		
YHL039W-t26_1	101	cds	0	4	0	2	1.1268248276821538		
YHL039W-t26_1	102	cds	0	1	0	3	1.5551892113467494		
YHL039W-t26_1	103	cds	1	3	4	6	1.742129603753265		
YHL039W-t26_1	104	cds	1	2	4	7	1.9428863086860204		
YHL039W-t26_1	105	cds	2	3	4	6	2.1454907643684153		
YHL039W-t26_1	106	cds	2	2	1	6	1.954230297952257		
YHL039W-t26_1	107	cds	1	3	3	6	1.3892472061415324		
YHL039W-t26_1	108	cds	1	5	2	6	1.216751992060827		
YHL039W-t26_1	109	cds	6	15	4	3	1.2798061518729584		
YHL039W-t26_1	110	cds	4	4	4	3	1.1421927361640385		
YHL039W-t26_1	111	cds	2	4	5	6	1.4056293838926004		
YHL039W-t26_1	112	cds	1	1	0	4	1.6783001022005861		
YHL039W-t26_1	113	cds	1	2	3	7	1.8421541235305412		
YHL039W-t26_1	114	cds	0	0	4	1	1.7760771418562409		
YHL039W-t26_1	115	cds	1	0	3	3	1.9416251153094743		
YHL039W-t26_1	116	cds	0	1	1	2	1.5577948415441494		
YHL039W-t26_1	117	cds	2	1	2	4	1.4325775411512602		
YHL039W-t26_1	118	cds	1	2	1	2	1.3151295948777229		
YHL039W-t26_1	119	cds	1	2	1	3	1.5110675171545744		
YHL039W-t26_1	120	cds	2	4	1	8	1.1779810700699829	1.1779810700699829	
YHL039W-t26_1	121	cds	1	2	3	5	1.3973472627909855	1.3973472627909855	
YHL039W-t26_1	122	cds	2	6	0	6	1.7661210606290982	1.7661210606290982	
YHL039W-t26_1	123	cds	1	3	2	7	1.7541108521951112	1.7541108521951112	
YHL039W-t26_1	124	cds	0	2	6	2	1.5344251504673896	1.5344251504673896	
YHL039W-t26_1	125	cds	0	5	2	3	1.8327860047861297	1.8327860047861297	
YHL039W-t26_1	126	cds	3	2	1	6	1.7050598958887968	1.7050598958887968	
YHL039W-t26_1	127	cds	0	7	4	7	1.2456243945793326	1.2456243945793326	
YHL039W-t26_1	128	cds	2	2	2	4	1.7904406150565815	1.7904406150565815	
YHL039W-t26_1	129	cds	3	10	2	7	2.469240761789591	2.469240761789591	2.469240761789591
YHL039W-t26_1	130	cds	3	0	9	12	2.419818191133632		2.419818191133632
YHL039W-t26_1	131	cds	1	5	11	11	2.3854048492725455		2.3854048492725455
YHL039W-t26_1	132	cds	5	4	4	15	2.5803519692547754		2.5803519692547754
YHL039W-t26_1	133	cds	2	3	2	5	1.982354721230783		1.982354721230783
YHL039W-t26_1	134	cds	3	3	5	5	1.657900051126453		1.657900051126453
YHL039W-t26_1	135	cds	0	4	2	1	2.013597514392362		2.013597514392362
YHL039W-t26_1	136	cds	0	3	6	5	2.443728578356037		2.443728578356037
YHL039W-t26_1	137	cds	1	4	9	6	2.492980992936036		2.492980992936036
YHL039W-t26_1	138	cds	1	6	5	14	2.4972525397483913		2.4972525397483913
YHL039W-t26_1	139	cds	3	7	6	16	2.739932945338805		2.739932945338805
YHL039W-t26_1	140	cds	0	9	1	4	2.8302064780180043		2.8302064780180043
YHL039W-t26_1	141	cds	0	2	8	4	2.8481476915856856		2.8481476915856856
YHL039W-t26_1	142	cds	0	2	3	12	3.6534817088681195		3.6534817088681195
YHL039W-t26_1	143	cds	0	3	6	7	4.789491014487835		4.789491014487835
YHL039W-t26_1	144	cds	0	1	6	6	4.553745601198064		4.553745601198064
YHL039W-t26_1	145	cds	1	5	14	18	4.094048700485334		4.094048700485334
YHL039W-t26_1	146	cds	2	0	5	11	4.024260663490178		4.024260663490178
YHL039W-t26_1	147	cds	2	3	4	6	2.952588726573485		2.952588726573485
YHL039W-t26_1	148	cds	0	1	2	5	2.10375512205499	2.10375512205499	2.10375512205499
YHL039W-t26_1	149	cds	1	3	1	1	1.892556499916974	1.892556499916974	
YHL039W-t26_1	150	cds	0	0	2	7	1.9662346031611955	1.9662346031611955	
YHL039W-t26_1	151	cds	0	0	3	4	1.3614107318872282	1.3614107318872282	
YHL039W-t26_1	152	cds	0	2	4	2	1.4934050709643998	1.4934050709643998	
YHL039W-t26_1	153	cds	1	1	0	0	1.16373494376105	1.16373494376105	
YHL039W-t26_1	154	cds	0	0	2	2	1.375428499860844	1.375428499860844	
YHL039W-t26_1	155	cds	0	0	1	1	1.5783444504260722	1.5783444504260722	
YHL039W-t26_1	156	cds	0	1	2	5	1.7739093226533145	1.7739093226533145	
YHL039W-t26_1	157	cds	0	1	1	7	2.1944390500607995	2.1944390500607995	
YHL039W-t26_1	158	cds	0	1	1	1	2.360532382889275		
YHL039W-t26_1	159	cds	1	2	6	4	1.9785873792363735		
YHL039W-t26_1	160	cds	2	0	3	4	1.670215539425284		
YHL039W-t26_1	161	cds	0	0	3	0	1.975870581549174		
YHL039W-t26_1	162	cds	1	3	2	5	1.5676458864978895		
YHL039W-t26_1	163	cds	0	3	4	6	1.4877090248129345		
YHL039W-t26_1	164	cds	1	0	0	6	1.851524773873595		
YHL039W-t26_1	165	cds	1	2	2	1	1.8755692653688412		
YHL039W-t26_1	166	cds	0	1	3	3	1.8548397256709288		
YHL039W-t26_1	167	cds	1	2	2	4	1.9696431393868077		
YHL039W-t26_1	168	cds	0	1	1	5	1.8140690966112012		
YHL039W-t26_1	169	cds	1	2	4	1	1.3125002037060285		
YHL039W-t26_1	170	cds	3	0	1	0	1.3119020495958944		
YHL039W-t26_1	171	cds	0	0	0	2	1.2659141342480331		
YHL039W-t26_1	172	cds	0	1	1	3	1.085077211013099		
YHL039W-t26_1	173	cds	1	1	3	1	1.4898736183826848		
YHL039W-t26_1	174	cds	1	7	2	3	2.0875592362231004		
YHL039W-t26_1	175	cds	1	1	2	3	1.9659572349984757		
YHL039W-t26_1	176	cds	1	4	9	5	1.6876035984586037		
YHL039W-t26_1	177	cds	0	5	1	5	1.6409617381376247		
YHL039W-t26_1	178	cds	3	0	1	4	1.4106478287714415		
YHL039W-t26_1	179	cds	6	3	1	5	0.7994063356097857		
YHL039W-t26_1	180	cds	0	2	1	3	0.7254434646071687		
YHL039W-t26_1	181	cds	1	0	1	0	0.8138390452684783		
YHL039W-t26_1	182	cds	0	1	0	2	1.8813844152143737	1.8813844152143737	
YHL039W-t26_1	183	cds	0	0	1	4	2.093966130386451	2.093966130386451	2.093966130386451
YHL039W-t26_1	184	cds	1	1	3	12	2.2369136669212795		2.2369136669212795
YHL039W-t26_1	185	cds	1	1	3	1	2.6361671426298416		2.6361671426298416
YHL039W-t26_1	186	cds	1	2	1	3	3.742033342001856		3.742033342001856
YHL039W-t26_1	187	cds	0	0	5	4	3.1788213926168325		3.1788213926168325
YHL039W-t26_1	188	cds	0	0	5	23	3.540644121839503		3.540644121839503
YHL039W-t26_1	189	cds	0	0	4	8	3.803518708567018		3.803518708567018
YHL039W-t26_1	190	cds	0	0	9	3	3.7474841612309917		3.7474841612309917
YHL039W-t26_1	191	cds	4	9	12	24	3.1191272816275495		3.1191272816275495
YHL039W-t26_1	192	cds	2	6	7	14	4.23301420312725		4.23301420312725
YHL039W-t26_1	193	cds	2	2	5	12	4.010534057301058		4.010534057301058
YHL039W-t26_1	194	cds	0	2	10	20	4.093473001254025		4.093473001254025
YHL039W-t26_1	195	cds	2	2	6	6	3.7602545103785316		3.7602545103785316
YHL039W-t26_1	196	cds	0	2	4	5	3.137114082603122	3.137114082603122	3.137114082603122
YHL039W-t26_1	197	cds	2	4	1	5	1.6618269399146604	1.6618269399146604	
YHL039W-t26_1	198	cds	1	4	0	3	1.1592132728193172	1.1592132728193172	
YHL039W-t26_1	199	cds	0	0	2	3	0.7359951559342026		
YHL039W-t26_1	200	cds	0	1	0	1	0.8054527113574532		
YHL039W-t26_1	201	cds	2	12	2	6	0.7065394159374934		
YHL039W-t26_1	202	cds	0	2	1	3	0.8395239175720104		
YHL039W-t26_1	203	cds	1	3	0	0	1.119922725741168		
YHL039W-t26_1	204	cds	0	1	1	4	1.1104985126204892		
YHL039W-t26_1	205	cds	1	3	2	6	1.0044047133735718		
YHL039W-t26_1	206	cds	0	0	0	3	1.1594834104253116		
YHL039W-t26_1	207	cds	0	3	0	3	0.8768342504248158		
YHL039W-t26_1	208	cds	0	4	2	1	0.7589157021730952		
YHL039W-t26_1	209	cds	2	3	1	3	0.6779916966314792		
YHL039W-t26_1	210	cds	0	0	2	2	0.7552096598890554		
YHL039W-t26_1	211	cds	0	2	0	1	0.6192769274895155		
YHL039W-t26_1	212	cds	0	3	0	5	0.5777928122198398		
YHL039W-t26_1	213	cds	3	4	0	1	0.5396460489231508		
YHL039W-t26_1	214	cds	0	0	0	2	0.8256528591459071		
YHL039W-t26_1	215	cds	0	1	1	1	0.8463020778214498		
YHL039W-t26_1	216	cds	1	3	4	2	1.1351607045668697	1.1351607045668697	
YHL039W-t26_1	217	cds	0	1	0	3	1.5898638767702362	1.5898638767702362	
YHL039W-t26_1	218	cds	0	0	3	2	2.4438757373243916	2.4438757373243916	2.4438757373243916
YHL039W-t26_1	219	cds	0	3	4	7	3.0900310707120724		3.0900310707120724
YHL039W-t26_1	220	cds	1	2	7	11	3.089151253333974		3.089151253333974
YHL039W-t26_1	221	cds	2	3	13	14	3.579904501285349		3.579904501285349
YHL039W-t26_1	222	cds	0	0	0	5	3.6517309102960507		3.6517309102960507
YHL039W-t26_1	223	cds	3	2	10	8	3.238317497470935		3.238317497470935
YHL039W-t26_1	224	cds	4	3	10	11	2.5463347874304114		2.5463347874304114
YHL039W-t26_1	225	cds	2	1	5	2	2.6415250693866468		2.6415250693866468
YHL039W-t26_1	226	cds	2	5	3	9	2.225330591838877		2.225330591838877
YHL039W-t26_1	227	cds	0	0	3	2	2.088323232762236	2.088323232762236	2.088323232762236
YHL039W-t26_1	228	cds	1	1	2	2	1.4521599128059537	1.4521599128059537	
YHL039W-t26_1	229	cds	0	4	1	12	1.9474753880217937	1.9474753880217937	
YHL039W-t26_1	230	cds	0	0	0	0	1.8534853918775491	1.8534853918775491	
YHL039W-t26_1	231	cds	0	1	4	4	1.7277051978500289	1.7277051978500289	
YHL039W-t26_1	232	cds	1	4	2	3	1.4670718471894242	1.4670718471894242	
YHL039W-t26_1	233	cds	0	2	2	2	1.6690533887279435	1.6690533887279435	
YHL039W-t26_1	234	cds	1	4	2	3	1.1004880266384578	1.1004880266384578	
YHL039W-t26_1	235	cds	0	0	1	3	1.2933426171721198	1.2933426171721198	
YHL039W-t26_1	236	cds	0	1	0	3	1.193023394735083	1.193023394735083	
YHL039W-t26_1	237	cds	1	3	4	4	1.678454658628084		
YHL039W-t26_1	238	cds	1	4	1	3	1.5174758950695866		
YHL039W-t26_1	239	cds	1	2	6	5	1.3857873242101477		
YHL039W-t26_1	240	cds	1	0	0	1	1.190919113969888		
YHL039W-t26_1	241	cds	1	0	0	2	1.135320970847599		
YHL039W-t26_1	242	cds	0	3	2	2	0.7745008892515879		
YHL039W-t26_1	243	cds	1	6	2	0	1.142757110318291		
YHL039W-t26_1	244	cds	1	2	2	4	1.252753197790741		
YHL039W-t26_1	245	cds	0	1	1	4	1.2239706732749276		
YHL039W-t26_1	246	cds	1	10	2	4	1.3125399148705368		
YHL039W-t26_1	247	cds	0	3	1	3	1.2289563785209883		
YHL039W-t26_1	248	cds	1	4	1	4	1.193394644178435		
YHL039W-t26_1	249	cds	3	3	4	4	1.186637489348608		
YHL039W-t26_1	250	cds	2	2	5	2	1.0775168337587093		
YHL039W-t26_1	251	cds	1	3	0	5	0.983722630399028		
YHL039W-t26_1	252	cds	1	3	0	2	0.8080065895315072		
YHL039W-t26_1	253	cds	2	2	1	1	0.665676409882629		
YHL039W-t26_1	254	cds	1	6	1	1	0.8110561855770542		
YHL039W-t26_1	255	cds	2	4	3	5	0.8538142078979534		
YHL039W-t26_1	256	cds	1	1	1	3	1.0799315346476857		
YHL039W-t26_1	257	cds	0	0	1	1	1.3312295986114808		
YHL039W-t26_1	258	cds	2	2	3	4	1.1710938891626814		
YHL039W-t26_1	259	cds	1	1	1	3	1.0912977998453672		
YHL039W-t26_1	260	cds	0	1	0	1	1.0720438939629116		
YHL039W-t26_1	261	cds	0	6	3	3	0.9675300701592384		
YHL039W-t26_1	262	cds	3	8	2	4	0.6661941034973045		
YHL039W-t26_1	263	cds	2	6	5	3	0.9148610967388		
YHL039W-t26_1	264	cds	0	7	0	1	0.664032921759023		
YHL039W-t26_1	265	cds	0	1	2	1	0.6569527582695406		
YHL039W-t26_1	266	cds	2	0	0	0	0.7060342311221682		
YHL039W-t26_1	267	cds	2	8	2	2	0.9638531988020835		
YHL039W-t26_1	268	cds	2	1	2	1	0.7723464138409459		
YHL039W-t26_1	269	cds	0	0	1	5	1.1449881213581692		
YHL039W-t26_1	270	cds	0	2	1	1	1.0544663729681414		
YHL039W-t26_1	271	cds	0	6	3	7	0.838573457826338		
YHL039W-t26_1	272	cds	3	2	0	0	0.6188576986558658		
YHL039W-t26_1	273	cds	1	6	1	0	0.6298086981654926		
YHL039W-t26_1	274	cds	0	3	1	0	0.5415818097982413		
YHL039W-t26_1	275	cds	1	1	0	2	0.6791580308348986		
YHL039W-t26_1	276	cds	0	4	3	3	0.8377390048224276		
YHL039W-t26_1	277	cds	2	0	2	1	1.0675193221725814		
YHL039W-t26_1	278	cds	1	1	0	3	1.0450325565380678		
YHL039W-t26_1	279	cds	0	0	4	0	0.90157583001347		
YHL039W-t26_1	280	cds	0	0	1	1	0.9552812898774254		
YHL039W-t26_1	281	cds	2	4	3	1	0.7807985971642818		
YHL039W-t26_1	282	cds	2	2	2	2	0.526189635557804		
YHL039W-t26_1	283	cds	0	4	0	1	0.5336673144165862		
YHL039W-t26_1	284	cds	0	0	0	1	0.7488660998236837		
YHL039W-t26_1	285	cds	0	1	1	0	1.5354087800592824		
YHL039W-t26_1	286	cds	0	1	0	5	2.140674335373687		
YHL039W-t26_1	287	cds	0	1	5	5	2.179738477249048		
YHL039W-t26_1	288	cds	0	1	4	2	2.2080879253104273		
YHL039W-t26_1	289	cds	0	2	1	0	1.967734620401484		
YHL039W-t26_1	290	cds	3	7	4	4	1.0699504013293526		
YHL039W-t26_1	291	cds	4	10	2	8	0.625718535860615		
YHL039W-t26_1	292	cds	2	3	0	3	0.7961784075987763		
YHL039W-t26_1	293	cds	0	1	1	1	0.9121807871731452		
YHL039W-t26_1	294	cds	2	2	3	2	1.1350029915999822		
YHL039W-t26_1	295	cds	0	2	1	4	1.3204045790452454		
YHL039W-t26_1	296	cds	1	2	2	4	1.3368406823647812		
YHL039W-t26_1	297	cds	0	0	3	1	1.1590467627366707		
YHL039W-t26_1	298	cds	0	3	2	2	1.1939091863770936		
YHL039W-t26_1	299	cds	0	0	1	0	1.1751817776747187		
YHL039W-t26_1	300	cds	0	2	2	3	0.9523029100536526		
YHL039W-t26_1	301	cds	0	1	2	1	1.1495609335536		
YHL039W-t26_1	302	cds	0	0	0	1	1.075267977679911		
YHL039W-t26_1	303	cds	0	1	1	4	0.9628690034186461		
YHL039W-t26_1	304	cds	0	1	0	0	0.7126419262688957		
YHL039W-t26_1	305	cds	0	0	2	1	0.8452352283906858		
YHL039W-t26_1	306	cds	1	1	0	1	0.4920504641113067		
YHL039W-t26_1	307	cds	0	2	1	2	1.0437722143710206		
YHL039W-t26_1	308	cds	4	5	1	2	1.1804513611685086		
YHL039W-t26_1	309	cds	0	1	1	6	1.1575446495934838		
YHL039W-t26_1	310	cds	0	3	2	5	0.9823884855834168		
YHL039W-t26_1	311	cds	0	2	0	1	0.9730788309392853		
YHL039W-t26_1	312	cds	0	0	0	0	0.9399849549661087		
YHL039W-t26_1	313	cds	0	2	0	1	0.69728275830952		
YHL039W-t26_1	314	cds	1	2	6	1	0.69728275830952		
YHL039W-t26_1	315	cds	0	0	0	2	0.8249713439743506		
YHL039W-t26_1	316	cds	0	2	0	1	1.0052823706982985		
YHL039W-t26_1	317	cds	0	0	0	3	0.7995465665147472		
YHL039W-t26_1	318	cds	3	2	3	2	0.7887137986118823		
YHL039W-t26_1	319	cds	1	1	2	1	0.9556433453081505		
YHL039W-t26_1	320	cds	0	0	1	0	0.8991861352498144		
YHL039W-t26_1	321	cds	0	1	0	3	0.8676754006298939		
YHL039W-t26_1	322	cds	0	1	0	1	0.5547833305269081		
YHL039W-t26_1	323	cds	0	1	1	1	0.4804903746532195		
YHL039W-t26_1	324	cds	0	0	0	0	0.4500146988647016		
YHL039W-t26_1	325	cds	0	1	0	0	0.4139646221451277		
YHL039W-t26_1	326	cds	0	3	1	3	0.2973036462631484		
YHL039W-t26_1	327	cds	2	5	1	0	0.32645204456871		
YHL039W-t26_1	328	cds	1	2	1	0	0.45484362845556237		
YHL039W-t26_1	329	cds	3	5	1	0	0.5313470586296993		
YHL039W-t26_1	330	cds	0	2	1	1	0.5537164096594867		
YHL039W-t26_1	331	cds	1	2	1	4	0.6376266421049199		
YHL039W-t26_1	332	cds	1	4	1	0	0.693603967575912		
YHL039W-t26_1	333	cds	2	1	1	1	0.7564940645896723		
YHL039W-t26_1	334	cds	0	0	0	2	0.6125991282709344		
YHL039W-t26_1	335	cds	1	1	1	1	0.5976113402425036		
YHL039W-t26_1	336	cds	0	3	0	3	0.49507096878688994		
YHL039W-t26_1	337	cds	0	0	0	1	0.6012269259109487		
YHL039W-t26_1	338	cds	0	4	1	0	0.40994524501033613		
YHL039W-t26_1	339	cds	1	1	1	1	0.36841125599766067		
YHL039W-t26_1	340	cds	2	2	0	0	0.32584839410938377		
YHL039W-t26_1	341	cds	0	0	1	0	0.2655746367743012		
YHL039W-t26_1	342	cds	0	2	0	0	0.24360584464887114		
YHL039W-t26_1	343	cds	0	4	0	0	0.4348875255494837		
YHL039W-t26_1	344	cds	1	2	1	2	0.36059456967579506		
YHL039W-t26_1	345	cds	1	1	1	1	0.4360870056810193		
YHL039W-t26_1	346	cds	1	7	0	0	0.7493142689418495		
YHL039W-t26_1	347	cds	2	5	1	2	0.6540991756077336		
YHL039W-t26_1	348	cds	3	2	4	3	0.7330803661086376		
YHL039W-t26_1	349	cds	1	3	0	2	1.2532563478626073		
YHL039W-t26_1	350	cds	0	3	0	7	1.254981875114959		
YHL039W-t26_1	351	cds	0	3	6	3	1.0633650010565021		
YHL039W-t26_1	352	cds	0	3	0	2	0.9892672056154355		
YHL039W-t26_1	353	cds	1	1	1	0	0.7615671961021959		
YHL039W-t26_1	354	cds	0	0	0	0	0.41478320826621595		
YHL039W-t26_1	355	cds	0	0	0	1	0.45230424694824134		
YHL039W-t26_1	356	cds	0	3	2	1	0.5644054932697994		
YHL039W-t26_1	357	cds	2	0	1	2	0.6764117093685423		
YHL039W-t26_1	358	cds	0	0	2	2	0.7741425878499094		
YHL039W-t26_1	359	cds	0	5	2	0	0.6750435498056082		
YHL039W-t26_1	360	cds	0	2	0	3	0.6135845484970035		
YHL039W-t26_1	361	cds	0	0	1	0	0.8784925422185328		
YHL039W-t26_1	362	cds	1	5	1	0	0.9801804529392728		
YHL039W-t26_1	363	cds	0	1	0	7	1.1161612099818368		
YHL039W-t26_1	364	cds	0	1	0	3	1.2730146479170017		
YHL039W-t26_1	365	cds	0	0	2	3	1.4996914394860204		
YHL039W-t26_1	366	cds	1	6	0	8	1.2234779525238677		
YHL039W-t26_1	367	cds	1	4	2	5	1.0952455132489631		
YHL039W-t26_1	368	cds	1	4	1	5	0.9189008075282914		
YHL039W-t26_1	369	cds	6	17	2	10	0.8280481540890818		
YHL039W-t26_1	370	cds	4	6	2	4	0.6540918496624554		
YHL039W-t26_1	371	cds	0	2	0	3	0.43168570737914774		
YHL039W-t26_1	372	cds	0	3	1	1	0.42785102359820676		
YHL039W-t26_1	373	cds	0	0	0	0	0.39915260751316495		
YHL039W-t26_1	374	cds	0	2	1	0	0.5885289943468708		
YHL039W-t26_1	375	cds	0	1	0	1	0.4825285065734818		
YHL039W-t26_1	376	cds	0	0	1	6	0.8205561300137127		
YHL039W-t26_1	377	cds	2	5	0	0	0.8737121385392768		
YHL039W-t26_1	378	cds	0	1	1	3	0.8757305072696253		
YHL039W-t26_1	379	cds	0	3	2	0	0.6629161978282411		
YHL039W-t26_1	380	cds	2	3	1	1	0.8470586727188909		
YHL039W-t26_1	381	cds	0	0	1	1	0.6852062710438969		
