transcripts	gene_name	wt_1	wt_2	wt_ssb1_flag_1	wt_ssb1_flag_2	wt_1_rpm	wt_2_rpm	wt_ssb1_flag_1_rpm	wt_ssb1_flag_2_rpm	min_corr_ck	min_corr_ip	comments	peak_num	peak_length	gaps	collision_start	peak_start	peak_end	collision_end	max_site	max_fold	mean_fold	ck_peak_rpm	ip_peak_rpm	P_Value	BHFDR	Peak_loci
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	4	5	0	383	392	396	405	395	2.7647	2.4501	0.4159127289861862	1.280042094425796	0.08894683473473042	-	cds
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	5	10	0	452	458	467	468	463	2.7979	2.5199	0.4795592085007933	2.1482430097327345	0.0022258310962948243	-	cds
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	6	8	0	519	522	529	538	527	2.5958	2.4351	0.7666476820126402	1.77300396352536	0.004264474713357352	-	cds
YHL027W-t26_1	YHL027W	491	1154	746	1946	44.9536	44.7757	49.4458	73.8952	0.5125	0.4577	Qualified	7	7	0	578	580	586	595	582	2.6811	2.3166	0.15520162514725724	0.98177682511645	0.010072114515198143	-	cds
YHL026C-t26_1	YHL026C	23	61	15	33	2.1058	2.3668	0.9942	1.2531	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL025W-t26_1	YHL025W	260	485	333	611	23.8043	18.8182	22.0716	23.2014	0.3426	0.4939	Qualified	1	16	0	122	123	138	142	126	5.4754	4.0479	1.1383141346276264	4.820875059918821	6.572394066101437e-05	-	cds
YHL025W-t26_1	YHL025W	260	485	333	611	23.8043	18.8182	22.0716	23.2014	0.3426	0.4939	Qualified	2	5	0	274	283	287	288	283	2.3473	2.1834	0.14277858853336087	0.2181726278036556	0.5024620268010926	-	cds
YHL024W-t26_1	YHL024W	21	59	14	35	1.9227	2.2892	0.9279	1.3291	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL023C-t26_1	YHL023C	278	630	364	778	25.4523	24.4443	24.1263	29.5429	0.1473	0.2061	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL022C-t26_1	YHL022C	10	20	9	18	0.9156	0.776	0.5965	0.6835	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	1	19	0	64	65	83	85	68	4.4375	2.9906	1.0676904885835088	4.275786173234687	3.4332603128646333e-06	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	2	12	0	112	121	132	133	129	3.8073	2.8313	0.7457161824241079	2.5034675753593385	0.0004749704625060101	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	3	39	0	179	185	223	232	200	5.3005	3.5597	2.282074139339638	9.660393869118389	3.484956372251698e-09	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	4	18	0	251	254	271	280	260	4.3815	3.2284	1.4611404215360373	5.010054015326339	1.299147570586404e-07	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	5	5	0	270	279	283	284	280	2.4085	2.2034	0.16217879167676802	0.7249459674512776	0.02265965582380169	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	6	6	0	346	348	353	354	350	3.9846	3.2055	0.26615697392331455	1.3180149586373013	0.017129224996521426	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	7	16	0	358	359	374	382	362	4.6435	3.0281	0.8108939583838402	2.7768860853552244	0.0007138095551459141	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	8	5	0	389	391	395	398	393	2.9583	2.5967	0.18855616134968595	1.2044390488277898	0.02356727693921298	-	cds
YHL021C-t26_1	YHL021C	374	929	998	1572	34.2416	36.0456	66.1486	59.6933	0.416	0.5374	Qualified	9	15	0	419	420	434	443	423	3.2617	2.5581	0.5517141509900364	2.3274147248498673	0.0003778031344542751	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	1	13	0	111	112	124	133	118	4.0095	3.0644	0.42833576560008263	1.5593209316293883	0.00033473315829260573	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	2	6	0	124	133	138	146	134	2.7944	2.3601	0.46015900535738613	0.763261514487789	0.04396979499058378	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	3	11	0	152	156	166	175	163	3.0242	2.4178	0.3949812293976539	1.1281506375797725	0.002199879081513873	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	4	18	0	162	171	188	191	180	3.4541	2.8288	0.9109575669911264	1.6211125066793368	0.18677885686939075	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	5	5	0	202	204	208	217	205	2.9793	2.6356	0.27313414045282536	0.6824835073320877	0.0469626062520907	-	cds
YHL020C-t26_1	YHL020C	213	530	369	645	19.5012	20.5642	24.4578	24.4925	0.3189	0.3565	Qualified	6	5	0	290	291	295	304	294	3.4809	2.7706	0.37013515616986115	0.7207990543685991	0.2041560317796417	-	cds
YHL019C-t26_1	YHL019C	144	345	174	380	13.1839	13.3861	11.5329	14.4297	0.6122	0.4024	Qualified	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL018W-t26_1	YHL018W	31	82	60	75	2.8382	3.1816	3.9769	2.848	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL017W-t26_1	YHL017W	351	892	218	460	32.1359	34.61	14.4493	17.4675	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL016C-t26_1	YHL016C	19	51	10	18	1.7395	1.9788	0.6628	0.6835	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL015W-A-t26_1	YHL015W-A	0	0	0	0	0.0	0.0	0.0	0.0	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL015W-t26_1	YHL015W	21467	53227	43776	75834	1965.4143	2065.2292	2901.5245	2879.6342	0.9962	0.9855	Qualified	1	48	0	71	74	121	124	99	14.1819	5.1827	1028.926771694158	2550.6046377273574	7.336587696239139e-09	-	cds
YHL014C-t26_1	YHL014C	55	139	88	153	5.0355	5.3933	5.8327	5.8098	0.2232	0.1059	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL013C-t26_1	YHL013C	317	837	298	549	29.023	32.4759	19.7518	20.8471	0.4417	0.5617	Qualified	1	13	0	254	254	266	267	263	4.4299	2.9153	0.7681789784577654	3.5263361292949558	0.0015002239304171214	-	cds
YHL012W-t26_1	YHL012W	0	6	2	2	0.0	0.2328	0.1326	0.0759	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL011C-t26_1	YHL011C	1784	4367	3380	5784	163.3344	169.4414	224.0304	219.635	0.7829	0.8664	Qualified	1	36	0	53	54	89	98	76	10.3807	5.0396	21.31076080615377	81.8982246859451	4.493746927589205e-09	-	cds
YHL011C-t26_1	YHL011C	1784	4367	3380	5784	163.3344	169.4414	224.0304	219.635	0.7829	0.8664	Qualified	2	24	0	132	136	159	168	149	3.7047	2.814	8.72940075432164	21.498367103190652	8.14028706680126e-06	-	cds
YHL011C-t26_1	YHL011C	1784	4367	3380	5784	163.3344	169.4414	224.0304	219.635	0.7829	0.8664	Qualified	3	5	0	206	215	219	228	216	3.0739	2.6062	0.9676268799762224	2.2414617561364705	0.0198281410352872	-	cds
YHL011C-t26_1	YHL011C	1784	4367	3380	5784	163.3344	169.4414	224.0304	219.635	0.7829	0.8664	Qualified	4	5	0	235	241	245	251	244	2.1535	2.1007	1.1452913011571373	1.825130981109929	0.22086094078840002	-	cds
YHL011C-t26_1	YHL011C	1784	4367	3380	5784	163.3344	169.4414	224.0304	219.635	0.7829	0.8664	Qualified	5	5	0	291	300	304	311	302	2.4554	2.339	1.4999408278228517	3.493880909466151	0.12938636242937776	-	cds
YHL010C-t26_1	YHL010C	73	196	188	343	6.6835	7.6049	12.4609	13.0247	0.2053	0.2692	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL009C-t26_1	YHL009C	181	400	206	430	16.5715	15.5202	13.6539	16.3283	0.3475	0.3309	Qualified	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL009W-A-t26_1	YHL009W-A	35	54	15	56	3.2044	2.0952	0.9942	2.1265	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL009W-B-t26_1	YHL009W-B	125	182	68	234	11.4444	7.0617	4.5071	8.8857	0.1879	0.1009	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL008C-t26_1	YHL008C	108	244	112	275	9.888	9.4673	7.4235	10.4425	0.1135	0.0427	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL007C-t26_1	YHL007C	770	1876	871	1735	70.4975	72.7896	57.7309	65.8829	0.3423	0.4558	Qualified	1	6	0	382	390	395	397	393	3.0047	2.3811	0.5392911143761401	1.4315908684468135	0.023834974731488563	-	cds
YHL007C-t26_1	YHL007C	770	1876	871	1735	70.4975	72.7896	57.7309	65.8829	0.3423	0.4558	Qualified	2	5	0	568	570	574	576	571	2.8201	2.5228	0.22735656763650025	1.0149174105952665	0.0010467052760020188	-	cds
YHL007C-t26_1	YHL007C	770	1876	871	1735	70.4975	72.7896	57.7309	65.8829	0.3423	0.4558	Qualified	3	9	0	685	691	699	702	695	3.7049	2.8643	0.9621810098918369	2.4368437215767007	0.006657486812294012	-	cds
YHL007C-t26_1	YHL007C	770	1876	871	1735	70.4975	72.7896	57.7309	65.8829	0.3423	0.4558	Qualified	4	8	0	928	929	936	938	933	3.0433	2.4514	0.5447369844605255	1.9866869954213318	0.010649279103333737	-	cds
YHL006C-t26_1	YHL006C	27	44	20	27	2.472	1.7072	1.3256	1.0253	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL004W-t26_1	YHL004W	304	703	417	596	27.8328	27.2767	27.6392	22.6318	0.4206	0.412	Qualified	1	9	0	362	371	379	382	372	2.7739	2.5456	0.6044688903358721	1.0615267837971345	0.15504918560611552	-	cds
YHL003C-t26_1	YHL003C	803	1784	352	733	73.5188	69.2199	23.331	27.8341	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHL002W-t26_1	YHL002W	329	861	446	904	30.1216	33.4071	29.5614	34.3275	0.4108	0.7125	Qualified	1	8	0	59	61	68	72	62	3.9128	3.1495	0.4741133384164077	2.3229251289421833	0.01798963476358743	-	cds
YHL002W-t26_1	YHL002W	329	861	446	904	30.1216	33.4071	29.5614	34.3275	0.4108	0.7125	Qualified	2	8	0	142	146	153	161	151	3.3138	2.6792	0.6890468694390115	1.8392851344829926	0.024592297375827323	-	cds
YHL002W-t26_1	YHL002W	329	861	446	904	30.1216	33.4071	29.5614	34.3275	0.4108	0.7125	Qualified	3	9	0	268	268	276	280	272	4.614	3.1689	1.0910052653661761	3.1569574102952886	0.02923781631596139	-	cds
YHL002W-t26_1	YHL002W	329	861	446	904	30.1216	33.4071	29.5614	34.3275	0.4108	0.7125	Qualified	4	7	0	311	319	325	328	321	4.1797	3.3157	1.0397818224654656	2.579070620957345	0.04561613736020407	-	cds
YHL001W-t26_1	YHL001W	12256	31656	17756	30129	1122.0999	1228.2657	1176.8885	1144.0844	0.9516	0.9577	Qualified	1	12	0	62	62	73	82	66	5.6695	3.532	219.86532658229876	573.4391955230029	0.0007029535025601787	-	cds
YHL001W-t26_1	YHL001W	12256	31656	17756	30129	1122.0999	1228.2657	1176.8885	1144.0844	0.9516	0.9577	Qualified	2	5	0	78	87	91	99	89	2.9236	2.8114	5.56904426849719	13.245745391680638	0.04385214978280331	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	1	5	0	107	111	115	119	115	2.6486	2.4194	1.737337154879113	2.085080703382763	0.4158961511173193	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	2	10	0	157	166	175	183	171	3.9083	3.1147	1.6372735462718269	3.554987118866088	0.0025981473372732964	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	3	5	0	305	313	317	323	316	2.9686	2.7781	0.18157899482017517	1.1136538013817037	0.0383588237897666	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	4	5	0	328	334	338	347	334	2.9936	2.6793	0.4353129321295934	1.0473726304240711	0.249471039777345	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	5	7	0	335	344	350	358	347	3.7594	3.1085	0.5462682809056507	1.848607009123366	0.008350930965712015	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	6	5	0	370	371	375	380	374	2.7853	2.5172	0.44926726518861493	1.2658879410527326	0.07313336297440444	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	7	5	0	408	410	414	423	412	3.2253	2.7628	0.9870270831196297	2.563888419109264	0.07307577435297322	-	cds
YHR001W-t26_1	YHR001W	601	1519	884	1439	55.0246	58.9378	58.5926	54.643	0.547	0.6817	Qualified	8	8	0	411	420	427	434	423	3.7712	2.8161	0.6626694997660936	2.3992135401902006	0.09052613945128213	-	cds
YHR001W-A-t26_1	YHR001W-A	145	343	72	127	13.2755	13.3085	4.7722	4.8226	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHR002W-t26_1	YHR002W	45	105	58	91	4.12	4.074	3.8443	3.4555	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHR003C-t26_1	YHR003C	277	765	615	1076	25.3608	29.6823	40.7629	40.8588	0.3769	0.6654	Qualified	1	30	0	172	181	210	217	196	9.061	4.5109	1.5969418435398874	9.584790823520382	8.444449240364895e-07	-	cds
YHR003C-t26_1	YHR003C	277	765	615	1076	25.3608	29.6823	40.7629	40.8588	0.3769	0.6654	Qualified	2	6	0	269	277	282	286	280	2.4135	2.3305	0.14277858853336087	0.9341394034395651	0.0039275573508384025	-	cds
YHR003C-t26_1	YHR003C	277	765	615	1076	25.3608	29.6823	40.7629	40.8588	0.3769	0.6654	Qualified	3	7	0	361	362	368	370	365	3.0871	2.5754	0.2079563644930931	1.313182679904612	0.02169294714371927	-	cds
YHR004C-t26_1	YHR004C	60	146	65	119	5.4933	5.6649	4.3083	4.5188	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YHR005C-t26_1	YHR005C	761	1878	976	1848	69.6735	72.8672	64.6904	70.1739	0.6087	0.6576	Qualified	1	16	0	84	90	105	114	98	3.6902	2.7746	1.9134702796149026	4.3707183337634525	0.00047807117908955205	-	cds
YHR005C-t26_1	YHR005C	761	1878	976	1848	69.6735	72.8672	64.6904	70.1739	0.6087	0.6576	Qualified	2	5	0	158	159	163	172	162	6.2509	5.8912	0.5780915206629542	2.9960867616338973	0.04749066316299662	-	cds
YHR005C-t26_1	YHR005C	761	1878	976	1848	69.6735	72.8672	64.6904	70.1739	0.6087	0.6576	Qualified	3	10	0	202	204	213	221	212	3.1478	2.5447	0.7154242391119294	2.0574577622866483	0.0008847363933045324	-	cds
