name	wt_ribo_YPD1_cds_rpm	wt_ribo_YPD2_cds_rpm	wt_ribo_YPD3_cds_rpm	ncs2d_ribo_YPD1_cds_rpm	ncs2d_ribo_YPD2_cds_rpm	ncs2d_ribo_YPD3_cds_rpm	elp6d_ribo_YPD1_cds_rpm	elp6d_ribo_YPD2_cds_rpm	elp6d_ribo_YPD3_cds_rpm	ncs2d_elp6d_ribo_YPD1_cds_rpm	ncs2d_elp6d_ribo_YPD2_cds_rpm	ncs2d_elp6d_ribo_YPD3_cds_rpm
NM_001178169.1	12.43	21.22	10.37	15.89	15.42	5.74	12.07	10.35	15.41	20.14	9.51	38.59
NM_001178170.2	69.36	105.29	69.17	79.74	83.81	30.55	50.82	42.26	75.67	76.54	56.75	142.19
NM_001178171.2	57.77	89.18	51.01	68.89	60.17	25.04	48.27	40.42	66.73	62.88	44.31	136.69
NM_001178172.1	4.39	8.02	4.92	6.12	6.42	2.32	4.67	5.3	5.83	6.75	5.68	15.49
NM_001178173.1	2.7	3.43	1.59	2.42	2.14	1.1	1.28	1.44	2.19	1.87	2.07	4.15
NM_001178174.1	46.02	76.56	40.87	49.99	52.52	20.52	42.68	32.7	57.25	57.85	37.86	111.89
NM_001178175.1	17.89	37.77	18.47	33.26	30.45	13.68	18.59	17.24	28.17	39.31	28.13	70.33
NM_001178176.1	10.35	17.65	10.44	16.24	15.82	5.86	10.26	8.37	15.41	13.44	10.64	30.05
NM_001178177.1	11.59	17.86	8.25	12.48	11.82	5.39	7.66	6.94	12.31	10.87	6.58	20.31
NM_001178178.1	18.17	25.45	14.15	18.26	20.26	8.1	18.81	15.41	33.0	25.55	20.69	51.12
NM_001178179.1	6.36	9.26	5.6	6.37	6.53	1.77	4.23	3.91	6.75	5.46	4.15	13.29
NM_001178180.1	762.77	1202.26	635.05	972.63	945.07	368.36	607.59	524.66	941.26	1043.75	735.57	1987.23
NM_001178181.1	125.0	195.2	105.2	202.57	214.4	79.45	140.01	120.08	217.88	251.9	175.74	473.36
NM_001178182.1	0.51	0.66	1.06	0.49	0.56	0.12	0.31	0.35	0.36	0.86	0.36	1.35
NM_001178183.1	12565.61	18252.83	10017.89	12296.18	12585.34	4938.61	8921.76	8001.57	14496.47	10403.98	7529.75	20721.84
NM_001178184.1	16.09	23.33	15.14	20.13	17.9	9.63	16.43	13.82	23.06	30.32	19.52	57.21
NM_001178185.1	16.15	26.1	13.47	13.87	12.55	5.11	13.43	11.15	19.96	15.53	10.37	29.96
NM_001178186.1	37.75	69.64	33.83	45.79	45.93	18.63	39.77	32.5	57.07	57.69	38.22	114.26
NM_001178187.1	111.16	165.3	100.05	135.51	136.05	58.81	100.15	94.52	161.63	158.92	111.6	297.49
NM_001178188.1	43.82	70.95	36.4	49.2	46.1	21.35	30.17	26.8	51.05	51.47	35.29	104.1
NM_001178189.1	127.76	176.82	93.85	166.2	179.28	67.34	116.44	102.49	197.83	197.11	151.58	376.88
NM_001178191.1	17.61	28.44	15.82	19.1	20.43	8.65	13.43	9.96	21.06	21.48	16.05	39.44
NM_001178192.2	10.46	19.1	8.1	12.48	11.82	4.44	9.56	7.88	15.22	15.43	9.69	27.68
NM_001178193.1	10.86	16.55	10.67	14.71	14.13	5.03	10.61	8.22	18.69	17.09	12.44	29.71
NM_001178194.1	37.86	65.99	34.81	50.98	53.47	17.97	31.75	29.13	53.88	48.15	34.03	93.27
NM_001178195.2	23.01	38.21	23.46	32.42	33.04	10.85	21.67	19.02	30.54	32.94	25.02	59.92
NM_001178196.2	67.45	105.73	59.33	75.8	74.75	30.55	65.09	58.55	89.7	102.78	77.53	212.01
NM_001178197.1	1.24	3.43	1.36	1.43	1.58	0.47	1.15	0.84	1.28	2.68	1.89	4.15
NM_001178198.1	4.5	7.44	5.98	4.64	4.45	1.93	2.95	2.58	6.11	4.45	2.93	8.97
NM_001178199.2	9.96	15.6	10.14	12.78	12.55	4.91	9.87	7.08	14.95	16.34	9.24	30.89
NM_001178200.1	15.13	21.22	13.7	17.02	16.83	7.08	12.2	10.2	20.42	20.03	12.76	38.68
NM_001178201.2	37.86	61.1	36.48	39.38	41.77	14.11	24.53	17.88	37.29	34.98	24.48	58.74
NM_001178202.2	55.97	80.06	44.12	69.58	66.48	26.58	52.01	47.31	81.23	58.06	44.22	117.39
NM_001178203.1	5.91	5.54	6.89	8.78	6.64	5.39	7.18	5.6	11.76	21.85	15.87	46.72
NM_001178204.1	3.21	5.18	4.01	4.39	3.71	1.1	3.08	2.63	4.47	3.32	3.56	7.19
NM_001178205.1	1.41	1.17	1.36	0.99	0.84	0.43	0.48	0.94	1.28	1.34	0.72	2.29
NM_001178206.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001178208.1	0.17	0.36	0.08	0.25	0.23	0.08	0.4	0.15	0.27	0.54	0.68	0.76
NM_001178209.1	82.19	124.91	66.3	88.63	82.12	31.06	57.91	50.78	83.6	77.88	54.36	149.13
NM_001178210.1	13.16	21.0	11.96	15.49	17.06	5.15	10.09	9.66	18.78	20.3	12.71	29.28
NM_001178211.1	99.63	159.54	89.08	129.59	125.41	45.17	74.69	65.98	106.02	109.16	78.83	207.36
NM_001178212.1	10.24	14.51	9.99	11.35	11.43	4.25	9.16	7.03	14.13	13.5	8.16	22.51
NM_001178213.1	0.73	1.02	0.76	0.49	0.62	0.43	0.7	0.4	0.73	0.59	0.23	0.68
NM_001178214.1	0.06	0.07	0.15	0.15	0.11	0.08	0.13	0.05	0.0	0.05	0.0	0.17
NM_001178215.2	46.47	77.66	35.95	58.82	49.03	18.04	31.67	27.44	57.25	51.74	36.28	110.19
NM_001178216.1	151.27	202.78	86.05	99.73	110.94	31.8	61.66	51.02	94.99	62.08	43.59	111.21
NM_001178217.1	11.08	19.91	9.31	16.24	16.04	6.57	12.82	11.44	18.42	21.8	15.33	42.06
NM_001178218.2	8.21	13.71	7.34	11.7	9.68	4.29	7.4	5.6	11.85	11.68	8.65	23.95
NM_001178219.1	0.0	0.07	0.0	0.1	0.06	0.04	0.09	0.0	0.09	0.05	0.0	0.17
NM_001178220.2	0.17	0.44	0.3	0.15	0.28	0.12	0.31	0.35	0.55	0.11	0.14	0.51
NM_001178221.1	23.12	37.33	19.75	25.71	25.39	8.65	16.07	13.13	20.33	20.89	14.92	44.43
NM_001178222.1	13.9	23.19	12.64	16.04	15.99	5.5	12.2	11.05	18.78	17.35	12.89	34.45
NM_001178223.1	0.06	0.29	0.0	0.1	0.0	0.0	0.13	0.0	0.27	0.27	0.09	0.08
NM_001178224.1	7.2	13.85	8.55	9.03	9.34	3.54	6.83	6.64	8.93	10.66	7.57	24.71
NM_001178225.1	9.45	14.66	7.19	9.38	9.29	4.09	8.28	6.49	11.4	13.02	10.73	24.71
NM_001178226.1	1.74	2.41	1.82	2.62	3.04	1.06	2.86	3.02	6.2	10.28	8.79	19.04
NM_001178227.1	37.8	53.16	37.46	33.06	35.8	14.94	23.47	23.23	43.85	37.55	21.32	69.74
NM_001178230.1	0.79	0.58	0.68	0.84	0.51	0.28	0.26	0.64	1.0	0.96	0.77	1.61
NM_001178235.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17
NM_001178236.1	0.17	0.88	0.0	0.69	0.73	0.28	0.35	0.64	1.73	1.07	1.44	4.74
NM_001178239.1	295.28	454.79	274.88	87.49	77.28	12.27	67.56	65.49	73.2	6.32	4.33	12.02
NM_001178241.1	53.84	85.68	49.19	74.32	72.39	26.03	54.83	43.35	80.77	81.2	64.77	163.01
NM_001178242.1	426.3	679.01	352.0	448.66	469.16	151.35	349.82	296.44	536.95	485.64	345.76	883.42
NM_001178243.1	432.32	651.08	363.35	435.54	469.55	161.73	347.48	312.09	574.42	505.24	366.5	934.03
NM_001178244.1	183.79	311.36	155.83	211.8	192.9	75.68	163.48	136.53	234.56	210.07	145.23	419.87
NM_001178245.1	9.73	14.51	13.09	11.6	8.89	6.21	10.7	8.47	10.85	12.05	10.1	26.58
NM_001178246.1	22.84	37.77	21.49	22.95	24.82	8.96	15.63	14.47	25.34	23.67	15.33	39.61
NM_001178247.1	318.18	517.93	231.97	345.58	298.32	123.13	205.1	181.36	332.29	306.85	210.72	608.95
NM_001178248.2	16.43	29.6	19.0	21.47	21.9	8.41	15.68	14.12	23.79	21.42	14.51	42.23
NM_001178249.1	37.13	60.67	35.49	36.76	34.0	13.33	25.85	20.71	34.82	36.1	23.66	66.86
NM_001178250.1	9.23	16.63	8.33	10.56	12.66	3.54	8.19	6.14	13.31	11.78	8.56	25.31
NM_001178251.1	41.24	68.47	35.87	35.97	33.27	13.05	21.49	20.76	34.64	29.51	22.18	58.65
NM_001178253.1	5.06	8.68	4.69	5.28	3.66	1.45	3.17	3.37	5.11	6.8	4.64	11.26
NM_001178254.2	5.06	12.61	7.49	10.41	10.36	4.44	6.96	6.94	11.85	12.43	9.11	21.24
NM_001178255.1	24.75	38.94	21.04	25.36	23.08	9.08	18.41	16.05	30.9	22.55	14.78	46.04
NM_001178256.1	26.72	42.29	23.92	28.08	32.03	12.46	17.31	16.94	32.55	22.01	17.49	47.23
NM_001178257.1	187.95	307.2	174.45	213.62	220.82	76.46	145.51	127.16	212.32	182.16	132.97	383.23
NM_001178258.1	13.22	21.07	14.83	16.93	14.63	5.35	13.74	10.75	21.79	14.57	11.0	26.91
NM_001178259.1	4.16	6.64	4.84	6.02	5.69	1.65	4.49	5.05	6.29	7.34	5.32	13.12
NM_001178260.1	25.15	41.42	24.52	24.18	24.82	8.37	18.76	19.57	30.54	22.44	17.13	48.83
NM_001178261.1	6.58	14.44	6.74	12.93	13.62	4.91	7.18	6.59	11.76	14.57	10.28	26.66
NM_001178262.1	151.27	243.33	132.07	262.53	236.46	102.61	186.95	155.45	282.42	333.96	238.04	654.14
NM_001178263.1	44.89	82.62	45.18	52.85	47.45	20.88	34.04	28.93	52.33	52.33	33.9	95.13
NM_001178264.1	227.05	361.45	214.56	238.1	243.89	95.92	166.34	137.12	259.27	201.18	152.71	389.41
NM_001178265.1	6.24	11.89	5.45	8.93	7.71	3.07	4.93	5.25	7.38	7.55	5.72	14.98
NM_001178266.1	31.28	47.32	33.75	26.6	32.08	10.58	23.08	18.82	35.01	29.46	21.82	52.64
NM_001178267.1	1926.81	2929.38	1493.51	2087.08	2122.1	720.37	1316.73	1135.27	2033.04	1867.42	1379.45	3527.41
NM_001178268.1	51.14	79.77	44.2	58.87	54.66	19.46	29.02	27.39	47.5	46.44	35.47	78.29
NM_001178269.1	2.98	4.81	2.19	3.01	2.93	0.59	2.33	2.13	2.64	3.0	2.12	3.72
NM_001178270.1	310.53	516.11	269.66	429.27	417.6	147.5	287.81	270.48	463.57	519.28	383.99	1050.83
NM_001178271.1	7.82	11.16	6.58	10.07	9.34	2.87	7.53	6.19	10.85	11.84	6.9	20.82
NM_001178272.1	124.16	196.07	101.64	116.8	110.72	41.24	72.18	63.95	114.14	89.13	65.99	184.93
NM_001178273.1	24.98	39.67	24.6	29.56	29.72	12.19	21.98	17.39	32.64	32.62	21.82	54.08
NM_001178274.1	31.73	53.08	29.82	38.79	38.33	14.03	26.47	22.29	37.92	34.92	27.13	70.59
NM_001178275.1	42.25	64.68	33.0	50.93	48.69	16.87	28.36	25.21	45.49	40.81	26.01	76.85
NM_001178276.1	52.66	94.72	49.5	82.61	78.92	28.42	52.1	45.03	72.2	84.89	64.01	153.87
NM_001178277.1	31.45	46.01	29.74	40.12	34.17	15.92	31.89	26.55	44.94	52.81	37.14	113.33
NM_001178278.1	19.46	29.9	19.0	30.45	27.86	9.67	19.07	15.36	26.35	30.8	23.26	61.53
NM_001178279.1	396.09	621.55	328.31	386.09	389.85	138.93	273.45	222.08	422.63	356.02	266.07	694.01
NM_001178280.1	56.87	92.61	47.91	67.36	75.2	25.32	52.67	44.53	71.65	74.13	55.53	152.85
NM_001178281.1	148.23	236.84	129.19	148.93	148.82	55.31	96.18	82.33	148.51	131.49	98.08	251.79
NM_001178282.1	67.73	110.18	55.32	58.53	54.49	23.59	44.57	37.4	65.91	48.69	38.9	90.56
NM_001178283.1	0.17	0.22	0.23	0.15	0.62	0.16	0.13	0.1	0.27	0.32	0.54	1.02
NM_001178284.1	0.0	0.0	0.0	0.1	0.0	0.08	0.0	0.1	0.09	0.0	0.0	0.0
NM_001178285.1	91.87	157.21	76.59	155.99	159.91	54.21	124.24	115.28	204.39	259.45	179.8	516.78
NM_001178286.1	13.16	23.92	13.24	21.42	20.83	7.78	13.04	10.11	17.87	23.73	17.08	48.24
NM_001178287.1	295.62	470.03	227.05	412.1	357.99	145.22	257.73	255.22	402.67	442.26	295.33	857.86
NM_001178289.1	0.28	0.73	0.38	0.39	0.39	0.24	0.31	0.25	0.64	1.45	0.72	1.52
NM_001178290.1	73.13	118.49	56.69	85.12	86.51	29.52	52.1	41.36	75.57	75.74	55.62	146.5
NM_001178291.1	98.11	166.83	79.39	148.24	131.49	56.02	90.37	78.27	132.73	156.18	100.83	302.74
NM_001178292.1	6.98	9.33	7.11	8.14	7.6	3.07	6.3	4.56	7.75	6.86	4.06	15.74
NM_001178294.1	37.41	59.43	35.34	34.89	36.08	15.25	24.22	23.43	45.03	31.82	24.2	52.98
NM_001178295.1	20.93	29.31	17.86	18.21	19.7	7.98	16.52	13.28	24.8	16.82	12.12	32.5
NM_001178296.2	93.1	139.78	86.28	107.03	102.89	40.81	75.79	65.39	113.59	99.3	71.53	195.59
NM_001178297.2	25.26	37.33	22.7	28.18	28.03	10.89	20.88	18.68	28.81	35.62	27.22	65.25
NM_001178298.1	153.97	247.26	114.81	250.98	238.32	89.28	143.04	122.56	225.54	292.39	217.8	565.19
NM_001178299.1	4.95	9.04	5.07	8.54	8.56	3.15	5.11	5.75	9.12	10.71	6.76	20.48
NM_001178300.1	9.17	14.73	9.16	13.03	11.93	4.32	9.34	8.17	12.67	15.69	10.86	26.58
NM_001178301.1	38.93	66.79	31.64	48.41	43.85	16.9	33.56	24.97	50.41	44.46	31.06	86.5
NM_001178303.1	15.53	27.64	14.76	19.64	16.94	7.12	14.23	12.93	20.15	20.35	15.82	38.51
NM_001178304.1	42.53	62.49	35.19	67.51	68.5	24.65	45.71	39.28	66.46	94.59	64.86	164.19
NM_001178306.1	9.45	13.34	8.33	11.15	11.82	4.32	9.34	8.27	12.76	16.28	10.86	33.52
NM_001178307.2	23.4	43.97	23.08	25.27	22.91	9.75	21.36	14.91	29.81	25.33	19.2	54.67
NM_001178308.2	64.19	94.57	53.43	73.28	73.91	27.79	60.07	48.05	86.51	71.88	57.24	141.26
NM_001178309.1	38.99	60.59	30.65	42.09	38.89	14.98	28.8	23.83	40.39	40.12	26.14	72.7
NM_001178312.1	3751.62	5574.32	2816.28	3593.05	3700.12	1299.49	2376.22	2080.36	3752.39	3152.35	2262.23	5997.48
NM_001178314.1	7.26	14.29	8.33	9.52	9.34	3.73	5.99	5.94	12.12	9.27	7.89	19.8
NM_001178315.1	1.18	3.65	0.83	5.92	5.29	1.1	2.42	4.06	3.28	12.64	12.26	22.34
NM_001178316.1	978.84	1522.52	867.92	1238.51	1161.1	454.58	928.77	773.49	1403.92	1287.83	924.47	2620.21
NM_001178318.1	5.68	10.72	5.3	12.39	11.82	4.13	7.57	5.2	8.39	16.76	9.87	26.74
NM_001178319.1	75.21	123.23	69.48	96.87	94.45	39.16	76.23	62.07	110.22	102.73	73.52	226.31
NM_001178320.2	6.92	7.8	4.54	6.81	6.87	2.52	6.96	5.05	6.29	10.28	6.63	17.94
NM_001178321.1	25.54	39.81	21.72	25.51	27.75	11.36	18.14	17.69	30.08	28.07	18.93	47.99
NM_001178322.1	28.86	42.95	23.46	28.67	29.04	12.34	20.04	19.22	32.18	27.37	21.14	53.83
NM_001178324.2	10.97	17.57	9.69	11.1	12.33	4.8	11.19	10.5	14.5	18.32	11.63	28.52
NM_001178325.1	47.14	78.53	39.88	57.09	54.54	19.11	34.66	30.86	56.52	52.92	37.19	103.51
NM_001178326.1	16.37	22.24	12.18	22.7	23.58	8.41	13.52	12.88	20.33	30.32	20.6	58.65
NM_001178327.1	1218.16	1907.45	1049.48	1281.49	1284.93	503.91	782.03	721.18	1265.62	1091.9	844.42	2135.34
NM_001178328.2	7.48	8.9	7.57	8.29	7.32	2.71	6.69	4.95	8.75	7.23	5.99	17.1
NM_001178329.1	12.43	18.01	11.88	14.51	16.04	5.9	11.63	9.36	17.69	16.66	12.4	31.06
NM_001178330.1	16.88	28.07	14.3	24.18	21.78	7.27	12.68	11.15	16.77	18.32	15.01	37.58
NM_001178331.2	136.36	219.48	119.58	129.39	130.76	50.83	87.73	77.82	131.28	119.98	87.22	227.84
NM_001178332.1	2145.7	3327.95	1539.98	2176.25	2364.59	685.03	1434.36	1223.4	2294.04	1748.46	1213.31	3247.44
NM_001178333.1	28.35	40.83	26.56	33.06	33.49	14.47	16.3	14.51	27.17	28.23	18.75	49.85
NM_001178335.1	4.22	5.91	3.56	3.11	3.26	0.94	2.29	2.33	4.92	3.27	2.03	6.94
NM_001178337.2	15.19	23.48	12.87	16.83	17.39	6.92	14.0	10.85	18.32	19.17	13.07	38.42
NM_001178338.1	21.94	36.09	18.84	27.78	30.68	10.14	26.56	20.01	38.11	30.16	25.87	65.51
NM_001178339.2	471.76	785.1	370.99	571.73	582.91	205.96	371.4	336.22	611.8	645.31	474.32	1274.35
NM_001178341.1	28.97	45.28	22.93	37.6	36.36	15.25	29.55	24.13	47.86	49.17	31.01	92.25
NM_001178342.1	37.07	55.56	35.95	52.41	52.85	20.99	35.81	32.35	54.24	57.42	45.21	124.16
NM_001178343.1	19.01	28.22	14.46	18.31	18.29	7.43	12.77	10.75	20.79	18.53	13.03	38.17
NM_001178344.1	19.97	30.63	15.74	22.01	22.23	9.99	17.4	15.85	25.25	24.42	15.51	53.15
NM_001178345.2	38.93	74.08	41.47	56.26	55.78	19.97	37.39	32.7	58.44	55.97	39.53	105.46
NM_001178346.2	11.81	18.89	14.99	9.57	10.86	3.58	10.44	9.02	16.41	7.02	6.85	18.54
NM_001178347.1	11.87	19.25	11.73	16.38	16.72	6.33	11.67	12.09	18.05	16.87	15.37	35.21
NM_001178349.1	23.74	39.3	20.21	33.06	29.44	11.6	27.17	21.25	31.0	40.55	29.52	77.86
NM_001178350.1	15.75	28.22	13.47	17.47	17.79	7.19	13.08	11.49	18.6	18.32	12.62	36.22
NM_001178351.1	21.04	39.3	19.6	23.49	25.39	9.87	19.77	17.24	32.36	28.07	23.26	59.84
NM_001178352.2	22.05	31.35	17.56	25.96	24.32	8.02	19.25	17.69	24.16	26.94	19.79	55.94
NM_001178353.1	5.12	9.77	5.07	7.3	8.05	2.83	4.67	4.31	9.57	10.18	8.29	18.7
NM_001178354.1	10.01	18.52	12.34	14.46	14.02	5.46	11.19	7.98	15.5	19.55	15.24	37.83
NM_001178355.2	16.82	24.72	14.76	19.84	18.35	6.45	14.0	12.88	20.51	21.69	17.22	44.69
NM_001178356.1	2.87	9.33	7.87	7.01	7.71	2.2	5.59	4.95	7.29	12.16	7.08	8.8
NM_001178357.1	569.02	860.86	476.49	675.07	658.23	227.86	410.5	365.3	600.31	617.62	464.36	1205.45
NM_001178358.1	763.89	1126.14	623.92	769.66	796.13	276.88	501.23	466.06	877.54	789.49	555.23	1483.31
NM_001178359.1	1206.9	1785.24	1042.6	1169.62	1288.59	482.41	871.57	766.01	1357.24	1150.71	845.1	2292.25
NM_001178361.1	4.11	7.0	3.63	7.2	6.59	2.4	4.76	3.52	7.29	7.18	5.14	14.05
NM_001178362.1	31.56	53.59	29.21	35.18	34.11	12.38	24.35	19.72	37.65	28.33	26.23	63.56
NM_001178363.1	84.61	138.47	76.21	94.75	94.79	39.9	72.58	62.91	106.93	99.2	74.96	189.33
NM_001178364.1	51.87	77.58	40.19	67.31	65.35	21.35	31.84	30.91	54.7	69.68	45.3	118.66
NM_001178365.1	113.02	180.76	103.84	142.51	139.65	55.08	118.87	94.37	167.19	161.01	118.55	328.64
NM_001178366.1	0.11	0.15	0.23	0.44	0.34	0.16	0.35	0.3	0.55	0.59	0.54	1.27
NM_001178367.1	0.28	0.66	0.53	0.35	0.56	0.16	0.57	0.5	0.36	0.96	0.41	1.1
NM_001178368.1	0.06	0.0	0.0	0.1	0.06	0.04	0.0	0.1	0.0	0.16	0.09	0.08
NM_001178369.1	13.33	23.04	11.58	10.46	11.54	4.84	10.09	8.72	12.4	10.98	9.74	21.41
NM_001178370.1	9.56	14.95	9.23	14.51	14.18	5.74	12.42	9.41	16.41	20.09	15.19	37.66
NM_001178371.1	73.69	123.67	67.05	94.89	93.72	36.6	62.71	55.88	100.19	96.09	71.89	191.78
NM_001178372.1	10.35	15.02	9.38	9.97	9.68	4.05	6.34	6.39	8.84	10.5	7.03	20.9
NM_001178373.1	741.9	1165.15	656.01	845.51	826.13	298.07	581.73	475.17	855.3	758.75	549.32	1496.01
NM_001178374.1	55.81	99.61	46.39	89.02	88.65	32.94	60.38	52.91	92.71	112.43	82.8	212.26
NM_001178376.1	22.0	33.03	18.47	21.27	24.15	10.42	17.35	16.1	28.72	22.44	14.33	38.17
NM_001178377.1	57.77	100.77	52.52	71.8	64.39	27.44	49.06	43.05	68.74	63.15	51.2	127.97
NM_001178378.1	12.71	19.76	10.9	17.17	18.74	7.47	11.45	10.2	19.05	19.17	14.87	36.56
NM_001178379.1	5058.88	7501.38	3581.81	4515.1	4597.35	1653.27	2803.1	2432.97	4688.82	3643.46	2645.64	7226.04
NM_001178381.1	0.39	0.73	0.45	0.35	0.11	0.04	0.48	0.05	0.64	0.48	0.63	1.18
NM_001178382.1	92.2	145.91	80.45	90.95	91.69	36.52	67.34	59.54	105.84	79.54	60.31	148.28
NM_001178383.1	80.05	126.44	66.22	84.63	85.22	31.33	62.98	54.39	89.43	91.32	67.57	179.76
NM_001178384.1	79.1	116.23	70.38	98.0	92.71	40.26	75.71	63.46	105.2	111.84	83.79	242.56
NM_001178385.1	19.46	28.8	13.4	24.43	23.47	8.88	20.39	21.1	31.63	38.72	31.42	77.44
NM_001178386.1	107.28	172.6	92.79	129.83	127.77	50.08	105.21	84.26	142.76	152.86	114.98	320.26
NM_001178387.1	127.7	221.74	112.46	194.72	201.68	61.49	134.19	117.31	215.42	243.65	182.91	451.87
NM_001178388.1	0.17	0.8	0.3	0.49	0.23	0.28	0.09	0.15	0.27	0.43	0.14	0.76
NM_001178389.1	44.44	75.54	41.25	52.75	53.98	22.41	38.01	35.67	54.52	56.19	43.09	117.98
NM_001178390.1	26.05	47.25	26.03	29.31	27.92	11.79	25.19	19.37	31.18	26.57	21.64	56.62
NM_001178391.2	5.51	9.41	5.9	6.51	6.87	3.38	6.87	5.3	8.75	7.45	6.4	15.83
NM_001178392.2	6.92	8.82	4.92	5.92	7.09	2.16	5.86	5.05	9.03	8.09	5.23	15.91
NM_001178393.2	1.18	2.41	1.29	1.28	1.18	0.39	0.66	0.59	1.0	0.91	0.45	1.69
NM_001178394.1	31.67	50.09	28.15	37.4	36.02	13.05	21.98	19.77	26.07	26.19	17.89	55.69
NM_001178395.1	6.19	9.77	6.05	7.3	7.6	2.75	6.69	5.65	8.02	9.43	6.4	18.45
NM_001178396.1	1563.0	2337.88	1162.48	1416.55	1496.52	529.27	895.04	826.35	1527.36	1288.15	870.93	2439.35
NM_001178397.1	104.02	176.02	72.28	124.7	103.46	42.5	68.7	60.83	106.84	99.57	73.7	214.55
NM_001178398.1	0.73	1.46	0.23	0.54	0.56	0.2	0.7	0.5	0.64	0.21	0.32	0.85
NM_001178400.1	47.59	74.45	46.85	66.17	70.64	26.18	43.42	36.51	67.28	79.06	54.9	147.26
NM_001178401.1	37.24	62.85	35.57	23.98	25.1	9.44	21.05	17.64	28.81	22.17	18.03	51.46
NM_001178402.1	44.22	80.79	37.99	28.97	24.2	6.57	18.98	13.33	23.06	6.0	4.78	12.7
NM_001178403.1	20.03	43.97	19.6	27.88	24.77	10.3	17.09	14.66	27.26	27.64	21.32	55.77
NM_001178404.1	35.1	60.38	33.0	47.57	46.66	18.95	29.11	25.86	41.75	47.08	31.37	86.16
NM_001178405.1	20.25	33.76	16.35	24.57	25.05	8.33	12.95	14.61	21.88	25.66	20.15	52.05
NM_001178406.1	65.82	108.36	55.78	78.07	82.69	31.21	57.12	48.6	89.16	80.77	61.03	148.03
NM_001178407.1	60.14	99.24	54.04	88.82	74.19	33.53	56.46	50.93	80.5	103.0	69.01	187.13
NM_001178408.1	23.91	39.3	18.92	25.96	22.57	9.44	14.49	12.93	17.69	19.6	14.83	38.25
NM_001178409.3	36.17	56.51	31.11	36.07	38.11	13.88	23.52	21.25	35.01	33.53	22.4	64.41
