name	SRR1944912_f0	SRR1944912_f1	SRR1944912_f2	SRR1944913_f0	SRR1944913_f1	SRR1944913_f2	SRR1944914_f0	SRR1944914_f1	SRR1944914_f2	SRR1944915_f0	SRR1944915_f1	SRR1944915_f2	SRR1944916_f0	SRR1944916_f1	SRR1944916_f2	SRR1944917_f0	SRR1944917_f1	SRR1944917_f2
NM_001178159.1	113	72	43	177	77	47	89	27	48	191	136	47	157	95	71	72	34	55
NM_001178160.1	71	37	20	83	46	46	55	16	25	92	74	37	96	41	39	43	28	26
NM_001178161.1	1704	866	694	2217	1044	916	1059	413	605	2576	1723	678	2219	992	988	1120	446	587
NM_001178162.2	332	162	130	382	159	153	205	90	129	424	270	134	339	161	157	201	81	115
NM_001178163.1	1	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0
NM_001178164.1	631	318	283	863	367	345	405	134	243	919	591	249	755	352	376	443	170	221
NM_001178165.2	83	35	46	101	48	42	57	16	29	103	69	26	110	45	42	71	39	40
NM_001178166.1	877	493	338	1100	575	485	498	224	303	1061	652	328	906	440	439	572	199	296
NM_001178167.1	380	217	164	527	249	193	241	97	153	490	378	155	476	195	235	265	117	120
NM_001178168.1	2757	1431	1081	3449	1621	1327	1773	657	1028	2877	2137	835	2438	1249	1174	1510	630	804
NM_001178169.1	117	65	45	155	70	74	72	33	41	178	98	52	145	72	65	94	22	37
NM_001178170.2	663	362	242	827	345	343	460	209	285	846	570	257	817	365	358	414	152	233
NM_001178171.2	537	274	218	636	298	289	354	134	192	742	464	191	539	271	260	338	137	166
NM_001178172.1	38	25	15	52	34	27	35	18	16	58	46	21	68	22	27	28	19	17
NM_001178173.1	22	20	6	26	12	10	12	3	8	29	14	6	23	9	6	12	6	11
NM_001178174.1	418	245	183	548	286	242	291	108	156	527	355	153	499	213	233	301	104	128
NM_001178175.1	240	90	83	342	137	125	179	58	87	372	290	99	327	128	148	228	86	106
NM_001178176.1	110	43	38	129	59	59	84	23	37	173	111	56	149	58	81	80	34	43
NM_001178177.1	113	50	46	125	71	54	60	24	29	119	99	40	122	47	47	71	32	40
NM_001178178.1	178	99	64	226	72	94	126	33	59	209	138	58	208	108	96	115	48	65
NM_001178179.1	63	27	28	66	33	35	33	16	29	74	46	14	55	35	28	31	5	12
NM_001178180.1	6948	3629	3096	8733	3989	3964	4351	1749	2426	10275	6847	2799	8582	4271	4130	4957	2093	2442
NM_001178181.1	1192	601	480	1526	648	593	775	265	427	2162	1543	574	2019	935	956	1158	432	522
NM_001178182.1	5	1	4	4	2	3	7	4	3	2	5	3	3	4	3	0	2	1
NM_001178183.1	109543	72580	45772	127723	74351	54094	68957	31072	37456	111018	104569	38607	107792	64178	56887	66038	30149	32759
NM_001178184.1	134	104	65	167	97	73	92	43	73	211	155	63	170	87	80	139	46	71
NM_001178185.1	149	66	74	215	99	58	108	32	52	144	98	46	113	46	67	71	22	40
NM_001178186.1	384	158	135	515	250	200	248	70	139	502	298	133	422	192	213	258	86	132
NM_001178187.1	1040	551	431	1281	569	480	704	257	391	1360	1039	395	1262	636	587	800	325	392
NM_001178188.1	389	243	160	496	273	219	253	94	139	489	392	134	401	216	218	302	116	141
NM_001178189.1	1186	667	593	1340	649	622	676	293	416	1743	1260	534	1663	836	884	912	421	516
NM_001178191.1	177	91	61	217	111	86	109	41	62	207	132	67	193	107	91	112	54	69
NM_001178192.2	104	45	45	152	48	75	59	15	37	117	97	44	107	50	62	66	23	30
NM_001178193.1	102	37	54	128	70	29	73	41	30	148	112	41	147	59	50	65	25	39
NM_001178194.1	372	187	157	493	247	196	260	108	105	522	424	128	470	260	264	258	96	119
NM_001178195.2	204	110	105	269	138	125	169	53	95	356	207	99	308	133	151	142	68	75
NM_001178196.2	604	376	240	759	379	332	417	168	219	754	585	226	663	368	323	403	156	225
NM_001178197.1	13	6	3	18	18	11	10	4	4	10	14	5	10	8	10	5	4	3
NM_001178198.1	32	31	17	44	30	29	29	17	33	53	31	15	33	26	21	26	6	17
NM_001178199.2	103	43	39	123	50	49	69	34	37	139	93	40	132	53	49	56	27	51
NM_001178200.1	147	63	67	161	72	72	93	39	53	189	124	45	149	82	82	86	38	58
NM_001178201.2	352	185	156	432	196	214	243	102	144	425	263	117	392	178	176	200	80	79
NM_001178202.2	529	283	216	621	253	262	308	120	179	688	541	218	628	290	291	371	135	195
NM_001178203.1	53	35	18	38	20	21	49	23	22	86	76	20	72	28	22	73	28	38
NM_001178204.1	31	14	12	36	9	26	20	15	18	49	27	13	35	13	18	9	8	11
NM_001178205.1	5	17	5	6	5	5	4	9	5	9	6	5	7	4	4	2	5	4
NM_001178206.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178208.1	2	0	1	2	2	1	1	0	0	3	2	0	3	0	1	2	0	0
NM_001178209.1	791	373	320	874	478	382	444	171	278	964	604	251	772	341	371	443	163	197
NM_001178210.1	140	57	43	169	62	62	94	35	36	168	103	47	167	87	61	75	28	34
NM_001178211.1	887	478	423	1135	568	529	633	236	331	1334	918	406	1182	499	580	625	227	318
NM_001178212.1	109	50	28	124	38	50	75	16	44	125	78	35	102	55	52	68	18	25
NM_001178213.1	2	3	8	3	1	10	2	3	5	1	3	6	1	3	7	2	5	4
NM_001178214.1	1	0	0	0	1	0	2	0	0	2	1	0	2	0	0	1	1	0
NM_001178215.2	421	215	196	545	259	276	250	100	135	637	401	173	464	230	204	216	121	132
NM_001178216.1	1385	782	597	1534	777	549	597	272	313	1046	761	260	1016	500	504	437	191	212
NM_001178217.1	98	57	53	164	68	60	69	26	33	156	137	43	164	72	59	96	35	43
NM_001178218.2	69	43	37	104	53	33	50	15	33	121	76	40	83	39	50	62	21	27
NM_001178219.1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0
NM_001178220.2	0	1	2	3	1	2	3	1	1	0	3	0	2	2	1	2	0	1
NM_001178221.1	194	161	72	282	159	102	155	47	68	266	176	95	262	99	108	137	46	52
NM_001178222.1	124	78	54	175	97	62	85	34	53	157	121	53	159	71	66	68	39	40
NM_001178223.1	0	1	0	1	1	2	0	1	0	1	1	0	0	0	0	0	0	0
NM_001178224.1	73	34	21	110	49	31	59	30	26	99	60	25	91	42	34	56	13	22
NM_001178225.1	96	40	39	119	55	41	47	25	29	103	59	34	97	39	32	48	22	36
NM_001178226.1	17	9	6	19	12	2	8	9	7	16	26	11	33	12	11	14	7	7
NM_001178227.1	332	179	169	380	189	166	265	110	131	332	245	99	329	146	168	200	79	105
NM_001178230.1	5	9	2	5	2	1	2	5	2	8	5	4	4	3	2	2	1	4
NM_001178235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178236.1	0	3	0	4	7	1	0	0	0	3	6	5	4	2	7	0	2	5
NM_001178239.1	2675	1528	1148	3311	1717	1384	1851	847	1044	893	685	235	737	323	352	160	71	89
NM_001178241.1	522	275	221	634	342	292	379	117	205	787	578	251	687	368	315	356	140	200
NM_001178242.1	4018	2525	1680	5031	2812	2209	2619	1201	1354	4595	3656	1422	4271	2389	2187	2273	961	1050
NM_001178243.1	4563	2225	1731	5214	2358	2289	2767	1115	1541	5367	3268	1120	5097	2011	2074	2540	989	1205
NM_001178244.1	1748	879	672	2256	1095	950	1021	412	657	2295	1449	572	1854	842	767	1010	412	525
NM_001178245.1	78	52	43	104	64	32	90	26	63	123	79	36	87	34	43	75	35	49
NM_001178246.1	213	122	90	315	122	117	153	64	84	250	181	72	266	120	100	126	52	71
NM_001178247.1	2923	1526	1247	3840	1716	1602	1582	594	932	3681	2431	926	2867	1250	1213	1688	643	833
NM_001178248.2	154	81	59	240	84	88	133	46	78	243	129	68	195	93	110	115	50	52
NM_001178249.1	348	178	139	481	177	186	257	88	134	412	243	95	337	143	134	183	57	107
NM_001178250.1	89	36	44	119	55	57	57	22	33	120	64	34	129	60	40	47	20	25
NM_001178251.1	378	208	158	489	279	186	224	120	137	329	270	141	305	161	137	190	71	76
NM_001178253.1	45	19	26	65	30	27	28	13	27	52	44	12	37	18	20	17	12	11
NM_001178254.2	56	22	14	94	43	43	47	25	33	114	74	31	95	65	33	66	22	28
NM_001178255.1	220	149	87	286	148	119	167	47	69	254	182	89	194	118	111	129	47	64
NM_001178256.1	239	148	105	307	151	143	179	65	90	282	210	96	288	156	136	181	60	86
NM_001178257.1	1805	900	721	2274	1065	965	1164	477	719	2273	1532	583	2088	956	932	1068	433	491
NM_001178258.1	95	69	82	138	84	85	97	38	79	159	129	82	120	83	84	75	36	47
NM_001178259.1	49	17	15	51	30	15	43	9	17	54	51	24	57	26	27	22	7	16
NM_001178260.1	207	146	100	300	155	122	179	62	96	240	175	85	223	112	118	106	58	52
NM_001178261.1	69	33	26	110	53	45	51	18	26	148	98	34	127	65	65	61	28	46
NM_001178262.1	1358	724	628	1800	823	747	877	349	547	2712	1883	756	2116	1035	1090	1436	503	686
NM_001178263.1	405	193	207	638	248	257	311	112	188	595	366	122	463	187	198	277	113	149
NM_001178264.1	2189	1011	914	2646	1211	1200	1521	544	847	2557	1709	698	2239	1049	1111	1342	508	642
NM_001178265.1	70	18	31	92	39	42	46	15	23	103	57	36	69	40	34	46	19	22
NM_001178266.1	302	191	147	381	227	158	232	142	140	272	240	87	297	183	155	139	96	69
NM_001178267.1	18315	9959	7955	22029	10503	9733	10705	4005	6140	21393	16586	6104	20182	9841	9440	10229	3823	5083
NM_001178268.1	505	298	205	621	299	290	343	122	217	669	397	214	560	251	245	313	105	151
NM_001178269.1	28	17	10	24	24	19	15	3	11	26	28	10	25	19	9	8	3	5
NM_001178270.1	2932	1512	1205	3871	1659	1710	1898	743	1101	4375	3118	1326	4032	1697	1813	2037	808	1054
NM_001178271.1	71	44	31	87	37	30	42	22	25	79	89	37	85	48	37	43	15	17
NM_001178272.1	1137	675	490	1410	695	659	703	268	430	1143	895	374	953	528	544	566	240	269
NM_001178273.1	233	136	85	304	126	126	184	61	98	303	222	87	260	145	134	162	65	89
NM_001178274.1	286	161	124	380	182	171	178	99	124	412	284	100	342	175	172	192	59	107
NM_001178275.1	405	213	144	493	214	199	255	87	111	556	349	151	473	198	212	226	91	116
NM_001178276.1	484	267	227	728	322	313	368	141	201	874	618	256	720	374	365	393	187	200
NM_001178277.1	306	165	96	356	162	127	218	76	102	411	290	115	326	145	143	208	88	113
NM_001178278.1	198	93	67	249	96	82	152	34	75	338	201	101	286	113	115	128	49	76
NM_001178279.1	3751	1908	1482	4680	2081	1908	2251	902	1296	4009	2900	1029	3731	1708	1586	1892	720	977
NM_001178280.1	589	269	198	712	336	285	343	122	211	656	554	214	698	367	332	358	145	157
NM_001178281.1	1433	683	570	1780	815	733	897	337	568	1591	1064	426	1416	633	657	797	275	387
NM_001178282.1	643	323	254	830	385	320	386	138	230	588	451	160	477	280	232	309	134	167
NM_001178283.1	2	1	1	1	2	0	1	1	1	1	2	0	9	4	1	2	1	1
NM_001178284.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1
NM_001178285.1	782	538	354	1080	676	460	489	230	317	1511	1197	513	1412	772	727	746	293	363
NM_001178286.1	124	71	53	186	78	81	92	32	59	222	168	66	196	97	90	100	26	80
NM_001178287.1	2762	1460	1097	3526	1572	1424	1590	617	879	4535	2796	1098	3454	1497	1480	2009	774	958
NM_001178289.1	3	2	0	6	1	3	3	1	1	4	4	0	4	2	1	3	0	3
NM_001178290.1	683	346	319	934	378	364	391	149	239	947	579	249	846	363	366	418	170	198
NM_001178291.1	910	519	333	1187	558	564	567	223	297	1673	944	420	1262	537	574	787	294	372
NM_001178292.1	65	22	39	72	31	28	50	15	35	90	59	18	64	41	34	41	12	27
NM_001178294.1	358	169	144	446	199	177	224	95	153	364	246	102	347	159	149	221	79	91
NM_001178295.1	190	123	61	210	93	102	139	37	62	175	135	60	174	86	91	112	44	47
NM_001178296.2	835	480	377	1044	496	449	606	239	330	1206	731	279	1022	453	415	563	224	280
NM_001178297.2	242	132	109	305	120	146	166	55	105	319	208	85	292	109	134	150	53	91
NM_001178298.1	1482	727	570	1902	817	728	797	310	467	2685	1820	660	2314	1021	990	1195	539	624
NM_001178299.1	59	19	13	64	25	35	31	10	26	106	45	22	79	27	46	45	15	20
NM_001178300.1	90	34	39	104	67	37	60	22	43	122	104	43	114	51	53	64	32	15
NM_001178301.1	386	184	142	516	220	199	240	62	136	534	325	136	445	166	184	245	73	126
NM_001178303.1	167	74	41	203	96	81	94	39	65	200	141	60	168	74	64	98	36	48
NM_001178304.1	392	239	151	439	251	197	226	114	141	673	524	213	648	314	297	322	140	183
NM_001178306.1	103	38	32	95	45	46	57	21	32	125	76	26	122	49	40	67	22	23
NM_001178307.2	245	115	77	313	159	166	168	62	82	279	173	94	231	107	89	133	57	64
NM_001178308.2	581	330	252	673	343	301	360	148	217	799	514	204	691	340	317	371	137	214
NM_001178309.1	401	201	98	452	221	173	218	75	128	452	281	128	370	174	160	222	80	86
NM_001178312.1	35734	18807	13753	41820	19914	16336	19704	7957	10662	35655	29593	9017	34558	17733	14970	17849	7366	8561
NM_001178314.1	68	31	31	102	58	40	46	34	35	86	67	43	89	47	32	38	17	42
NM_001178315.1	9	9	5	26	14	11	8	1	2	61	38	23	52	19	25	14	9	6
NM_001178316.1	9202	4813	3501	11079	5234	4709	5873	2334	3428	12545	9174	3531	10842	4977	5022	6267	2375	3029
NM_001178318.1	58	26	25	92	29	39	37	15	25	139	93	32	101	62	55	67	16	31
NM_001178319.1	732	340	285	900	428	398	495	180	279	1063	677	263	917	392	392	527	209	289
NM_001178320.2	75	21	29	71	16	23	29	13	20	68	55	17	59	34	30	34	11	19
NM_001178321.1	273	114	88	308	165	90	165	44	90	285	171	80	260	113	133	153	74	70
NM_001178322.1	270	136	122	297	177	129	162	54	111	291	216	87	257	141	130	181	52	89
NM_001178324.2	116	53	30	130	66	48	75	26	34	120	70	37	125	49	46	56	26	43
NM_001178325.1	432	249	160	560	280	243	268	104	160	582	402	174	537	230	210	256	98	138
NM_001178326.1	164	63	67	164	71	75	90	23	53	232	156	81	201	126	103	115	35	66
NM_001178327.1	11764	5827	5257	14481	6474	6233	7836	2735	4249	13250	10034	3707	12259	5759	5875	7494	2513	3585
NM_001178328.2	80	28	26	57	32	35	50	24	28	90	49	29	78	25	29	38	12	19
NM_001178329.1	124	55	47	141	51	61	88	28	46	161	90	50	151	73	66	83	27	41
NM_001178330.1	188	88	55	207	104	101	118	37	60	259	186	74	195	114	100	107	41	44
NM_001178331.2	1286	690	502	1615	785	703	861	318	480	1340	939	394	1245	570	578	722	294	313
NM_001178332.1	19437	12577	8208	24204	13875	9878	11040	4921	5978	20303	18335	7157	21142	12210	10784	9651	4244	4720
NM_001178333.1	262	145	104	323	144	106	177	65	111	359	222	94	317	131	152	187	63	124
NM_001178335.1	42	29	7	36	27	20	21	13	16	27	32	6	27	18	14	12	7	8
NM_001178337.2	144	71	58	158	75	93	84	38	51	158	129	67	163	87	69	103	37	42
NM_001178338.1	189	111	97	268	114	127	139	43	73	279	225	68	280	143	135	143	41	81
NM_001178339.2	4512	2384	1731	5971	2762	2359	2744	1050	1438	5872	4321	1598	5534	2520	2504	2922	1124	1401
NM_001178341.1	287	134	97	364	145	127	149	67	90	410	259	99	353	157	140	209	81	104
NM_001178342.1	384	206	120	435	210	168	262	109	130	568	402	142	548	228	200	285	113	161
NM_001178343.1	195	96	56	211	90	91	117	35	48	212	105	58	183	89	59	100	36	57
NM_001178344.1	179	110	68	225	107	91	124	34	51	243	145	58	218	83	96	130	38	86
NM_001178345.2	382	161	153	569	227	234	287	104	170	628	373	154	574	212	217	269	95	149
NM_001178346.2	121	37	53	156	61	48	101	45	58	104	68	28	108	48	45	43	29	19
NM_001178347.1	85	85	48	128	82	64	71	48	40	165	129	51	106	115	92	56	61	48
NM_001178349.1	219	115	98	283	129	142	145	45	80	339	235	101	289	122	122	167	53	80
NM_001178350.1	131	89	66	214	103	88	88	33	66	208	112	52	173	74	79	93	42	56
NM_001178351.1	204	113	80	286	144	120	132	58	81	244	178	61	210	125	126	129	52	75
NM_001178352.2	203	114	87	237	91	115	100	45	91	262	183	94	234	104	110	109	38	65
NM_001178353.1	47	31	17	77	51	20	37	10	24	88	63	18	75	44	40	43	18	24
NM_001178354.1	91	47	43	126	63	75	74	28	65	152	111	39	136	53	67	77	22	42
NM_001178355.2	148	97	58	188	71	80	108	32	56	202	149	52	171	72	84	80	38	49
NM_001178356.1	33	13	8	73	33	25	52	26	31	79	51	15	77	32	28	30	11	15
NM_001178357.1	5822	2752	2085	6930	2765	2707	3481	1251	1932	7474	5172	1793	6529	2913	2770	3316	1208	1581
NM_001178358.1	7147	3933	2863	8439	4174	3356	4268	1826	2451	7561	6284	2259	7207	3895	3458	3662	1755	1861
NM_001178359.1	10975	6503	4876	12865	7155	5549	7258	3274	4076	11123	9615	3875	11532	6352	5871	6724	2986	3258
NM_001178361.1	43	20	21	78	22	25	30	18	21	90	54	21	65	34	34	44	16	15
NM_001178362.1	319	155	126	408	188	192	215	86	110	383	259	107	340	148	170	173	61	97
NM_001178363.1	745	446	339	997	519	425	511	227	292	974	692	278	810	487	428	547	208	276
NM_001178364.1	557	175	213	601	246	246	266	104	181	775	394	225	675	227	286	260	128	168
NM_001178365.1	1031	610	433	1354	637	570	744	282	399	1533	1012	421	1289	603	677	768	308	393
NM_001178366.1	2	0	0	2	0	0	2	0	1	5	3	1	3	1	2	3	0	1
NM_001178367.1	1	2	2	2	4	3	1	4	2	1	4	1	1	8	2	2	2	0
NM_001178368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001178369.1	112	72	54	170	77	71	72	29	55	117	78	26	105	49	54	71	25	31
NM_001178370.1	96	38	39	124	70	32	73	20	37	183	78	49	137	52	66	78	34	39
NM_001178371.1	765	328	239	945	422	354	492	173	244	1014	672	250	957	375	365	483	194	272
NM_001178372.1	108	52	33	114	49	49	68	31	35	109	66	33	84	52	42	48	18	42
NM_001178373.1	6932	3666	2876	8522	4181	3666	4400	1926	2632	8589	6431	2544	7656	3708	3639	4100	1692	1986
NM_001178374.1	532	273	219	743	349	315	361	122	166	974	617	261	853	359	415	436	173	266
NM_001178376.1	223	104	88	279	101	93	124	52	76	224	143	80	218	114	118	143	47	82
NM_001178377.1	597	269	187	782	341	302	381	109	220	739	553	190	629	305	245	382	127	211
NM_001178378.1	115	53	68	147	68	66	66	32	47	187	110	61	182	75	84	104	41	52
NM_001178379.1	46573	27297	18346	54778	28535	22272	25582	10444	13344	44042	36761	12432	42824	22005	19073	23238	9585	10474
NM_001178381.1	6	1	0	7	4	0	0	3	3	6	1	0	1	0	1	0	1	0
NM_001178382.1	849	510	341	1037	555	454	589	242	299	891	717	300	807	436	435	521	223	234
NM_001178383.1	714	434	315	989	477	335	484	191	235	885	628	263	785	401	376	407	192	221
NM_001178384.1	717	452	285	883	450	319	517	190	260	931	796	335	784	426	486	553	208	295
NM_001178385.1	211	80	77	232	97	81	99	39	47	252	195	64	236	101	92	123	63	54
NM_001178386.1	1023	529	384	1282	564	543	617	269	362	1401	887	381	1226	559	529	700	271	320
NM_001178387.1	1225	603	536	1674	803	689	792	311	477	2055	1393	593	1903	894	915	865	340	415
NM_001178388.1	2	1	0	3	3	5	3	0	1	3	4	3	1	1	2	3	1	4
NM_001178389.1	434	216	161	578	243	244	278	126	150	556	396	133	507	222	245	313	120	145
NM_001178390.1	269	99	106	327	175	154	179	73	101	300	207	99	247	147	118	144	74	85
NM_001178391.2	61	30	18	60	43	31	40	17	22	70	48	21	65	42	23	46	19	24
NM_001178392.2	64	36	26	68	31	23	29	15	23	56	42	23	62	28	36	29	13	14
NM_001178393.2	11	4	6	17	12	4	10	3	4	17	8	1	13	5	3	5	3	2
NM_001178394.1	286	157	138	391	168	172	209	66	116	410	248	126	355	150	158	190	55	102
NM_001178395.1	60	22	31	61	35	43	45	19	21	78	52	21	64	32	46	37	19	18
NM_001178396.1	14715	8885	5491	17531	9496	6875	8790	3171	4317	13885	11753	4312	14143	7422	6341	7649	2864	3533
NM_001178397.1	952	439	465	1238	588	618	511	185	276	1326	791	420	945	410	505	580	213	304
NM_001178398.1	9	2	2	12	5	3	2	0	1	8	2	1	5	2	3	4	0	1
NM_001178400.1	430	267	205	558	297	247	328	141	193	742	484	213	707	339	291	356	154	193
NM_001178401.1	354	164	159	447	223	203	258	103	125	272	167	56	250	102	102	124	50	69
NM_001178402.1	519	175	105	661	264	213	274	111	142	361	173	66	273	75	89	96	35	40
NM_001178403.1	164	91	104	287	160	162	141	54	70	292	184	91	219	98	129	140	60	63
NM_001178404.1	341	145	146	450	198	198	241	73	141	483	347	151	452	178	215	247	98	145
NM_001178405.1	197	89	88	263	104	105	124	32	67	271	165	69	244	113	100	116	40	62
NM_001178406.1	654	334	192	777	380	348	413	140	204	844	530	224	801	374	326	450	163	203
NM_001178407.1	599	302	181	709	361	316	391	141	198	988	563	274	708	297	338	470	154	241
NM_001178408.1	207	139	91	266	153	129	137	47	70	255	186	89	190	117	104	144	50	49
NM_001178409.3	362	141	158	421	199	176	224	67	133	433	209	111	401	134	164	198	65	104
NM_001178410.1	153	80	67	198	91	80	111	44	74	230	154	64	262	76	78	110	43	62
NM_001178411.1	0	0	0	0	0	1	1	0	0	4	4	2	2	1	1	1	0	1
NM_001178413.3	135	60	47	163	71	63	93	35	54	195	100	43	151	76	72	82	35	40
NM_001178414.1	127	73	55	220	85	77	109	30	52	138	100	51	135	61	52	61	36	32
NM_001178415.1	2020	1447	1048	2526	1369	1134	1652	733	898	1804	1537	646	1893	991	988	1469	668	694
NM_001178416.4	1598	889	645	2241	1020	881	1053	399	580	2885	2056	823	2549	1123	1172	1325	528	656
NM_001178417.1	17	2	4	29	8	10	16	6	8	27	14	7	15	6	3	9	8	11
NM_001178418.1	120	74	56	156	75	74	86	31	57	130	91	52	130	65	54	64	29	33
NM_001178419.3	205	121	74	328	159	112	163	47	90	362	262	103	307	196	143	185	70	96
NM_001178420.1	130	68	58	129	73	69	114	36	52	201	162	100	177	72	111	71	31	35
NM_001178421.4	519	241	196	687	304	239	356	148	218	827	558	204	725	357	293	429	151	203
NM_001178422.2	745	329	245	942	414	375	442	175	273	816	540	220	724	328	326	370	164	189
NM_001178424.2	2	0	0	2	1	0	1	1	0	2	3	0	0	0	0	0	1	0
NM_001178425.3	155	102	70	242	92	102	108	40	70	241	179	90	255	120	130	95	47	73
NM_001178426.2	17068	10694	6759	21097	12025	8580	10766	4582	5510	17059	14376	5172	16016	8636	7586	9758	4234	4350
NM_001178427.1	4340	2330	1770	5104	2355	2274	2677	1024	1451	4974	3481	1350	3896	1857	1890	2509	1060	1214
NM_001178428.3	1411	731	603	1855	875	715	938	335	537	1950	1302	520	1735	835	764	882	359	433
NM_001178429.1	270	182	96	348	192	143	185	62	100	416	221	100	333	165	150	190	64	91
NM_001178430.1	2825	1633	1078	3315	1731	1414	1888	712	1024	3454	2240	969	3342	1571	1602	1782	779	863
NM_001178431.3	317	175	151	523	251	222	207	87	132	423	238	115	371	176	189	246	96	116
NM_001178432.1	2782	1436	1157	3394	1624	1526	1700	697	976	3315	2129	848	3093	1379	1409	1570	591	785
NM_001178433.3	98	42	50	127	49	48	76	23	49	112	82	42	75	32	47	46	11	30
NM_001178434.1	1345	768	647	2015	908	820	966	354	542	1653	1090	468	1454	609	681	757	320	408
NM_001178435.3	314	166	112	412	209	171	238	104	121	371	261	116	351	180	156	172	80	105
NM_001178436.1	971	502	400	1157	584	460	589	285	415	1117	792	326	1111	466	513	623	250	320
NM_001178438.4	159	141	315	145	162	401	46	100	173	193	63	399	103	123	339	41	76	156
NM_001178439.1	143	50	51	132	63	56	68	25	40	156	87	31	139	71	61	80	26	33
NM_001178440.1	1971	1066	788	2403	1252	934	1379	596	788	2290	1873	748	2399	1160	1130	1512	576	708
NM_001178441.3	921	517	390	1101	540	443	606	252	345	470	349	159	527	233	226	295	117	112
NM_001178442.2	356	180	137	478	210	201	241	100	120	497	303	122	357	190	162	222	79	98
NM_001178443.1	141	73	78	216	75	112	106	30	67	247	176	79	210	91	93	116	46	46
NM_001178444.3	497	209	186	690	271	274	318	123	181	688	474	215	608	269	301	334	124	151
NM_001178445.2	127	108	55	181	79	78	112	36	58	170	119	48	139	72	87	97	37	49
NM_001178446.1	43	27	20	55	48	26	34	16	21	75	54	31	65	27	26	43	16	22
NM_001178449.3	715	374	316	889	423	381	425	167	274	1266	834	360	1083	483	506	452	190	284
NM_001178450.1	288	122	127	413	204	191	206	68	133	532	332	124	415	205	181	217	72	133
NM_001178451.1	148	51	62	190	84	64	116	30	56	231	154	63	206	84	95	110	45	47
NM_001178452.3	232	95	102	301	162	133	204	62	110	267	149	67	238	106	94	125	31	57
NM_001178453.1	83	55	39	114	59	47	66	21	31	130	94	37	126	43	43	65	40	45
