name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	IstringexonFrames	utr5_length	cds_length	utr3_length	gene_length	rep_transcript	modified
rna-NM_001178339.2	NC_001134.8	+	37022	38720	37052	38690	1	37022,	38720,	0	gene-YBL099W	cmpl	cmpl	0,	30	1638	30	1638	True	True
rna-NM_001178338.1	NC_001134.8	+	39114	40557	39144	40527	1	39114,	40557,	0	gene-YBL098W	cmpl	cmpl	0,	30	1383	30	1383	True	True
rna-NM_001178337.2	NC_001134.8	+	40800	43125	40830	43095	1	40800,	43125,	0	gene-YBL097W	cmpl	cmpl	0,	30	2265	30	2265	True	True
rna-NM_001178335.1	NC_001134.8	+	43246	44119	43276	44089	1	43246,	44119,	0	gene-YBL095W	cmpl	cmpl	0,	30	813	30	813	True	True
rna-NM_001178333.1	NC_001134.8	-	44225	44948	44255	44918	1	44225,	44948,	0	gene-YBL093C	cmpl	cmpl	0,	30	663	30	663	True	True
rna-NM_001178332.1	NC_001134.8	+	45947	46400	45977	46370	1	45947,	46400,	0	gene-YBL092W	cmpl	cmpl	0,	30	393	30	393	True	True
rna-NM_001184321.1	NC_001134.8	-	46534	47210	46564	47180	2	46534,47146,	47058,47210,	0	gene-YBL091C-A	cmpl	cmpl	1,0,	30	528	30	528	True	True
rna-NM_001178331.2	NC_001134.8	-	47332	48658	47362	48628	1	47332,	48658,	0	gene-YBL091C	cmpl	cmpl	0,	30	1266	30	1266	True	True
rna-NM_001178330.1	NC_001134.8	+	48794	49388	48824	49358	1	48794,	49388,	0	gene-YBL090W	cmpl	cmpl	0,	30	534	30	534	True	True
rna-NM_001178329.1	NC_001134.8	+	49543	50983	49573	50953	1	49543,	50983,	0	gene-YBL089W	cmpl	cmpl	0,	30	1380	30	1380	True	True
rna-NM_001178328.2	NC_001134.8	-	50988	59412	51018	59382	1	50988,	59412,	0	gene-YBL088C	cmpl	cmpl	0,	30	8364	30	8364	True	True
rna-NM_001178327.1	NC_001134.8	-	59791	60769	59821	60739	2	59791,60697,	60193,60769,	0	gene-YBL087C	cmpl	cmpl	0,0,	30	414	30	414	True	True
rna-NM_001178326.1	NC_001134.8	-	61171	62632	61201	62602	1	61171,	62632,	0	gene-YBL086C	cmpl	cmpl	0,	30	1401	30	1401	True	True
rna-NM_001178325.1	NC_001134.8	+	63845	66848	63875	66818	1	63845,	66848,	0	gene-YBL085W	cmpl	cmpl	0,	30	2943	30	2943	True	True
rna-NM_001178324.2	NC_001134.8	-	67138	69475	67168	69445	1	67138,	69475,	0	gene-YBL084C	cmpl	cmpl	0,	30	2277	30	2277	True	True
rna-NM_001178322.1	NC_001134.8	-	69720	71157	69750	71127	1	69720,	71157,	0	gene-YBL082C	cmpl	cmpl	0,	30	1377	30	1377	True	True
rna-NM_001178321.1	NC_001134.8	+	71835	73002	71865	72972	1	71835,	73002,	0	gene-YBL081W	cmpl	cmpl	0,	30	1107	30	1107	True	True
rna-NM_001178320.2	NC_001134.8	-	73039	74725	73069	74695	1	73039,	74725,	0	gene-YBL080C	cmpl	cmpl	0,	30	1626	30	1626	True	True
rna-NM_001178319.1	NC_001134.8	+	75228	79797	75258	79767	1	75228,	79797,	0	gene-YBL079W	cmpl	cmpl	0,	30	4509	30	4509	True	True
rna-NM_001178318.1	NC_001134.8	-	80347	80761	80377	80731	1	80347,	80761,	0	gene-YBL078C	cmpl	cmpl	0,	30	354	30	354	True	True
rna-NM_001178316.1	NC_001134.8	-	81012	84291	81042	84261	1	81012,	84291,	0	gene-YBL076C	cmpl	cmpl	0,	30	3219	30	3219	True	True
rna-NM_001178315.1	NC_001134.8	-	84468	86478	84498	86448	1	84468,	86478,	0	gene-YBL075C	cmpl	cmpl	0,	30	1950	30	1950	True	True
rna-NM_001178314.1	NC_001134.8	-	86691	87819	86721	87789	1	86691,	87819,	0	gene-YBL074C	cmpl	cmpl	0,	30	1068	30	1068	True	True
rna-NM_001178312.1	NC_001134.8	-	88492	89155	88522	89125	1	88492,	89155,	0	gene-YBL072C	cmpl	cmpl	0,	30	603	30	603	True	True
rna-NM_001184584.1	NC_001134.8	-	89427	89586	89457	89556	1	89427,	89586,	0	gene-YBL071C-B	cmpl	cmpl	0,	30	99	30	99	True	True
rna-NM_001184454.1	NC_001134.8	+	89947	90256	89977	90226	1	89947,	90256,	0	gene-YBL071W-A	cmpl	cmpl	0,	30	249	30	249	True	True
rna-NM_001346794.1	NC_001134.8	-	90192	90561	90222	90531	1	90192,	90561,	0	gene-YBL071C	cmpl	cmpl	0,	30	309	30	309	True	True
rna-NM_001178309.1	NC_001134.8	+	90710	92060	90740	92030	1	90710,	92060,	0	gene-YBL069W	cmpl	cmpl	0,	30	1290	30	1290	True	True
rna-NM_001178308.2	NC_001134.8	+	92383	93424	92413	93394	1	92383,	93424,	0	gene-YBL068W	cmpl	cmpl	0,	30	981	30	981	True	True
rna-NM_001178307.2	NC_001134.8	-	93608	95912	93638	95882	1	93608,	95912,	0	gene-YBL067C	cmpl	cmpl	0,	30	2244	30	2244	True	True
rna-NM_001178306.1	NC_001134.8	-	96638	100145	96668	100115	1	96638,	100145,	0	gene-YBL066C	cmpl	cmpl	0,	30	3447	30	3447	True	True
rna-NM_001178304.1	NC_001134.8	-	100340	101186	100370	101156	1	100340,	101186,	0	gene-YBL064C	cmpl	cmpl	0,	30	786	30	786	True	True
rna-NM_001178303.1	NC_001134.8	+	101855	105251	101885	105221	1	101855,	105251,	0	gene-YBL063W	cmpl	cmpl	0,	30	3336	30	3336	True	True
rna-NM_001178301.1	NC_001134.8	-	105285	107436	105315	107406	1	105285,	107436,	0	gene-YBL061C	cmpl	cmpl	0,	30	2091	30	2091	True	True
rna-NM_001178300.1	NC_001134.8	+	107901	110025	107931	109995	1	107901,	110025,	0	gene-YBL060W	cmpl	cmpl	0,	30	2064	30	2064	True	True
rna-NM_001184440.1	NC_001134.8	-	110094	110569	110124	110539	2	110094,110505,	110420,110569,	0	gene-YBL059C-A	cmpl	cmpl	1,0,	30	330	30	330	True	True
rna-NM_001178299.1	NC_001134.8	+	110563	111274	110593	111244	2	110563,110948,	110879,111274,	0	gene-YBL059W	cmpl	cmpl	0,1,	30	582	30	582	True	True
rna-NM_001178298.1	NC_001134.8	+	111406	112738	111436	112708	1	111406,	112738,	0	gene-YBL058W	cmpl	cmpl	0,	30	1272	30	1272	True	True
rna-NM_001178297.2	NC_001134.8	-	112770	113457	112800	113427	1	112770,	113457,	0	gene-YBL057C	cmpl	cmpl	0,	30	627	30	627	True	True
rna-NM_001178296.2	NC_001134.8	+	113731	115198	113761	115168	1	113731,	115198,	0	gene-YBL056W	cmpl	cmpl	0,	30	1407	30	1407	True	True
rna-NM_001178295.1	NC_001134.8	-	115542	116859	115572	116829	1	115542,	116859,	0	gene-YBL055C	cmpl	cmpl	0,	30	1257	30	1257	True	True
rna-NM_001178294.1	NC_001134.8	+	117558	119196	117588	119166	1	117558,	119196,	0	gene-YBL054W	cmpl	cmpl	0,	30	1578	30	1578	True	True
rna-NM_001178292.1	NC_001134.8	-	119348	121904	119378	121874	1	119348,	121904,	0	gene-YBL052C	cmpl	cmpl	0,	30	2496	30	2496	True	True
rna-NM_001178291.1	NC_001134.8	-	122722	124789	122752	124759	1	122722,	124789,	0	gene-YBL051C	cmpl	cmpl	0,	30	2007	30	2007	True	True
rna-NM_001178290.1	NC_001134.8	+	125094	126149	125124	126119	2	125094,125270,	125154,126149,	0	gene-YBL050W	cmpl	cmpl	0,0,	30	879	30	879	True	True
rna-NM_001178289.1	NC_001134.8	+	126797	127274	126827	127244	1	126797,	127274,	0	gene-YBL049W	cmpl	cmpl	0,	30	417	30	417	True	True
rna-NM_001348869.1	NC_001134.8	+	127268	127640	127298	127610	1	127268,	127640,	0	gene-YBL048W	cmpl	cmpl	0,	30	312	30	312	True	True
rna-NM_001178287.1	NC_001134.8	-	127864	132070	127894	132040	1	127864,	132070,	0	gene-YBL047C	cmpl	cmpl	0,	30	4146	30	4146	True	True
rna-NM_001178286.1	NC_001134.8	+	132393	133779	132423	133749	1	132393,	133779,	0	gene-YBL046W	cmpl	cmpl	0,	30	1326	30	1326	True	True
rna-NM_001178285.1	NC_001134.8	-	134112	135546	134142	135516	1	134112,	135546,	0	gene-YBL045C	cmpl	cmpl	0,	30	1374	30	1374	True	True
rna-NM_001178284.1	NC_001134.8	+	135967	136396	135997	136366	1	135967,	136396,	0	gene-YBL044W	cmpl	cmpl	0,	30	369	30	369	True	True
rna-NM_001178283.1	NC_001134.8	+	136657	137491	136687	137461	1	136657,	137491,	0	gene-YBL043W	cmpl	cmpl	0,	30	774	30	774	True	True
