chromosome	gene_id	transcript_id	start	end	utr5_length	cds_length	utr3_length	strand	rep_transcript	modified
NC_001133.9	YAL040C	NM_001178185.1	65747	67550	30	1743	30	-	True	True
NC_001133.9	YAL039C	NM_001178184.1	68685	69555	30	810	30	-	True	True
NC_001133.9	YAL038W	NM_001178183.1	71755	73318	30	1503	30	+	True	True
NC_001133.9	YAL037C-A	NM_001184629.1	73395	73548	30	93	30	-	True	True
NC_001133.9	YAL037W	NM_001178182.1	73989	74853	30	804	30	+	True	True
NC_001133.9	YAL036C	NM_001178181.1	75012	76182	30	1110	30	-	True	True
NC_001133.9	YAL035W	NM_001178180.1	76396	79465	30	3009	30	+	True	True
NC_001133.9	YAL034W-A	NM_001178179.1	79687	80617	30	870	30	+	True	True
NC_001133.9	YAL034C	NM_001180035.1	80679	81981	30	1242	30	-	True	True
NC_001133.9	YAL033W	NM_001178178.1	82675	83257	30	522	30	+	True	True
NC_001133.9	YAL032C	NM_001178177.1	83304	84504	30	1140	30	-	True	True
NC_001133.9	YAL031C	NM_001178176.1	84718	87061	30	2283	30	-	True	True
NC_001133.9	YAL030W	NM_001178175.1	87255	87782	30	354	30	+	True	True
NC_001133.9	YAL029C	NM_001178174.1	87824	92300	30	4416	30	-	True	True
NC_001133.9	YAL028W	NM_001178173.1	92869	94516	30	1587	30	+	True	True
NC_001133.9	YAL027W	NM_001178172.1	94656	95502	30	786	30	+	True	True
NC_001133.9	YAL026C	NM_001178171.2	95599	99727	30	4068	30	-	True	True
NC_001133.9	YAL025C	NM_001178170.2	100194	101175	30	921	30	-	True	True
NC_001133.9	YAL024C	NM_001178169.1	101534	105902	30	4308	30	-	True	True
NC_001133.9	YAL023C	NM_001178168.1	106241	108581	30	2280	30	-	True	True
NC_001133.9	YAL022C	NM_001178167.1	108846	110460	30	1554	30	-	True	True
NC_001133.9	YAL021C	NM_001178166.1	110815	113389	30	2514	30	-	True	True
NC_001133.9	YAL020C	NM_001178165.2	113583	114645	30	1002	30	-	True	True
NC_001133.9	YAL019W	NM_001178164.1	114888	118344	30	3396	30	+	True	True
NC_001133.9	YAL018C	NM_001178163.1	118533	119571	30	978	30	-	True	True
NC_001133.9	YAL017W	NM_001178162.2	120194	124325	30	4071	30	+	True	True
NC_001133.9	YAL016W	NM_001178161.1	124848	126816	30	1908	30	+	True	True
NC_001133.9	YAL015C	NM_001178160.1	126872	128132	30	1200	30	-	True	True
NC_001133.9	YAL014C	NM_001178159.1	128221	129049	30	768	30	-	True	True
NC_001133.9	YAL013W	NM_001178158.2	129239	130517	30	1218	30	+	True	True
NC_001133.9	YAL012W	NM_001178157.1	130768	132013	30	1185	30	+	True	True
NC_001133.9	YAL011W	NM_001178156.1	132168	134106	30	1878	30	+	True	True
NC_001133.9	YAL010C	NM_001178155.2	134153	135695	30	1482	30	-	True	True
NC_001133.9	YAL009W	NM_001178154.1	135823	136663	30	780	30	+	True	True
NC_001133.9	YAL008W	NM_001178153.1	136883	137540	30	597	30	+	True	True
NC_001133.9	YAL007C	NM_001178152.1	137667	138375	30	648	30	-	True	True
NC_001133.9	YAL005C	NM_001178151.1	139472	141461	30	1929	30	-	True	True
NC_001133.9	YAL003W	NM_001178150.1	142143	143190	30	621	30	+	True	True
NC_001133.9	YAL002W	NM_001178149.1	143676	147561	30	3825	30	+	True	True
NC_001133.9	YAL001C	NM_001178148.1	147563	151196	30	3483	30	-	True	True
NC_001133.9	YAR002W	NM_001178209.1	152226	153906	30	1620	30	+	True	True
NC_001133.9	YAR002C-A	NM_001180033.1	154034	154754	30	660	30	-	True	True
NC_001133.9	YAR003W	NM_001178210.1	154974	156315	30	1281	30	+	True	True
NC_001133.9	YAR007C	NM_001178211.1	156723	158649	30	1866	30	-	True	True
NC_001133.9	YAR008W	NM_001178212.1	158935	159823	30	828	30	+	True	True
NC_001133.9	YAR009C	NM_001178213.1	160566	164217	30	3591	30	-	True	True
NC_001133.9	YAR010C	NM_001178214.1	164513	165896	30	1323	30	-	True	True
NC_001133.9	YAR014C	NM_001178215.2	166711	168901	30	2130	30	-	True	True
NC_001133.9	YAR015W	NM_001178216.1	169344	170325	30	921	30	+	True	True
NC_001133.9	YAR018C	NM_001178217.1	170365	171733	30	1308	30	-	True	True
NC_001133.9	YAR019C	NM_001178218.2	172180	175165	30	2925	30	-	True	True
NC_001133.9	YAR020C	NM_001178219.1	176825	177053	30	168	30	-	True	True
NC_001133.9	YAR023C	NM_001178220.2	179250	179850	30	540	30	-	True	True
NC_001133.9	YAR027W	NM_001178221.1	183739	184507	30	708	30	+	True	True
NC_001133.9	YAR028W	NM_001178222.1	184861	185626	30	705	30	+	True	True
NC_001133.9	YAR029W	NM_001178223.1	186290	186575	30	225	30	+	True	True
NC_001133.9	YAR031W	NM_001178224.1	186805	187762	30	897	30	+	True	True
NC_001133.9	YAR033W	NM_001178225.1	188076	188841	30	705	30	+	True	True
NC_001133.9	YAR035W	NM_001178226.1	190162	192286	30	2064	30	+	True	True
NC_001133.9	YAR035C-A	NM_001184583.1	192306	192447	30	81	30	-	True	True
NC_001133.9	YAR042W	NM_001178227.1	192588	196215	30	3567	30	+	True	True
NC_001133.9	YAR050W	NM_001178230.1	203372	208046	30	4614	30	+	True	True
NC_001133.9	YAR064W	NM_001178235.1	220167	220527	30	300	30	+	True	True
NC_001133.9	YAR066W	NM_001180045.1	221018	221690	30	612	30	+	True	True
NC_001133.9	YAR068W	NM_001178236.1	222375	222921	30	486	30	+	True	True
NC_001133.9	YAR071W	NM_001178239.1	225429	226893	30	1404	30	+	True	True
NC_001134.8	YBL113C	NM_001180054.1	249	2688	30	2379	30	-	True	True
NC_001134.8	YBL112C	NM_001180053.1	2551	2929	30	318	30	-	True	True
NC_001134.8	YBL111C	NM_001180052.1	2876	5039	30	2004	30	-	True	True
NC_001134.8	YBL108C-A	NM_001184458.1	7574	7763	30	129	30	-	True	True
NC_001134.8	YBL107C	NM_001178347.1	9930	10581	30	591	30	-	True	True
NC_001134.8	YBL106C	NM_001178346.2	10816	13909	30	3033	30	-	True	True
NC_001134.8	YBL105C	NM_001178345.2	14210	17726	30	3456	30	-	True	True
NC_001134.8	YBL104C	NM_001178344.1	18146	21323	30	3117	30	-	True	True
NC_001134.8	YBL103C	NM_001178343.1	22045	23566	30	1461	30	-	True	True
NC_001134.8	YBL102W	NM_001178342.1	24067	24775	30	648	30	+	True	True
NC_001134.8	YBL101C	NM_001178341.1	24915	28329	30	3354	30	-	True	True
NC_001134.8	YBL100W-C	NM_001184585.1	28396	28576	30	120	30	+	True	True
NC_001134.8	YBL100W-A	NM_001180049.1	29904	31281	30	1317	30	+	True	True
NC_001134.8	YBL100W-B	NM_001180050.2	29904	35278	30	5313	30	+	True	True
NC_001134.8	YBL099W	NM_001178339.2	37022	38720	30	1638	30	+	True	True
NC_001134.8	YBL098W	NM_001178338.1	39114	40557	30	1383	30	+	True	True
NC_001134.8	YBL097W	NM_001178337.2	40800	43125	30	2265	30	+	True	True
NC_001134.8	YBL095W	NM_001178335.1	43246	44119	30	813	30	+	True	True
NC_001134.8	YBL093C	NM_001178333.1	44225	44948	30	663	30	-	True	True
NC_001134.8	YBL092W	NM_001178332.1	45947	46400	30	393	30	+	True	True
NC_001134.8	YBL091C-A	NM_001184321.1	46534	47210	30	528	30	-	True	True
NC_001134.8	YBL091C	NM_001178331.2	47332	48658	30	1266	30	-	True	True
NC_001134.8	YBL090W	NM_001178330.1	48794	49388	30	534	30	+	True	True
NC_001134.8	YBL089W	NM_001178329.1	49543	50983	30	1380	30	+	True	True
NC_001134.8	YBL088C	NM_001178328.2	50988	59412	30	8364	30	-	True	True
NC_001134.8	YBL087C	NM_001178327.1	59791	60769	30	414	30	-	True	True
NC_001134.8	YBL086C	NM_001178326.1	61171	62632	30	1401	30	-	True	True
NC_001134.8	YBL085W	NM_001178325.1	63845	66848	30	2943	30	+	True	True
NC_001134.8	YBL084C	NM_001178324.2	67138	69475	30	2277	30	-	True	True
NC_001134.8	YBL082C	NM_001178322.1	69720	71157	30	1377	30	-	True	True
NC_001134.8	YBL081W	NM_001178321.1	71835	73002	30	1107	30	+	True	True
NC_001134.8	YBL080C	NM_001178320.2	73039	74725	30	1626	30	-	True	True
NC_001134.8	YBL079W	NM_001178319.1	75228	79797	30	4509	30	+	True	True
NC_001134.8	YBL078C	NM_001178318.1	80347	80761	30	354	30	-	True	True
NC_001134.8	YBL076C	NM_001178316.1	81012	84291	30	3219	30	-	True	True
NC_001134.8	YBL075C	NM_001178315.1	84468	86478	30	1950	30	-	True	True
NC_001134.8	YBL074C	NM_001178314.1	86691	87819	30	1068	30	-	True	True
NC_001134.8	YBL072C	NM_001178312.1	88492	89155	30	603	30	-	True	True
NC_001134.8	YBL071C-B	NM_001184584.1	89427	89586	30	99	30	-	True	True
NC_001134.8	YBL071W-A	NM_001184454.1	89947	90256	30	249	30	+	True	True
NC_001134.8	YBL071C	NM_001346794.1	90192	90561	30	309	30	-	True	True
NC_001134.8	YBL069W	NM_001178309.1	90710	92060	30	1290	30	+	True	True
NC_001134.8	YBL068W	NM_001178308.2	92383	93424	30	981	30	+	True	True
NC_001134.8	YBL067C	NM_001178307.2	93608	95912	30	2244	30	-	True	True
NC_001134.8	YBL066C	NM_001178306.1	96638	100145	30	3447	30	-	True	True
NC_001134.8	YBL064C	NM_001178304.1	100340	101186	30	786	30	-	True	True
NC_001134.8	YBL063W	NM_001178303.1	101855	105251	30	3336	30	+	True	True
NC_001134.8	YBL061C	NM_001178301.1	105285	107436	30	2091	30	-	True	True
NC_001134.8	YBL060W	NM_001178300.1	107901	110025	30	2064	30	+	True	True
NC_001134.8	YBL059C-A	NM_001184440.1	110094	110569	30	330	30	-	True	True
NC_001134.8	YBL059W	NM_001178299.1	110563	111274	30	582	30	+	True	True
NC_001134.8	YBL058W	NM_001178298.1	111406	112738	30	1272	30	+	True	True
NC_001134.8	YBL057C	NM_001178297.2	112770	113457	30	627	30	-	True	True
NC_001134.8	YBL056W	NM_001178296.2	113731	115198	30	1407	30	+	True	True
NC_001134.8	YBL055C	NM_001178295.1	115542	116859	30	1257	30	-	True	True
NC_001134.8	YBL054W	NM_001178294.1	117558	119196	30	1578	30	+	True	True
NC_001134.8	YBL052C	NM_001178292.1	119348	121904	30	2496	30	-	True	True
NC_001134.8	YBL051C	NM_001178291.1	122722	124789	30	2007	30	-	True	True
NC_001134.8	YBL050W	NM_001178290.1	125094	126149	30	879	30	+	True	True
NC_001134.8	YBL049W	NM_001178289.1	126797	127274	30	417	30	+	True	True
NC_001134.8	YBL048W	NM_001348869.1	127268	127640	30	312	30	+	True	True
NC_001134.8	YBL047C	NM_001178287.1	127864	132070	30	4146	30	-	True	True
NC_001134.8	YBL046W	NM_001178286.1	132393	133779	30	1326	30	+	True	True
NC_001134.8	YBL045C	NM_001178285.1	134112	135546	30	1374	30	-	True	True
NC_001134.8	YBL044W	NM_001178284.1	135967	136396	30	369	30	+	True	True
NC_001134.8	YBL043W	NM_001178283.1	136657	137491	30	774	30	+	True	True
NC_001134.8	YBL042C	NM_001178282.1	138310	140290	30	1920	30	-	True	True
NC_001134.8	YBL041W	NM_001178281.1	141216	142002	30	726	30	+	True	True
NC_001134.8	YBL040C	NM_001178280.1	142081	142898	30	660	30	-	True	True
NC_001134.8	YBL039W-B	NM_001184527.1	143362	143602	30	180	30	+	True	True
NC_001134.8	YBL039C	NM_001178279.1	143958	145758	30	1740	30	-	True	True
NC_001134.8	YBL038W	NM_001178278.1	146156	146915	30	699	30	+	True	True
NC_001134.8	YBL037W	NM_001178277.1	147178	150316	30	3078	30	+	True	True
NC_001134.8	YBL036C	NM_001178276.1	150416	151250	30	774	30	-	True	True
NC_001134.8	YBL035C	NM_001178275.1	151462	153640	30	2118	30	-	True	True
NC_001134.8	YBL034C	NM_001178274.1	153817	158419	30	4542	30	-	True	True
NC_001134.8	YBL033C	NM_001178273.1	158625	159723	30	1038	30	-	True	True
NC_001134.8	YBL032W	NM_001178272.1	160153	161359	30	1146	30	+	True	True
NC_001134.8	YBL031W	NM_001178271.1	161668	162745	30	1017	30	+	True	True
NC_001134.8	YBL030C	NM_001178270.1	163010	164027	30	957	30	-	True	True
NC_001134.8	YBL029C-A	NM_001184457.1	164457	164802	30	285	30	-	True	True
NC_001134.8	YBL029W	NM_001178269.1	166103	167294	30	1131	30	+	True	True
NC_001134.8	YBL028C	NM_001178268.1	167487	167868	30	321	30	-	True	True
NC_001134.8	YBL027W	NM_001178267.1	168392	169406	30	570	30	+	True	True
NC_001134.8	YBL026W	NM_001178266.1	170592	171068	30	288	30	+	True	True
NC_001134.8	YBL025W	NM_001178265.1	171450	171948	30	438	30	+	True	True
NC_001134.8	YBL024W	NM_001178264.1	172503	174618	30	2055	30	+	True	True
NC_001134.8	YBL023C	NM_001178263.1	174889	177556	30	2607	30	-	True	True
NC_001134.8	YBL022C	NM_001178262.1	177843	181305	30	3402	30	-	True	True
NC_001134.8	YBL021C	NM_001178261.1	181629	182124	30	435	30	-	True	True
NC_001134.8	YBL020W	NM_001178260.1	182370	184155	30	1725	30	+	True	True
NC_001134.8	YBL019W	NM_001178259.1	184322	185945	30	1563	30	+	True	True
NC_001134.8	YBL018C	NM_001178258.1	185967	186504	30	402	30	-	True	True
NC_001134.8	YBL017C	NM_001178257.1	186813	191613	30	4740	30	-	True	True
NC_001134.8	YBL016W	NM_001178256.1	192420	193542	30	1062	30	+	True	True
NC_001134.8	YBL015W	NM_001178255.1	194091	195732	30	1581	30	+	True	True
NC_001134.8	YBL014C	NM_001178254.2	199033	201778	30	2685	30	-	True	True
NC_001134.8	YBL013W	NM_001178253.1	202025	203291	30	1206	30	+	True	True
NC_001134.8	YBL011W	NM_001178251.1	203507	205847	30	2280	30	+	True	True
NC_001134.8	YBL010C	NM_001178250.1	206076	206979	30	843	30	-	True	True
NC_001134.8	YBL009W	NM_001178249.1	207163	209254	30	2031	30	+	True	True
NC_001134.8	YBL008W-A	NM_001184539.1	209378	209678	30	240	30	+	True	True
NC_001134.8	YBL008W	NM_001178248.2	209622	212205	30	2523	30	+	True	True
NC_001134.8	YBL007C	NM_001178247.1	212601	216396	30	3735	30	-	True	True
NC_001134.8	YBL006C	NM_001178246.1	216556	217159	30	543	30	-	True	True
NC_001134.8	YBL005W	NM_001178245.1	217439	220430	30	2931	30	+	True	True
NC_001134.8	YBL005W-A	NM_001180047.1	221299	222682	30	1323	30	+	True	True
NC_001134.8	YBL005W-B	NM_001180048.2	221299	226628	30	5268	30	+	True	True
NC_001134.8	YBL004W	NM_001178244.1	227605	235147	30	7482	30	+	True	True
NC_001134.8	YBL003C	NM_001178243.1	235363	235822	30	399	30	-	True	True
NC_001134.8	YBL002W	NM_001178242.1	236461	236917	30	396	30	+	True	True
NC_001134.8	YBL001C	NM_001178241.1	237122	237497	30	315	30	-	True	True
NC_001134.8	YBR001C	NM_001178349.1	238910	241313	30	2343	30	-	True	True
NC_001134.8	YBR002C	NM_001178350.1	241677	242598	30	861	30	-	True	True
NC_001134.8	YBR003W	NM_001178351.1	242778	244260	30	1422	30	+	True	True
NC_001134.8	YBR004C	NM_001178352.2	244335	245697	30	1302	30	-	True	True
NC_001134.8	YBR005W	NM_001178353.1	245875	246577	30	642	30	+	True	True
NC_001134.8	YBR006W	NM_001178354.1	246979	248533	30	1494	30	+	True	True
NC_001134.8	YBR007C	NM_001178355.2	248775	251046	30	2211	30	-	True	True
NC_001134.8	YBR008C	NM_001178356.1	252532	254239	30	1647	30	-	True	True
NC_001134.8	YBR009C	NM_001178357.1	255342	255714	30	312	30	-	True	True
NC_001134.8	YBR010W	NM_001178358.1	256300	256771	30	411	30	+	True	True
NC_001134.8	YBR011C	NM_001178359.1	257081	258005	30	864	30	-	True	True
NC_001134.8	YBR012W-A	NM_001180055.1	259838	261221	30	1323	30	+	True	True
NC_001134.8	YBR012W-B	NM_001180056.2	259838	265170	30	5271	30	+	True	True
NC_001134.8	YBR013C	NM_001178361.1	265461	265911	30	390	30	-	True	True
NC_001134.8	YBR014C	NM_001178362.1	266694	267366	30	612	30	-	True	True
NC_001134.8	YBR015C	NM_001178363.1	267679	269533	30	1794	30	-	True	True
NC_001134.8	YBR016W	NM_001178364.1	270216	270663	30	387	30	+	True	True
NC_001134.8	YBR017C	NM_001178365.1	270916	273733	30	2757	30	-	True	True
NC_001134.8	YBR018C	NM_001178366.1	274396	275557	30	1101	30	-	True	True
NC_001134.8	YBR019C	NM_001178367.1	276222	278382	30	2100	30	-	True	True
NC_001134.8	YBR020W	NM_001178368.1	278990	280637	30	1587	30	+	True	True
NC_001134.8	YBR021W	NM_001178369.1	281412	283374	30	1902	30	+	True	True
NC_001134.8	YBR022W	NM_001178370.1	283707	284301	30	534	30	+	True	True
NC_001134.8	YBR023C	NM_001178371.1	284397	287955	30	3498	30	-	True	True
NC_001134.8	YBR024W	NM_001178372.1	289414	290380	30	906	30	+	True	True
NC_001134.8	YBR025C	NM_001178373.1	290650	291895	30	1185	30	-	True	True
NC_001134.8	YBR026C	NM_001178374.1	292846	294049	30	1143	30	-	True	True
NC_001134.8	YBR027C	NM_001346795.1	293993	294386	30	333	30	-	True	True
NC_001134.8	YBR028C	NM_001178376.1	294394	296032	30	1578	30	-	True	True
NC_001134.8	YBR029C	NM_001178377.1	296338	297772	30	1374	30	-	True	True
NC_001134.8	YBR030W	NM_001178378.1	298261	299980	30	1659	30	+	True	True
NC_001134.8	YBR031W	NM_001178379.1	300135	301284	30	1089	30	+	True	True
NC_001134.8	YBR032W	NM_001346796.1	301488	301851	30	303	30	+	True	True
NC_001134.8	YBR033W	NM_001178381.1	301913	304733	30	2760	30	+	True	True
NC_001134.8	YBR034C	NM_001178382.1	304899	306006	30	1047	30	-	True	True
NC_001134.8	YBR035C	NM_001178383.1	306238	306985	30	687	30	-	True	True
NC_001134.8	YBR036C	NM_001178384.1	309050	310343	30	1233	30	-	True	True
NC_001134.8	YBR037C	NM_001178385.1	310534	311482	30	888	30	-	True	True
NC_001134.8	YBR038W	NM_001178386.1	311867	314819	30	2892	30	+	True	True
NC_001134.8	YBR039W	NM_001178387.1	315544	316540	30	936	30	+	True	True
NC_001134.8	YBR040W	NM_001178388.1	316937	317894	30	897	30	+	True	True
NC_001134.8	YBR041W	NM_001178389.1	318235	320305	30	2010	30	+	True	True
NC_001134.8	YBR042C	NM_001178390.1	320385	321639	30	1194	30	-	True	True
NC_001134.8	YBR043C	NM_001178391.2	321845	323975	30	2070	30	-	True	True
NC_001134.8	YBR044C	NM_001178392.2	324310	326089	30	1719	30	-	True	True
NC_001134.8	YBR045C	NM_001178393.2	328142	330122	30	1920	30	-	True	True
NC_001134.8	YBR046C	NM_001178394.1	330476	331541	30	1005	30	-	True	True
NC_001134.8	YBR047W	NM_001178395.1	331802	332390	30	528	30	+	True	True
NC_001134.8	YBR048W	NM_001178396.1	332800	333842	30	471	30	+	True	True
NC_001134.8	YBR049C	NM_001178397.1	334355	336848	30	2433	30	-	True	True
NC_001134.8	YBR050C	NM_001178398.1	337152	338229	30	1017	30	-	True	True
NC_001134.8	YBR052C	NM_001178400.1	338689	339382	30	633	30	-	True	True
NC_001134.8	YBR053C	NM_001178401.1	339644	340781	30	1077	30	-	True	True
NC_001134.8	YBR054W	NM_001178402.1	343070	344165	30	1035	30	+	True	True
NC_001134.8	YBR055C	NM_001178403.1	344571	347331	30	2700	30	-	True	True
NC_001134.8	YBR056W	NM_001178404.1	347848	349414	30	1506	30	+	True	True
NC_001134.8	YBR056W-A	NM_001270739.1	351224	351485	30	201	30	+	True	True
NC_001134.8	YBR057C	NM_001178405.1	352162	353323	30	1101	30	-	True	True
NC_001134.8	YBR058C	NM_001178406.1	353641	356047	30	2346	30	-	True	True
NC_001134.8	YBR058C-A	NM_001184442.3	356293	356596	30	243	30	-	True	True
NC_001134.8	YBR059C	NM_001178407.1	356830	360217	30	3327	30	-	True	True
NC_001134.8	YBR060C	NM_001178408.1	360621	362544	30	1863	30	-	True	True
NC_001134.8	YBR061C	NM_001178409.3	364756	365749	30	933	30	-	True	True
NC_001134.8	YBR062C	NM_001178410.1	365945	366630	30	543	30	-	True	True
NC_001134.8	YBR063C	NM_001178411.1	366939	368214	30	1215	30	-	True	True
NC_001134.8	YBR065C	NM_001178413.3	368553	369708	30	1095	30	-	True	True
NC_001134.8	YBR066C	NM_001178414.1	370006	370729	30	663	30	-	True	True
NC_001134.8	YBR067C	NM_001178415.1	372072	372765	30	633	30	-	True	True
NC_001134.8	YBR068C	NM_001178416.4	373830	375720	30	1830	30	-	True	True
NC_001134.8	YBR069C	NM_001178417.1	376543	378463	30	1860	30	-	True	True
NC_001134.8	YBR070C	NM_001178418.1	379190	379964	30	714	30	-	True	True
NC_001134.8	YBR071W	NM_001178419.3	380380	381076	30	636	30	+	True	True
NC_001134.8	YBR072W	NM_001178420.1	381999	382704	30	645	30	+	True	True
NC_001134.8	YBR072C-A	NM_001184540.1	382829	383051	30	162	30	-	True	True
NC_001134.8	YBR073W	NM_001178421.4	383081	386018	30	2877	30	+	True	True
NC_001134.8	YBR074W	NM_001178422.2	386255	389246	30	2931	30	+	True	True
NC_001134.8	YBR076W	NM_001178424.2	390196	391321	30	1065	30	+	True	True
NC_001134.8	YBR077C	NM_001178425.3	391774	392323	30	489	30	-	True	True
NC_001134.8	YBR078W	NM_001178426.2	393092	394772	30	1290	30	+	True	True
NC_001134.8	YBR079C	NM_001178427.1	395352	398307	30	2895	30	-	True	True
NC_001134.8	YBR080C	NM_001178428.3	398583	400920	30	2277	30	-	True	True
NC_001134.8	YBR081C	NM_001178429.1	401222	405281	30	3999	30	-	True	True
NC_001134.8	YBR082C	NM_001178430.1	406597	407199	30	447	30	-	True	True
NC_001134.8	YBR083W	NM_001178431.3	409138	410659	30	1461	30	+	True	True
NC_001134.8	YBR084W	NM_001178432.1	411023	414011	30	2928	30	+	True	True
NC_001134.8	YBR084C-A	NM_001180057.1	414155	415291	30	570	30	-	True	True
NC_001134.8	YBR085W	NM_001178433.3	415952	416936	30	924	30	+	True	True
NC_001134.8	YBR085C-A	NM_001184443.1	418876	419194	30	258	30	-	True	True
NC_001134.8	YBR086C	NM_001178434.1	420170	423071	30	2841	30	-	True	True
NC_001134.8	YBR087W	NM_001178435.3	423734	424859	30	1065	30	+	True	True
NC_001134.8	YBR088C	NM_001178436.1	424959	425796	30	777	30	-	True	True
NC_001134.8	YBR089C-A	NM_001180058.2	426159	426519	30	300	30	-	True	True
NC_001134.8	YBR090C	NM_001178438.4	426302	427088	30	369	30	-	True	True
NC_001134.8	YBR091C	NM_001178439.1	427124	427514	30	330	30	-	True	True
NC_001134.8	YBR092C	NM_001178440.1	427667	429131	30	1404	30	-	True	True
NC_001134.8	YBR093C	NM_001178441.3	429517	430981	30	1404	30	-	True	True
NC_001134.8	YBR094W	NM_001178442.2	432005	434327	30	2262	30	+	True	True
NC_001134.8	YBR095C	NM_001178443.1	434375	435728	30	1293	30	-	True	True
NC_001134.8	YBR096W	NM_001178444.3	435990	436743	30	693	30	+	True	True
NC_001134.8	YBR097W	NM_001178445.2	436920	441345	30	4365	30	+	True	True
NC_001134.8	YBR098W	NM_001178446.1	441484	443620	30	2076	30	+	True	True
NC_001134.8	YBR101C	NM_001178449.3	443790	444723	30	873	30	-	True	True
NC_001134.8	YBR102C	NM_001178450.1	445031	447353	30	2262	30	-	True	True
NC_001134.8	YBR103W	NM_001178451.1	447678	449346	30	1608	30	+	True	True
NC_001134.8	YBR104W	NM_001178452.3	449636	450686	30	990	30	+	True	True
NC_001134.8	YBR105C	NM_001178453.1	450850	451999	30	1089	30	-	True	True
NC_001134.8	YBR106W	NM_001178454.1	452627	453254	30	567	30	+	True	True
NC_001134.8	YBR107C	NM_001178455.3	453762	454560	30	738	30	-	True	True
NC_001134.8	YBR108W	NM_001178456.2	454791	457695	30	2844	30	+	True	True
NC_001134.8	YBR109C	NM_001178457.1	457888	458392	30	444	30	-	True	True
NC_001134.8	YBR110W	NM_001178458.3	458841	460251	30	1350	30	+	True	True
NC_001134.8	YBR111C	NM_001178459.1	461147	461903	30	696	30	-	True	True
NC_001134.8	YBR111W-A	NM_001184520.1	462108	462609	30	291	30	+	True	True
NC_001134.8	YBR112C	NM_001178460.3	462839	465800	30	2901	30	-	True	True
NC_001134.8	YBR114W	NM_001178462.1	467217	469650	30	2373	30	+	True	True
NC_001134.8	YBR115C	NM_001178463.1	469717	473956	30	4179	30	-	True	True
NC_001134.8	YBR117C	NM_001178465.3	474361	476467	30	2046	30	-	True	True
NC_001134.8	YBR118W	NM_001178466.1	477640	479077	30	1377	30	+	True	True
NC_001134.8	YBR119W	NM_001178467.1	479307	480353	30	897	30	+	True	True
NC_001134.8	YBR120C	NM_001178468.3	480404	480953	30	489	30	-	True	True
NC_001134.8	YBR121C	NM_001178469.2	481333	483397	30	2004	30	-	True	True
NC_001134.8	YBR122C	NM_001178470.1	483939	484533	30	534	30	-	True	True
NC_001134.8	YBR123C	NM_001178471.3	484711	486721	30	1950	30	-	True	True
NC_001134.8	YBR125C	NM_001178473.1	487168	488410	30	1182	30	-	True	True
NC_001134.8	YBR126C	NM_001178474.1	488874	490422	30	1488	30	-	True	True
NC_001134.8	YBR126W-A	NM_001270740.1	490819	491086	30	207	30	+	True	True
