transcript_id	m_GR_in_01d_1.isoforms.results	m_GR_in_01d_2.isoforms.results	m_GR_in_01d_3.isoforms.results	m_GR_un_01d_1.isoforms.results	m_GR_un_01d_2.isoforms.results	m_GR_un_01d_3.isoforms.results	m_GR_in_02d_1.isoforms.results	m_GR_in_02d_2.isoforms.results	m_GR_in_02d_3.isoforms.results	m_GR_un_02d_1.isoforms.results	m_GR_un_02d_2.isoforms.results	m_GR_un_02d_3.isoforms.results	m_GR_in_04d_1.isoforms.results	m_GR_in_04d_2.isoforms.results	m_GR_in_04d_3.isoforms.results	m_GR_un_04d_1.isoforms.results	m_GR_un_04d_2.isoforms.results	m_GR_un_04d_3.isoforms.results	m_GR_in_07d_1.isoforms.results	m_GR_in_07d_2.isoforms.results	m_GR_in_07d_3.isoforms.results	m_GR_un_07d_1.isoforms.results	m_GR_un_07d_2.isoforms.results	m_GR_un_07d_3.isoforms.results	m_GR_in_10d_1.isoforms.results	m_GR_in_10d_2.isoforms.results	m_GR_in_10d_3.isoforms.results	m_GR_un_10d_1.isoforms.results	m_GR_un_10d_2.isoforms.results	m_GR_un_10d_3.isoforms.results	m_GR_in_15d_1.isoforms.results	m_GR_in_15d_2.isoforms.results	m_GR_in_15d_3.isoforms.results	m_GR_un_15d_1.isoforms.results	m_GR_un_15d_2.isoforms.results	m_GR_un_15d_3.isoforms.results	m_GR_in_20d_1.isoforms.results	m_GR_in_20d_2.isoforms.results	m_GR_in_20d_3.isoforms.results	m_GR_un_20d_1.isoforms.results	m_GR_un_20d_2.isoforms.results	m_GR_un_20d_3.isoforms.results	m_GR_in_25d_1.isoforms.results	m_GR_in_25d_2.isoforms.results	m_GR_in_25d_3.isoforms.results	m_GR_un_25d_1.isoforms.results	m_GR_un_25d_2.isoforms.results	m_GR_un_25d_3.isoforms.results
GlmaCp063	6909.09	13096.93	8743.35	5136.8	6429.27	3711.2	2219	5708.54	2606.94	4606.64	6914.89	1430.33	1349.33	3912.6	3552.49	248.5	7094.16	4102.97	6552.6	4225.98	3360.25	5969.08	3236	3152.5	4935.93	10228.99	41319.54	1661.65	2425	3831.5	14848.73	14205.82	22554.23	2729	1818.44	3822	7196.64	2327.18	3259.26	3407	1788.66	85.24	4695.89	6080	6538.84	65.24	5738.09	2859.47
GlmaCp073	60	81	90	202	122	84	44	33	36	27	24	39	105	216	127	103	65	90	39	123	26	124	82	72	72	58	112	142	139	90	76	46	50	46	98	97	60	62	66	82	75	89	65	47	172	60	94	49
GlmaCp074	1110	1861	1801	1923	1319	1629	944	1217	1665	1330	1792	1663	2085	1157	2295	1833	2189	2444	2808	2176	1088	3097	2612	2943	1564	1817	4805	1919	3224	3405	5511	4015	7109	4210	6329	5713	670	693	1010	1446	1807	1341	1272	1226	2000	1560	1772	2000
I638_mgp001	76	135	100	142	103	103	14	26	37	45	40	49	56	127	95	62	57	54	36	86	26	52	44	41	65	44	128	114	72	68	107	56	133	46	104	114	137	139	107	184	102	185	131	116	133	93	99	72
I638_mgp014	661.88	1106.6	1147.33	752.89	586.84	883.13	180.37	242.67	385	283	340	312.67	380.59	251.38	606.83	361.71	441	452.12	411	491.09	204.75	482.67	377.73	424	434.93	400	1292.21	419.9	573.28	602.67	344.43	258	372	408.69	550.65	489.62	329.72	395.53	380.15	653.61	376.38	354.82	410.96	328.28	381.72	485.55	475.94	466.52
I638_mgp026	19	44	34	28	22	32	9	11	15	13	13	18	19	9	14	13	16	28	8	16	5	23	10	25	28	36	63	20	29	28	44	29	55	16	30	41	20	33	25	58	22	20	16	18	50	19	22	14
I638_mgp038	2640	3470	3823	3779	2582	3151	630	979	1195	986	1390	1379	1440	1349	1489	1177	1133	1308	2051	2066	828	2394	2108	2481	2344	2377	6774	1411	1926	1757	5419	4263	6710	2364	3709	3401	2498	2437	2736	2633	2147	1768	2747	2554	3003	1948	2139	2185
I638_mgp046	264.2	406.78	412.54	418.59	287.6	341.49	142	244	341	204	264	218	482.83	327.61	596.42	358.52	377	408	496	495	230	568	512	556.55	368	435	1127	593.72	952	768.59	899	630	977	1059	1689	1498	232.85	255.22	257.66	508	325	266.22	998	800	1438	525.48	494	549
I638_mgp050	46	143	99	77	55	90	19	24	66	51	71	38	43	21	53	60	46	67	29	33	18	33	12	18	75	119	269	55	51	75	148	69	93	41	63	69	98	132	80	80	50	44	95	76	140	25	41	55
I638_mgp052	22151.67	36835.67	39482.67	28981.33	21913.33	29519.67	11810.67	16726	26474.33	18021	25773.67	22658.33	23822.67	16091.33	32707.67	21452.67	23344.67	26722.67	20197	17619.33	7870	24442.33	21121.33	23312.33	24542.67	26919.33	74420.33	22727.67	33317.67	34611	63344	42443.33	70549.67	31091.33	49697.67	45100.67	20563.33	23159	19842.67	37755.33	25722	23716	31219.67	25945	43258.67	23290.33	22820.33	24706.33
I638_mgp053	4416	7319	6578	6214	4655	5461	1503	2082	3149	1957	2948	2645	3560	3747.99	4429	3296	3163	4060	2179	2506	929	3095	2203	2859	4691	3178	9839	4610	4901	5093	4038	2669	3686	2362	3620	3689	5114.99	4877	4484	6496	4106	4675	4990	4302	4843	4613	4674	4792
I638_mgp059	83.5	123.5	119.5	132.5	91	121.5	13.5	23.5	28.5	20.5	29.5	24	47	94	0	57	40	44	38	67	15.5	60.5	35.5	30.5	58	50	186	59.5	54.5	77	48.5	18	27	16.5	32	26	82	95.5	90	76.5	55	94	65	61	65.5	46	57	51.5
I638_mgp062	76	151	134	107	100	119	28	37	41	40	63	47	47	55	97	49	63	73	25	24	11	24	33	30	91	98	327	71	86	83	131	73	84	15	30	35	173	189	150	81	64	49	220	203	175	53	52	58
I638_mgp064	343	548	585	510	363	431	129	196	283	252	280	327	217.98	265.59	211.88	196.87	204	260.54	73	112.35	50	120.21	112	138	495.83	349.4	899.46	222.96	223.48	228	442	160	219	121	178	241	421	324	352	424	271	299	208	171	381	176	156.53	160.1
I638_mgp068	29	34	28	39	17	22	0	4	5	8	8	8	10	16	12	6	11	11	3	6	4	8	6	4	12	9	35	10	8	12	3	5	0	0	7	13	14	12	14	9	20	9	12	14	17	17	14	12
I638_mgp075	410	471	424	725	447	477	49	117	104	79	92	103	219	900	297	289	172	170	123	210	47	200	113	145	404	229	537	366	200	160	236	168	248	93	180	128	801	652	628	319	161	373	242	243	286	153	163	135
NM_001248017.2	84	273	350	395.6	453.62	750.14	70	98	153.7	79.57	149	114	174.63	184.57	322	423.7	332.96	439	239	280	84	447.76	363.77	397.76	267.41	284	874.44	434.6	629	479	458	363	553	71	150	101	42	45.92	86.62	91	98	69	76.41	59	88	79	83	90
NM_001248034.2	277	419	335	305	251	287	379	492	672	439	704	559	600	514	745.92	385	471	522	235	215	91	346	400	416	30	33	59	47	70	69	0	0	0	506	683	596.85	0	0	0	207	215	191	0	0	0	478	464	433
NM_001248043.2	0	6	1	3	1	1	0	0	4	0	0	0	2	1.01	0	0	0	0	22	19	6	5	6	6.03	0	0	0	2	0	2	0	0	0	3	13	9	0	0	0	0	0	0	3	5	4	10	17	53
NM_001248075.2	30	57.77	81.44	45.16	28.74	57.45	12	10	24	11.38	17.28	18	5.29	32.47	25.85	25.3	15.78	23.85	29	14.94	4.21	22	22	10	86.78	76.47	222.98	14.4	19.32	26.5	28	26	35	16	16	12	24.05	29.83	42.5	12	15.2	13.6	13	17.6	18	12	8	8.18
NM_001248082.1	187.79	297.93	261.93	224.9	165	180	69	80.96	143	92	156	146	124	102.95	203	116.89	95	103	149	104	36	174	137	164	60	48	175	39	83	64	115	55	117	225	327	393	38	52	48	259	242	200	64	70	87	171	155	189
NM_001248089.3	65	161	176	160	135	122	43	104	71	60	75	73	125	99	114	49	49	57	36	26	7	74	65	70	1	3	4	8	19	13	0	0	0	30	54	37	0	0	0	13	15	22	10	4	1	73	79	100
NM_001248106.1	1	2	3	4	9	2	1	1	5	3	2	0	2	2	3	0	3	7	37	27	9	2	0	0	328	353	1083.51	0	0	0	1427	792	1240	6	0	1	349.36	342.88	411.87	4	2	2	781.53	629.77	1093.56	4	4	7
NM_001248108.2	14	42	56	47.46	50.54	44.79	33	40	54	34	42	48.62	61	47.55	79.75	50	60	69.8	110.69	113	38	94	69	62	41	38	95	61	72	75	70	65	101	55	75	89	2	1	0	17	22	15.26	3	2	4	98.32	117	126
NM_001248110.2	203.63	245.12	190	229.92	131.77	222	32	67.6	74	61	95	73	112	109.77	144.74	145	173.83	146.76	42	40	15.69	123	104	87	55.66	56	187.5	225.12	281.85	288.58	56	28	33	42	50	52	6	4	16	118.64	101	77.9	38	26	38	36	28	24
NM_001248118.2	43	94	78	63	22	49	17	30	40	22	47	33	20	21	22	20	22	24	14	18	2	37	33	23	3	4	12	24	18	28	0	0	2	43	60	50	3	5	9	89	112	68	0	5	4	75	56	66
NM_001248127.1	180	334	363	286	223	247	167	265	426	373	498	437	300	222	376	324	366	436	258	287	117	263	190	284	336	347	862	502	742	786	330	127	213	346	477	538	91	75	150	330	303	251	175	141	203	216	191	225
NM_001248151.2	535.49	842.21	886.61	646	507.52	575.42	289.73	447.44	757.74	475	749.72	657	381.15	295.34	575.41	371.7	460.28	509.67	352.59	341.14	118	395.73	333	366	338.2	391.23	1077.22	138.63	267	283	145.13	77	123	412.26	602.52	551.51	103.11	125.45	158.78	549.05	551.3	401.69	115.39	82.49	121	323.17	285	309.71
NM_001248155.2	1	3	0	0	3	7	0	1	0	0	1	1	5	4	9	0	0	0	1	1	0	0	0	0	9	10	13	0	2	1	3	1	4	0	1	0	0	1	0	1	1	0	6	12	11	0	0	2
NM_001248161.1	1	13	10	11	9	4	0	12	5	7	4	6	8	3	7	2	5	3	2	2	0	3	6	4	0	1	7	1	8	5	2	0	0	18	33	34	1	1	2	14	21	14	0	2	2	8	6	3
NM_001248166.1	8	14.88	14	9	9	10	4	10	9	2	11	13	4	11	7	4	4	5	6	4	2	8	10	12	14	18	41	2	3	1	15	12	25	19	21	29	1	4	13	23	29	17	14	9	14	5	6	4
NM_001248173.2	415.53	569.52	583.4	565.03	391.58	429.98	104	177	239	174.7	195	224	190.01	260.05	366.43	215.81	225.81	290.68	124.83	133.89	39	200	145	145	292.1	276.7	799.74	150.83	189.2	174.78	109	81	124.59	94	174	157	102.42	117.15	156.16	177.17	176.84	169.64	74.35	79.66	116.69	113	105.49	109.72
NM_001248183.2	5	7	7	0	7	4	1	3	2	1	1	4	2	0	2	4	3	2	0	0	0	0	3	2	0	0	0	2	0	2	0	0	0	0	4	4	0	0	0	2	0	0	0	0	0	0	0	3
NM_001248184.2	193.24	230.28	169.97	137.37	67.21	90.02	28	39.3	40.42	20.85	31.74	39.68	48.45	31.03	66.51	42.77	39.71	49.26	55.24	47.91	17	130.12	98.21	95.01	56.22	77.36	176.98	28.15	37.98	31.23	42.27	38	70.8	18.25	41.38	37.44	29.84	29.22	100.71	41.01	45.42	24.41	185.14	177.83	161.23	69.63	49.06	54.83
NM_001248193.2	22	31	38	32	34	21	11	10	20	13	34	20	15	15	34	9	25	12	49	47	15	26	19	27	47	76	207	17	22	13	49	25	44	48	100	82	15	16	23	24	41	24	27	41	41	34	28	38
NM_001248204.2	159	281	264	235.58	166.03	191	145	178	283	159	278	234	187	134	251	178	188	197	142	138	54	191	154	196	152.27	217	502	104.48	187	140	229	95	233	216	284	268	58	80	96	255.93	271	220.62	172	119	198	167	169	159
NM_001248208.2	0	0	0	0	1	1	1	3	1	1	2	0	2	0	5	2	1	0	13	14	12	12	7	6	10	4	22	38	53	73	1	0	0	225	379	406	2	0	3	782	951	678	1	0	6	299	335	296
NM_001248211.2	91	156	161	172.93	138.97	158	72	99	132	68	133	93	126	111.21	142	83	104	94	221	163	63	207	157	156.95	24	28	86	67	95	100	150.88	80.81	171	90.99	171	166	7	9	24	67	89	68.71	30	36	62	142	170	148
NM_001248213.3	505.73	826	709	609.12	357.45	288.27	246	233	385	372	538	452.38	208	125.08	225	256	320.56	335	195	143	44	249	213.29	250	242	278	676	115.22	185	208	368	134	246	404	546	595	54.49	63.67	80	410	367	334.33	122.24	81	216	154	142.44	154
NM_001248214.2	282	453	519	390	279	363	205	286	466	280	380	356	633	584	975	535	547	630	636	775	300	1288	1061	1152	608	577	1686	5038.26	6914	6558.46	308	131	244	259	380	392	48	46	63	598	657	489	113	106	144	753	600	650
NM_001248216.3	121	173	183	145.41	132.64	134	60	105	150	101	178	156	139.72	91.56	174	120	109	141	99	86	34	117	104	148	119	117	302	160	266	277	111	48	106	189	280	252	35	40	69.21	123	187	117	114	113	122	130	153	124
NM_001248217.1	808.47	1175.05	1377.06	1256.19	820.2	1173.97	354.34	417.06	682	343.73	568.49	440.73	644.81	504.29	1119.25	594.74	585.54	659.1	581.71	636.15	239	850.8	670.73	733.72	163.72	195.39	650.76	406.44	638.54	580.54	115	42	62	235	458.37	453.82	52.67	81.17	146.49	333.62	340.61	236.84	122.33	98.17	77	465.91	450.84	507.77
NM_001248220.2	115	198	177	193.92	119.74	126.91	68	77	77	72	110	88	68	81	135.73	78	104	106	91	82	26	90	77	80	88	78	222	40	30	38	10	3	7	114	183.69	233	33	29	33	197	266	164.96	1	3	9	187	141.89	156
NM_001248222.1	33	39	43	31	28	25	12	8	10	7	7	15	6	13	29	12	8	8	8	14	3	12	15	18	9	13	37	13	10	13	39	31	38	13	24	14	3	5	8	8	9	4	9	5	15	7	9	13
NM_001248239.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
NM_001248247.1	40	66	69	52	52	35.46	22	41	54	59	77	79	36	33	67	44	41	71	23	34	18	58	42	49	35	33	79	43	57	73	61	42	56	105	163	134	14	20	13	131	88	93	32	34	49	27	29	30
NM_001248257.2	23	27	25	46	26	32	9	8	12	11	14	8	20	19	21	26	33	23	5	16	5	26	19	30	26	15	51	28	37	18	99	79	115	39	93	62	5	6	8	16	23	14	2	1	10	14	6	7
NM_001248261.1	258.05	389.53	315	323	263	255	139	188	249	175.55	262	219.55	210	197.79	254	137.32	155	187	91	94	44	182.04	137	154	89	76	265.55	141	180.6	190	279	325	639	628	1047.82	774	37	31.64	67	128	156	126.75	120	106	180	111	104	117
NM_001248273.1	88.51	111.92	114.96	94.94	71.46	90.48	43	61.58	59	64	64.43	52	52.42	37.55	73.78	37.43	62.94	35	45	39.45	15.36	56	49	47.37	68.53	80.54	213.51	18.33	22	32.2	103	105.16	147	116	216.24	208.65	64.8	58.99	66.06	96.63	91	88.45	56.13	36.52	95	39	27.77	51.51
NM_001248290.2	1146	1757	1743	1379	1018	1277	419	601	898	602	934	802	630	537	1037	663	668	704	398	470	193	680	591	619	105	110	365	508	780	564	79	49	57	290	571	484	36	46	80	555	627	433	54	51	70	431	440	396
NM_001248292.2	127	212	205.42	130	117	198	75	146.48	191	122.5	166	169	218	154.07	332	163	161	161	213	196.48	96	322	259	289	118	126	309.51	378.69	512.15	542.59	194	124	216	152	268.03	209.92	53	34.5	62.72	140	160.53	131.17	52	46	78	137	128.49	132
NM_001248304.2	903.46	1848.82	2681.37	2232.42	1974.3	2534.25	2364.11	3279.44	4997.28	3314.24	4396.3	3767.51	4791.88	3575.4	5387.2	3557.89	3973.34	4531.89	6124.95	5350.41	2268.07	7051.62	6375.38	7050.71	1431.8	1320.65	3373.4	10929.91	15350.84	15594.49	1407.68	773.16	1160	5049.21	7797.04	6737.02	185.28	180.63	263.62	3396.71	3017.69	2321.09	338.12	254.46	582.41	7990.44	7652.33	8070.72
NM_001248307.2	40	79	46	54	40	59	9	17	27	12	23	22	29	34	39	47.48	28	33	41	36	9	47	34	49	80.04	81	187	31	42	40	25	47	49	20	69	44	52.76	43	85	33	34	21	40	42	51	18	25	18
NM_001248313.2	66	93	77	120	63	82	17	35	53	42	63	56	27	22	62	31	43	38	15	11	5	35	37	30	6	14	13	16	28	25	1	0	0	8	34	43	0	1	0	41	73	39	0	0	2	21	21	23
NM_001248324.3	26.96	114.07	164.64	191.26	233.9	443.81	130.1	199.84	294.66	159.88	265.36	210.63	476.34	377.08	634.1	294.73	328.57	353.5	476.53	425.02	215.29	890.45	797.64	844.93	75.39	90.33	214.16	1062.61	1421.45	1359.95	4	3	13.3	111.95	166.79	146.01	1	0	0	17	20	11.76	4	0	4	72.44	71.67	97.93
NM_001248336.1	83.51	124.45	109.49	98.84	72.48	96.47	24	34	41	34	63	51.48	34	20.8	35	17	27	42.5	4	4	3	18	23	13	0	0	0	6	6	7	0	0	0	5	4	3	1	0	0	3	8	7	0	0	0	10	10	5
NM_001248339.2	55.6	58	67.23	58.43	49	118.3	66	114	149.23	93	141	135.27	192	143.71	277.59	192.45	215	281	102	106.8	44	249	191	216	137.57	118	351	494.13	661.77	686.56	644.55	331	524	12	11	27	6	3.48	5	19	9	11.53	261.58	207.54	262.39	94.25	84	85
NM_001248344.2	110.19	119	161.66	119.48	82.88	101	34	49	72	38	61.11	63	76	56.22	89.96	58.58	63.56	58.43	36	53	15	77	61	58	68.05	90	181	51.01	38.51	65.66	70	36	73	42	76	70	14	20.95	48.51	77	82	72.72	46	42.88	74.67	63.3	67	78
NM_001248346.1	43	70	67	45	20.13	62	12	23	40	22	30.71	29	20	29	30	29.24	32	36	28	19	12	21	20	24	44	51	148	10	16	12	14	5	23	14	23	16	2.37	8	15	13	21	16.57	14	13	9	11	21	13
NM_001248358.1	8	28	11	19	15	10	4	17	13	11	19	17	16	6	12	8	6	11	15	30	6	17	9	15	17	19	45	13	7	5	34	36	19	65	114	113	5	20	11	151	149	150	8	1	16	30	36	35
NM_001248361.2	19.65	57.57	44.69	38.35	18.55	28.47	11	13.93	20.33	17.84	23.42	17	28.5	13.39	26.3	25.32	21	28.34	28	24.5	8.32	12.37	13	18.1	47.9	54	177.41	7	9	6.54	24.18	13	32	9	52	36.04	8.41	7.82	30.93	22.15	53.95	25.71	26.71	14.51	14.95	23.98	20.46	30.25
NM_001248366.2	38	53	43	55	48	41	22	27	38	30	47	32	38	29	29	28	18	24	31	25	8	30	32	41	73	75	186	25	30	29	164	86	127	62	106	103	74	52	110	50	90	51	123	123	178	23	41	33
NM_001248370.1	1	0	6	1	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	3	5	14	0	1	1	2	2	1	0	0	0	2	1	1
NM_001248371.2	1	4	6	2	1	2	0	0	0	0	0	0	3	0	5	51.4	77	90	5	11	4	10	9	9	1.11	3	6	6	12	8	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0
NM_001248375.2	6	6	1	11	3	5	0	0	0	2	1	2	1	1	0	0	0	1	0	1	0	2	1	1	1	0	0	0	0	1	0	0	0	0	1	8	1	0	0	4	3	3	0	0	0	1	5	0
NM_001248388.2	11	37	45	44	14	29	17	23	27	6	19	10	14	8	22	15	15	19	14	19	5	10	5	4	22	19	56	2	11	7	9	5	3	26	52.95	42	0	0	5	36	43	30	9	6	4	21	22	19
NM_001248393.2	2	7	7	4	1	0	2	2	5	8	3	7	1	1	0	4	0	1	0	0	0	0	1	2	25	29	33	0	0	0	132	45	76	4	6	1	36	23	39	0	1	0	152	158	253	0	0	0
NM_001248396.1	45.37	84.32	63.37	70.04	65.05	27.61	50.67	90.45	120.58	88.49	101.4	126.61	49.37	31.09	61	59.81	63	92.73	31	32.5	9	41.11	66.9	79.77	6.75	5	11.46	19.35	17	24	0	0	4	50	95.63	77	1	0	1	9.5	31	12	3	1	2	23	17	26.94
NM_001248402.3	11	37	29	29	16	20	6	15	23	15	38	14	9	9	7	7	6	19	8	9	1	11	3	4	5	11	24	3	14	15	2	2	0	16	18	15	0	1	2	7.03	26	10	1	3	2	11	6	16
NM_001248431.1	62	53.43	83	79	56.5	62	62	79	112.51	99	112	99	100.48	62.1	130.41	65.5	66	100	49	91	21	97	91.5	92.5	20	27	50	148.53	234	265.2	8	11	11	100	155	167	3	6	3	140.69	121	106.25	11	4	16	97	94.18	81
NM_001248434.2	2	3	5	4	1	5	1	2	1	2	4	2	2	2	4	4	0	3	2	3	0	11	6	1	0	1	3	1	2	5	0	0	0	0	5	4	1	0	0	1	1	2	0	1	2	7	8	5
NM_001248453.2	180.34	268.15	157.04	257.85	140.47	150.61	40	62	100.82	92.74	170.69	126.63	68.5	60.65	145.67	79.41	68.86	98.79	118	95.45	49	102.75	115.14	86.73	225.44	283.7	775.71	144.11	178.07	162	276	99	149	362.56	521.62	483.2	50.3	56.21	166.22	291.8	564.12	251.79	362.89	299.92	308.74	123	131.2	146.88
NM_001248480.2	55	71	70	60	44	32	10	24	27	23	29	30	24	26	28	22	17	34	12	13	6	35	14	17	42	29	119	15	20	25	34	39	47	37	48	16	27	16	28	27	16	23	53	53	81	22	24	33
NM_001248492.2	117	165	192	125	91	109	36	40	65	37	61	69	62	71	117	65	77	97	91	115	41	131	122	115	89	119	372	45	52	51	101	70	92	105	205	193	28	27	66	117	174	116	96	68	90	113	114	110
NM_001248496.2	51	108	98	58.39	46	79	25	34	39	27	48	53	51	43.52	93	59	40	47	30	25	14	42	41	41	6	4	16	27	40	45	3	0	1	49	56	56	1	1	2	22	22	29	0	0	0	48	51	33.3
NM_001248507.2	63.06	117.81	125.39	81.97	69.06	62.5	40	37	82	60	69	58	44	44.83	74.09	47.77	63.6	46.97	41	37	22	61	62	63.37	43	37	136.98	34.31	57.67	68	66.76	35	56	70	111.63	87.54	14.62	18.54	40.64	59.62	64.65	47.02	26.68	26	19.54	49	62	47
NM_001248519.2	0	3	1	1	3	3	0	0	0	2	0	0	1	1	1	7	3	3	1	4	1	1	4	3	20	22	99	1	1	1	16	9	17	0	3	0	9	19	28	2	0	0	2	2	1	1	1	0
NM_001248529.3	2	2	0	1	4	1	1	0	1	2	0	1	0	2	1	1	0	1	7	1	1	5	3	1	5.33	3	21.5	8	8	2	0	0	0	0	2	2	4	2	6.63	1	3	3	0	1	2	6	3	5
NM_001248535.2	217.79	376.82	414	284.98	189.23	279.06	59.16	111	185	126.43	190.4	157	166.06	121.3	237.58	143.37	210	156	159.54	157.9	64	282.91	194	222.87	95.42	106	347.61	264.14	394	390.96	110	67	91	317.26	471.32	503.05	55.35	71.86	66.39	336.52	275.45	230.89	96	70	87	201	185.88	208
NM_001248556.2	22	53	32	27	18	32.3	2	15	12	6	12	14	26.13	10	11	26	19	18	6	1	4	9	12	4	11	15	45	16.08	18	10	4	4	1	3	1	0	1	0	4	6	5	4	18	11	17	3	1	6
NM_001248557.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NM_001248569.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001248570.2	437.67	816	715	472.19	436	524	228	346	489	295	446	408	353	304.5	540.59	307.69	311	356	170	218	69	237	246	202	366	307	903.68	229.59	275	284	198	170	182	306	491	458	90	87.72	95.63	278	358	249	96.56	90.81	191	228	261	254
