name	from_tis	region	SM_IN_1	SM_IN_2	SM_IP_1	SM_IP_2	enrich	collision	peak
EAA34471	-111	5utr	1	1	0	2	1.8906455373000663		
EAA34471	-110	5utr	0	2	2	0	1.6396335633588233		
EAA34471	-109	5utr	0	3	0	2	0.9562184314007949		
EAA34471	-108	5utr	6	6	5	2	1.3524766361667058		
EAA34471	-107	5utr	1	0	3	0	1.1454268362343303		
EAA34471	-106	5utr	0	0	0	0	0.6021437205465581		
EAA34471	-105	5utr	1	1	0	0	0.2905852444920047		
EAA34471	-104	5utr	3	7	0	2	2.1306326159607054		
EAA34471	-103	5utr	1	1	0	3	2.130632615960705		
EAA34471	-102	5utr	0	3	0	0	1.8400473714687007		
EAA34471	-101	5utr	1	1	0	0	0.0		
EAA34471	-100	5utr	2	3	0	0	0.7617191052794617		
EAA34471	-99	5utr	1	2	1	1	2.1333286501354634	2.1333286501354634	2.1333286501354634
EAA34471	-98	5utr	2	4	3	4	2.866607539145506		2.866607539145506
EAA34471	-97	5utr	5	7	3	5	3.124837646985111		3.124837646985111
EAA34471	-96	5utr	1	1	1	1	1.9230757178579394		1.9230757178579394
EAA34471	-95	5utr	3	2	1	0	2.6163461312631306		2.6163461312631306
EAA34471	-94	5utr	1	1	2	1	1.6973217261188425		1.6973217261188425
EAA34471	-93	5utr	3	0	0	1	1.7293237263395707	1.7293237263395707	1.7293237263395707
EAA34471	-92	5utr	3	0	0	2	0.5060744685724204		
EAA34471	-91	5utr	2	2	1	0	1.2080079546597187		
EAA34471	-90	5utr	1	0	4	0	1.4127584280063272		
EAA34471	-89	5utr	1	1	1	0	1.209458383358244		
EAA34471	-88	5utr	0	1	0	0	0.6124856050768139		
EAA34471	-87	5utr	0	1	1	0	0.4066000892961666		
EAA34471	-86	5utr	1	0	1	0	2.0998418259977085	2.0998418259977085	2.0998418259977085
EAA34471	-85	5utr	1	5	7	0	2.0629421022350365		2.0629421022350365
EAA34471	-84	5utr	2	3	1	0	3.2556677778771324		3.2556677778771324
EAA34471	-83	5utr	1	4	1	3	1.6812331898146857		1.6812331898146857
EAA34471	-82	5utr	4	3	1	0	1.5122473977967106	1.5122473977967106	1.5122473977967106
EAA34471	-81	5utr	0	1	0	0	0.287792940657071		
EAA34471	-80	5utr	2	3	1	0	1.0825335630003585		
EAA34471	-79	5utr	4	8	6	4	1.3036601065976412		
EAA34471	-78	5utr	5	0	4	1	1.4040173933554012		
EAA34471	-77	5utr	1	3	1	0	0.49046962237301794		
EAA34471	-76	5utr	3	1	0	0	1.0182255656973576		
EAA34471	-75	5utr	3	3	1	3	1.1812449092281834		
EAA34471	-74	5utr	2	9	2	1	1.272859202876449		
EAA34471	-73	5utr	5	4	1	0	1.124987490171312		
EAA34471	-72	5utr	5	3	1	3	0.881354727300878		
EAA34471	-71	5utr	13	11	1	3	1.230859452007221		
EAA34471	-70	5utr	6	7	4	2	1.3555237078056823		
EAA34471	-69	5utr	1	5	3	0	1.166794048369555		
EAA34471	-68	5utr	0	1	0	0	0.7256750300149464		
EAA34471	-67	5utr	2	1	0	0	0.0		
EAA34471	-66	5utr	1	0	0	0	0.0		
EAA34471	-65	5utr	0	0	0	0	0.20071457351551933		
EAA34471	-64	5utr	1	0	1	0	0.2007145735155193		
EAA34471	-63	5utr	0	1	0	0	0.20071457351551933		
EAA34471	-62	5utr	0	0	1	0	0.0		
EAA34471	-61	5utr	0	1	0	0	0.0		
EAA34471	-60	5utr	3	1	0	0	0.4114995078733422		
EAA34471	-59	5utr	6	2	0	2	1.9331719034692538		
EAA34471	-58	5utr	1	4	0	4	2.4753053558641427		
EAA34471	-57	5utr	3	3	4	0	2.1487296558552154		
EAA34471	-56	5utr	6	4	1	0	0.9011244998643319		
EAA34471	-55	5utr	4	5	3	0	0.8011937495093393		
EAA34471	-54	5utr	5	9	4	2	1.1251693575268578		
EAA34471	-53	5utr	3	3	0	2	0.8511021179218299		
EAA34471	-52	5utr	3	0	0	0	0.6638115278102898		
EAA34471	-51	5utr	2	3	0	1	0.2549121119283562		
EAA34471	-50	5utr	1	2	0	0	0.7648867184878897		
EAA34471	-49	5utr	2	2	1	1	0.5099746065595333		
EAA34471	-48	5utr	2	2	0	0	0.5099746065595334		
EAA34471	-47	5utr	0	1	0	0	0.4444129518257148		
EAA34471	-46	5utr	6	8	6	1	1.335247111024979		
EAA34471	-45	5utr	3	4	3	3	1.3352471110249788		
EAA34471	-44	5utr	1	0	0	0	0.8908341591992643		
EAA34471	-43	5utr	1	2	0	0	0.0		
EAA34471	-42	5utr	0	0	0	0	0.0		
EAA34471	-41	5utr	1	0	0	0	0.0		
EAA34471	-40	5utr	1	0	0	0	0.5099746065595334		
EAA34471	-39	5utr	2	2	1	1	1.1425786579191923	1.1425786579191923	
EAA34471	-38	5utr	1	4	1	1	2.8204213109458913	2.8204213109458913	2.8204213109458913
EAA34471	-37	5utr	1	2	1	3	2.745895801553669		2.745895801553669
EAA34471	-36	5utr	3	0	5	1	3.8054202883146124		3.8054202883146124
EAA34471	-35	5utr	4	2	2	6	2.766016425251781		2.766016425251781
EAA34471	-34	5utr	12	6	11	1	3.012044861669262		3.012044861669262
EAA34471	-33	5utr	10	4	5	3	2.5466145711944606		2.5466145711944606
EAA34471	-32	5utr	2	2	0	4	2.529325181027719		2.529325181027719
EAA34471	-31	5utr	0	1	0	2	2.106077755282532	2.106077755282532	2.106077755282532
EAA34471	-30	5utr	0	2	1	1	0.8793795076367315		
EAA34471	-29	5utr	0	1	0	0	0.2582301078396052		
EAA34471	-28	5utr	1	5	0	0	0.1518286657029215		
EAA34471	-27	5utr	2	4	1	0	0.3328122945971005		
EAA34471	-26	5utr	5	0	3	1	0.4619273485169031		
EAA34471	-25	5utr	0	4	1	1	0.7166987721101483		
EAA34471	-24	5utr	1	1	1	0	0.9472146510893114		
EAA34471	-23	5utr	3	1	0	1	0.8180995971695089		
EAA34471	-22	5utr	0	1	0	0	0.8385038117571046		
EAA34471	-21	5utr	2	5	0	2	0.42700430388376237		
EAA34471	-20	5utr	1	2	0	0	0.7467180043073499		
EAA34471	-19	5utr	4	7	1	2	0.9175379669986434		
EAA34471	-18	5utr	5	4	2	3	2.8990379514311853	2.8990379514311853	2.8990379514311853
EAA34471	-17	5utr	1	2	2	3	2.835536408931658		2.835536408931658
EAA34471	-16	5utr	3	2	0	1	2.2377121423566027		2.2377121423566027
EAA34471	-15	5utr	0	0	1	3	2.096259529392761		2.096259529392761
EAA34471	-14	5utr	1	1	0	3	1.9481293324633364		1.9481293324633364
EAA34471	-13	5utr	3	5	1	0	2.372027236409668	2.372027236409668	2.372027236409668
EAA34471	-12	5utr	2	3	1	1	0.9437508965022622		
EAA34471	-11	5utr	0	1	2	0	1.2370980825386648	1.2370980825386648	1.2370980825386648
EAA34471	-10	5utr	1	0	2	0	2.3366383891512568		2.3366383891512568
EAA34471	-9	5utr	1	2	2	2	2.0278101154802854		2.0278101154802854
EAA34471	-8	5utr	0	2	1	0	2.220270407915423	2.220270407915423	2.220270407915423
EAA34471	-7	5utr	3	4	2	2	0.6968321973564998		
EAA34471	-6	5utr	5	4	0	0	0.6710965078839188		
EAA34471	-5	5utr	0	8	3	0	0.07720706841774273		
EAA34471	-4	5utr	3	4	0	0	0.28050711306582604		
EAA34471	-3	5utr	2	2	1	0	1.6298493470633169	1.6298493470633169	1.6298493470633169
EAA34471	-2	5utr	1	1	2	1	2.2070626996374734		2.2070626996374734
EAA34471	-1	5utr	8	9	6	4	2.7654817602688517		2.7654817602688517
EAA34471	0	cds	1	2	1	1	2.4133799747911637		2.4133799747911637
EAA34471	1	cds	2	1	2	1	2.6839624301096707		2.6839624301096707
EAA34471	2	cds	2	3	2	2	2.0852830727847005	2.0852830727847005	2.0852830727847005
EAA34471	3	cds	3	5	0	1	1.1455070952350226	1.1455070952350226	
EAA34471	4	cds	2	6	1	0	0.2977112873423592		
EAA34471	5	cds	3	5	0	0	2.7260619633969503	2.7260619633969503	2.7260619633969503
EAA34471	6	cds	2	4	5	8	2.591390424009082		2.591390424009082
EAA34471	7	cds	1	2	0	0	3.3063895701560244		3.3063895701560244
EAA34471	8	cds	4	4	1	4	1.2374624850157114		1.2374624850157114
EAA34471	9	cds	5	6	4	2	2.2696823252521185		2.2696823252521185
EAA34471	10	cds	8	15	10	11	2.057766151180486		2.057766151180486
EAA34471	11	cds	30	30	16	14	1.971438477968845		1.971438477968845
EAA34471	12	cds	7	7	6	1	2.0303801322090522		2.0303801322090522
EAA34471	13	cds	3	1	4	0	2.39218459735776		2.39218459735776
EAA34471	14	cds	4	4	7	1	2.022953789539138	2.022953789539138	2.022953789539138
EAA34471	15	cds	3	0	1	0	1.0958720798135784	1.0958720798135784	
EAA34471	16	cds	5	3	0	1	0.8481426577567432		
EAA34471	17	cds	5	1	1	1	1.0230321281316148	1.0230321281316148	
EAA34471	18	cds	7	4	0	2	1.2849748885207293	1.2849748885207293	1.2849748885207293
EAA34471	19	cds	11	11	7	3	1.2019997423601123		1.2019997423601123
EAA34471	20	cds	30	31	28	8	1.3200017815900569		1.3200017815900569
EAA34471	21	cds	18	25	8	7	1.369492439132395	1.369492439132395	1.369492439132395
EAA34471	22	cds	3	4	1	2	1.0870540688457584	1.0870540688457584	
EAA34471	23	cds	2	0	1	1	0.7272577014024362		
EAA34471	24	cds	0	1	0	0	0.5554018301257712		
EAA34471	25	cds	1	2	1	0	0.7102574207020096		
EAA34471	26	cds	2	2	2	0	2.7432578671828427	2.7432578671828427	2.7432578671828427
EAA34471	27	cds	2	2	10	0	3.311617205095708		3.311617205095708
EAA34471	28	cds	5	3	5	2	3.285876668439273		3.285876668439273
EAA34471	29	cds	2	4	1	1	2.352717293976673		2.352717293976673
EAA34471	30	cds	6	9	15	3	2.2617534785295517		2.2617534785295517
EAA34471	31	cds	5	4	4	3	2.445135515217334		2.445135515217334
EAA34471	32	cds	6	9	7	2	2.607824113944408		2.607824113944408
EAA34471	33	cds	5	5	11	3	2.5138639208832485		2.5138639208832485
EAA34471	34	cds	2	4	0	3	3.910073584091358		3.910073584091358
EAA34471	35	cds	3	2	4	5	2.8853021304152566		2.8853021304152566
EAA34471	36	cds	6	6	2	1	2.9344559955316285		2.9344559955316285
EAA34471	37	cds	5	11	11	1	1.9715668488952165		1.9715668488952165
EAA34471	38	cds	16	20	12	21	2.940824670815452		2.940824670815452
EAA34471	39	cds	16	11	19	13	3.9157597107237416		3.9157597107237416
EAA34471	40	cds	1	0	4	3	3.045653660788708		3.045653660788708
EAA34471	41	cds	4	6	0	1	2.2435140636737243		2.2435140636737243
EAA34471	42	cds	6	12	8	0	1.0764483073075557		1.0764483073075557
EAA34471	43	cds	28	29	14	16	1.3825191860900716		1.3825191860900716
EAA34471	44	cds	11	15	3	7	1.5411661720362249		1.5411661720362249
EAA34471	45	cds	15	9	8	5	1.2376915487448712		1.2376915487448712
EAA34471	46	cds	8	9	2	2	3.759762780034523		3.759762780034523
EAA34471	47	cds	4	1	4	5	3.673784511727745		3.673784511727745
EAA34471	48	cds	4	7	6	0	3.9375152304715417		3.9375152304715417
EAA34471	49	cds	1	4	2	0	1.4574334985736073		1.4574334985736073
EAA34471	50	cds	3	3	2	1	2.2358250712515035		2.2358250712515035
EAA34471	51	cds	7	2	2	5	2.2238162500658		2.2238162500658
EAA34471	52	cds	8	7	3	4	2.4738088947390846		2.4738088947390846
EAA34471	53	cds	15	20	5	17	1.7382178046783312		1.7382178046783312
EAA34471	54	cds	14	15	11	5	3.092948224408317		3.092948224408317
EAA34471	55	cds	7	2	8	4	2.775920502099324		2.775920502099324
EAA34471	56	cds	11	11	2	6	3.1096497231713167		3.1096497231713167
EAA34471	57	cds	7	6	3	7	1.8062225564910723		1.8062225564910723
EAA34471	58	cds	9	9	6	4	2.7553612317377447		2.7553612317377447
EAA34471	59	cds	2	3	2	4	2.8373207487472003		2.8373207487472003
EAA34471	60	cds	6	5	5	5	3.7343339158187705		3.7343339158187705
EAA34471	61	cds	2	3	4	3	2.8452355616544924		2.8452355616544924
EAA34471	62	cds	12	8	5	4	2.661576549829896		2.661576549829896
EAA34471	63	cds	14	10	14	5	2.8415249300811807		2.8415249300811807
EAA34471	64	cds	1	3	3	2	2.571756697040458		2.571756697040458
EAA34471	65	cds	5	8	0	2	2.768399478469812		2.768399478469812
EAA34471	66	cds	3	4	5	2	1.831365271010246		1.831365271010246
EAA34471	67	cds	22	16	16	10	2.431643071313697		2.431643071313697
EAA34471	68	cds	20	15	11	15	3.0190343502947927		3.0190343502947927
EAA34471	69	cds	2	1	2	2	2.438383431536427		2.438383431536427
EAA34471	70	cds	0	2	1	0	2.0508516945619433		2.0508516945619433
EAA34471	71	cds	3	1	0	1	1.5268622116172466		1.5268622116172466
EAA34471	72	cds	5	4	2	6	1.9112050846653221		1.9112050846653221
EAA34471	73	cds	3	5	3	1	2.7453985476179064		2.7453985476179064
EAA34471	74	cds	6	10	14	6	3.239019341527338		3.239019341527338
EAA34471	75	cds	5	2	6	3	3.6819583398307234		3.6819583398307234
EAA34471	76	cds	8	7	5	8	4.05413992142113		4.05413992142113
EAA34471	77	cds	3	2	5	3	4.091006770941474		4.091006770941474
EAA34471	78	cds	3	4	7	4	3.8331127388628623		3.8331127388628623
EAA34471	79	cds	8	9	11	2	3.3389079820643968		3.3389079820643968
EAA34471	80	cds	15	6	13	7	2.0636198241350656		2.0636198241350656
EAA34471	81	cds	3	0	4	0	1.6043191137983381	1.6043191137983381	1.6043191137983381
EAA34471	82	cds	6	4	1	1	1.0679143968806468	1.0679143968806468	
EAA34471	83	cds	2	7	0	3	1.0035950101747042	1.0035950101747042	
EAA34471	84	cds	4	4	2	0	0.7905651233482588		
EAA34471	85	cds	3	2	0	0	0.44726009822578333		
EAA34471	86	cds	5	5	3	0	0.6502593774682248		
EAA34471	87	cds	1	3	0	1	0.6502593774682248		
EAA34471	88	cds	2	3	0	0	1.317271318108054	1.317271318108054	1.317271318108054
EAA34471	89	cds	1	2	3	0	1.3348698981638605		1.3348698981638605
EAA34471	90	cds	2	3	1	1	1.8770033505587493		1.8770033505587493
EAA34471	91	cds	3	3	4	0	1.211750588291583		1.211750588291583
EAA34471	92	cds	8	7	3	1	1.1986671638538815		1.1986671638538815
EAA34471	93	cds	7	20	3	5	1.2713066720129922		1.2713066720129922
EAA34471	94	cds	8	11	8	4	1.415917276767245		1.415917276767245
EAA34471	95	cds	11	10	1	6	1.295531432470163	1.295531432470163	1.295531432470163
EAA34471	96	cds	7	7	5	0	0.9595535281992997		
EAA34471	97	cds	11	11	0	5	0.9781231073766177		
EAA34471	98	cds	3	3	0	2	1.3823636138472035	1.3823636138472035	1.3823636138472035
EAA34471	99	cds	5	5	1	5	1.1698349824096366		1.1698349824096366
EAA34471	100	cds	8	5	1	0	1.2113186097396353		1.2113186097396353
EAA34471	101	cds	10	13	5	5	1.2645295591294046		1.2645295591294046
EAA34471	102	cds	12	15	14	7	1.499785417929806		1.499785417929806
EAA34471	103	cds	12	22	1	7	3.3085921513467453		3.3085921513467453
EAA34471	104	cds	3	4	4	10	3.6702534281564096		3.6702534281564096
EAA34471	105	cds	7	7	1	12	4.011321074888635		4.011321074888635
EAA34471	106	cds	4	5	1	4	2.275857804664821		2.275857804664821
EAA34471	107	cds	5	6	1	4	1.3961292901910278	1.3961292901910278	1.3961292901910278
EAA34471	108	cds	5	4	1	1	0.9588670269695965		
EAA34471	109	cds	8	13	2	2	0.6779715015711604		
EAA34471	110	cds	14	9	2	3	0.502660186392919		
EAA34471	111	cds	8	7	1	0	0.4565677843097572		
EAA34471	112	cds	9	5	1	1	0.6862295440241337		
EAA34471	113	cds	2	6	2	1	1.6968376313619122	1.6968376313619122	1.6968376313619122
EAA34471	114	cds	2	5	3	3	2.1662578892134268		2.1662578892134268
EAA34471	115	cds	14	10	18	0	2.8274719755069806		2.8274719755069806
EAA34471	116	cds	4	3	2	5	2.332032442508912		2.332032442508912
EAA34471	117	cds	7	9	2	6	2.603131297370984		2.603131297370984
EAA34471	118	cds	3	11	9	1	2.3635014341155354		2.3635014341155354
EAA34471	119	cds	4	3	3	3	2.1636620054383258		2.1636620054383258
EAA34471	120	cds	7	14	4	3	1.4317372934644208	1.4317372934644208	1.4317372934644208
EAA34471	121	cds	3	0	1	1	0.7409603743534015		
EAA34471	122	cds	2	2	1	0	0.3711297104613688		
EAA34471	123	cds	4	0	0	0	0.740298914522809		
EAA34471	124	cds	7	6	4	3	0.9789818006343094		
EAA34471	125	cds	7	6	4	2	1.3700022235040759		
EAA34471	126	cds	4	10	1	3	1.1392461561677572		
EAA34471	127	cds	2	1	1	0	0.6972632254081732		
EAA34471	128	cds	1	2	0	0	0.4246190393220752		
EAA34471	129	cds	3	4	1	0	0.5375006952222371		
EAA34471	130	cds	12	22	4	8	0.8890175210668461		
EAA34471	131	cds	5	15	2	3	1.089004723959067	1.089004723959067	
EAA34471	132	cds	4	7	4	0	1.5546702693408383	1.5546702693408383	1.5546702693408383
EAA34471	133	cds	1	4	2	1	1.3562748447654327		1.3562748447654327
EAA34471	134	cds	4	2	1	0	1.5834921523278511		1.5834921523278511
EAA34471	135	cds	3	1	2	0	1.7154837484181498		1.7154837484181498
EAA34471	136	cds	2	3	3	2	2.0535234799124735		2.0535234799124735
EAA34471	137	cds	0	4	2	5	2.259734305846278		2.259734305846278
EAA34471	138	cds	14	5	6	5	1.7386553951730535		1.7386553951730535
EAA34471	139	cds	20	22	15	7	1.470865764409161		1.470865764409161
EAA34471	140	cds	5	6	3	0	1.2353172019924021		1.2353172019924021
EAA34471	141	cds	8	3	4	1	1.5959634461789363		1.5959634461789363
EAA34471	142	cds	9	7	6	7	1.8691628759489605		1.8691628759489605
EAA34471	143	cds	2	5	2	1	4.430934138896405		4.430934138896405
EAA34471	144	cds	2	1	1	6	4.600589963373388		4.600589963373388
EAA34471	145	cds	6	3	1	6	4.1040190316037295		4.1040190316037295
EAA34471	146	cds	4	3	0	0	1.3270766181742113		1.3270766181742113
EAA34471	147	cds	2	0	3	0	1.368582619982685		1.368582619982685
EAA34471	148	cds	2	5	0	5	1.3685826199826847		1.3685826199826847
EAA34471	149	cds	0	2	0	0	1.7339708649149999		1.7339708649149999
EAA34471	150	cds	9	4	3	4	1.8209208885638226		1.8209208885638226
EAA34471	151	cds	4	1	3	1	2.296149483120205		2.296149483120205
EAA34471	152	cds	4	3	4	0	2.014460261659758	2.014460261659758	2.014460261659758
EAA34471	153	cds	7	5	4	1	1.1319280282098283	1.1319280282098283	
EAA34471	154	cds	10	6	5	0	0.7922327967521681		
EAA34471	155	cds	3	3	1	0	0.48878193086625465		
EAA34471	156	cds	5	5	1	0	0.5179987709727844		
EAA34471	157	cds	8	7	1	3	0.5313797425404856		
EAA34471	158	cds	5	6	2	0	0.6649294744337434		
EAA34471	159	cds	11	7	3	1	0.7773015422078015		
EAA34471	160	cds	0	2	1	2	1.1121705608846755		
EAA34471	161	cds	1	5	2	0	1.717985879434257		
EAA34471	162	cds	6	2	3	2	1.956627413463337		
EAA34471	163	cds	3	5	0	4	1.4728440601200394		
EAA34471	164	cds	0	0	2	0	0.9602886450491115		
EAA34471	165	cds	8	11	1	4	0.7366359786513432		
EAA34471	166	cds	11	10	5	4	1.1541572366244837	1.1541572366244837	
EAA34471	167	cds	24	33	12	11	1.7444242075920404	1.7444242075920404	1.7444242075920404
EAA34471	168	cds	8	2	4	2	2.0212010480245883		2.0212010480245883
EAA34471	169	cds	3	5	2	3	1.8611919939712132		1.8611919939712132
EAA34471	170	cds	12	3	0	2	1.3432134686714896		1.3432134686714896
EAA34471	171	cds	1	4	0	1	1.2504159078955568		1.2504159078955568
EAA34471	172	cds	2	1	2	0	1.2450896564364728	1.2450896564364728	1.2450896564364728
EAA34471	173	cds	1	4	1	0	1.1713461194489452	1.1713461194489452	
EAA34471	174	cds	4	4	0	2	0.5588605143721312		
EAA34471	175	cds	8	9	0	0	0.8659842049532298		
EAA34471	176	cds	14	16	10	7	1.3437738508260286	1.3437738508260286	1.3437738508260286
EAA34471	177	3utr	1	9	2	1	2.7849724612905598		2.7849724612905598
EAA34471	178	3utr	0	1	7	0	2.431548334029427		2.431548334029427
EAA34471	179	3utr	0	1	1	0	1.6470841262451783	1.6470841262451783	1.6470841262451783
EAA34471	180	3utr	3	1	0	0	0.34369406174144423		
EAA34471	181	3utr	4	5	0	1	0.3411085906088802		
EAA34471	182	3utr	2	2	1	0	0.4944458715646053		
EAA34471	183	3utr	4	4	0	1	0.4900365294180511		
EAA34471	184	3utr	15	19	4	1	0.37223592070835554		
EAA34471	185	3utr	11	13	1	1	0.45902148025724565		
EAA34471	186	3utr	4	7	0	2	0.3256222764430029		
EAA34471	187	3utr	2	2	0	0	0.2401228405046152		
EAA34471	188	3utr	2	1	0	0	0.0		
EAA34471	189	3utr	1	0	0	0	0.0		
EAA34471	190	3utr	0	3	0	0	0.0		
EAA34471	191	3utr	7	1	0	0	0.0		
EAA34471	192	3utr	3	4	0	0	0.5124243158481212		
EAA34471	193	3utr	3	2	0	2	1.8810040788331128	1.8810040788331128	1.8810040788331128
EAA34471	194	3utr	3	1	2	2	1.8810040788331128		1.8810040788331128
EAA34471	195	3utr	4	4	0	0	1.9089895679581714		1.9089895679581714
EAA34471	196	3utr	3	5	5	0	1.182742270012354		1.182742270012354
EAA34471	197	3utr	4	1	1	1	1.792632709588894		1.792632709588894
EAA34471	198	3utr	2	4	1	2	3.085372296327115		3.085372296327115
EAA34471	199	3utr	1	1	3	1	2.935096692255443		2.935096692255443
EAA34471	200	3utr	5	1	2	0	2.325206252678903	2.325206252678903	2.325206252678903
EAA34471	201	3utr	0	2	0	0	1.0020314675270356	1.0020314675270356	
EAA34471	202	3utr	2	2	1	1	0.5099746065595333		
EAA34471	203	3utr	1	2	0	0	0.5099746065595334		
EAA34471	204	3utr	3	1	0	0	0.0		
EAA34471	205	3utr	1	1	0	0	0.6021437205465581		
EAA34471	206	3utr	1	0	3	0	0.602143720546558		
EAA34471	207	3utr	0	0	0	0	0.7574310704958397		
EAA34471	208	3utr	0	2	0	1	0.15528734994928153		
EAA34471	209	3utr	2	1	0	0	0.15528734994928156		
EAA34471	210	3utr	5	2	0	0	0.0		
EAA34471	211	3utr	0	2	0	0	0.0		
EAA34471	212	3utr	0	0	0	0	0.0		
EAA34471	213	3utr	1	1	0	0	0.0		
EAA34471	214	3utr	0	0	0	0	0.0		
EAA34471	215	3utr	1	2	0	0	0.0		
EAA34471	216	3utr	1	1	0	0	0.40660008929616664		
EAA34471	217	3utr	1	1	1	0	0.8607617251826722		
EAA34471	218	3utr	2	0	0	3	1.0640617698307557		
EAA34471	219	3utr	2	2	1	0	1.7601696003556087		
EAA34471	220	3utr	2	3	2	3	1.56207212362863		
EAA34471	221	3utr	4	1	1	0	1.8687466855400803		
EAA34471	222	3utr	2	2	1	1	1.0722815682574676		
EAA34471	223	3utr	4	2	2	0	0.8162174090979404		
EAA34471	224	3utr	2	3	0	0	0.6205660298351354		
EAA34471	225	3utr	6	7	5	0	0.9768669806809824		
EAA34471	226	3utr	5	7	5	3	1.7521367958009897	1.7521367958009897	1.7521367958009897
EAA34471	227	3utr	4	3	2	3	2.382799049946256		2.382799049946256
EAA34471	228	3utr	1	3	2	1	1.9911215124890185		1.9911215124890185
EAA34471	229	3utr	3	9	0	2	1.38777392063524	1.38777392063524	1.38777392063524
EAA34471	230	3utr	11	16	1	3	0.84600862096473		
EAA34471	231	3utr	7	11	7	1	0.7898805338958328		
EAA34471	232	3utr	10	9	5	0	0.7759620128770713		
EAA34471	233	3utr	7	6	1	1	0.5082751942043084		
EAA34471	234	3utr	3	3	1	0	0.5971943967520321		
EAA34471	235	3utr	1	2	1	0	0.43919069450456516		
EAA34471	236	3utr	2	4	0	0	0.7154283629671376		
EAA34471	237	3utr	0	1	2	0	0.4117710315612945		
EAA34471	238	3utr	0	0	0	0	0.41177103156129463		
EAA34471	239	3utr	0	1	0	0	0.20330004464808332		
EAA34471	240	3utr	2	2	1	0	0.30624280253840697		
EAA34471	241	3utr	0	4	2	0	0.9616392867365517		
EAA34471	242	3utr	10	6	3	6	1.3656539049001544		
EAA34471	243	3utr	1	2	2	0	1.4230009259045886		
EAA34471	244	3utr	7	4	2	0	0.7676044417064437		
EAA34471	245	3utr	1	2	0	0	0.16028977889475776		
EAA34471	246	3utr	0	1	0	0	0.0		
EAA34471	247	3utr	0	0	1	0	0.0		
EAA34471	248	3utr	0	1	0	0	0.0		
EAA34471	249	3utr	0	0	0	0	0.0		
EAA34471	250	3utr	0	1	0	0	0.0		
EAA34471	251	3utr	0	0	0	1	0.41177103156129463		
EAA34471	252	3utr	0	1	2	0	0.6124856050768138		
EAA34471	253	3utr	1	0	1	0	0.6124856050768139		
EAA34471	254	3utr	1	0	0	0	0.20071457351551933		
EAA34471	255	3utr	1	1	0	0	0.0		
EAA34471	256	3utr	1	0	0	0	0.0		
EAA34471	257	3utr	0	0	0	0	0.0		
EAA34471	258	3utr	0	0	0	0	0.0		
EAA34471	259	3utr	0	0	0	0	0.0		
EAA34471	260	3utr	0	0	0	1	0.0		
EAA34471	261	3utr	0	0	0	0	0.0		
EAA34471	262	3utr	0	0	0	0	0.0		
EAA34471	263	3utr	0	0	0	0	0.0		
EAA34471	264	3utr	0	0	0	0	0.0		
EAA34471	265	3utr	0	0	0	0	0.0		
EAA34471	266	3utr	0	1	0	0	0.0		
EAA34471	267	3utr	0	0	0	0	0.0		
EAA34471	268	3utr	0	0	0	0	0.0		
EAA34471	269	3utr	0	0	0	0	0.0		
